"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","FLUVACCIN","TOT","PC_POP65","A","2004",57,
"CHE","FLUVACCIN","TOT","PC_POP65","A","2005",59,
"CHE","FLUVACCIN","TOT","PC_POP65","A","2006",61,
"CHE","FLUVACCIN","TOT","PC_POP65","A","2007",56,
"CHE","FLUVACCIN","TOT","PC_POP65","A","2010",46,"B"
"TUR","FLUVACCIN","TOT","PC_POP65","A","2008",9.9,
"TUR","FLUVACCIN","TOT","PC_POP65","A","2010",12.2,
"TUR","FLUVACCIN","TOT","PC_POP65","A","2012",13.2,
"TUR","FLUVACCIN","TOT","PC_POP65","A","2014",9,
"TUR","FLUVACCIN","TOT","PC_POP65","A","2016",7,
"TUR","FLUVACCIN","TOT","PC_POP65","A","2019",5.9,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2000",65,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2001",68,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2002",69,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2003",71,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2004",71,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2005",75,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2006",75.1,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2007",73.2,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2008",73.6,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2009",72.3,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2010",72.8,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2011",74,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2012",73.5,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2013",73.3,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2014",72.8,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2015",71.1,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2016",70.5,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2017",72.6,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2018",72,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2019",72.4,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2020",72.4,"E"
"USA","FLUVACCIN","TOT","PC_POP65","A","2000",64.3,
"USA","FLUVACCIN","TOT","PC_POP65","A","2001",63,
"USA","FLUVACCIN","TOT","PC_POP65","A","2002",65.6,
"USA","FLUVACCIN","TOT","PC_POP65","A","2003",65.5,
"USA","FLUVACCIN","TOT","PC_POP65","A","2004",64.4,
"USA","FLUVACCIN","TOT","PC_POP65","A","2005",59.5,
"USA","FLUVACCIN","TOT","PC_POP65","A","2006",64.1,
"USA","FLUVACCIN","TOT","PC_POP65","A","2007",66.7,
"USA","FLUVACCIN","TOT","PC_POP65","A","2008",66.9,
"USA","FLUVACCIN","TOT","PC_POP65","A","2009",66.7,
"USA","FLUVACCIN","TOT","PC_POP65","A","2010",63.6,
"USA","FLUVACCIN","TOT","PC_POP65","A","2011",67,
"USA","FLUVACCIN","TOT","PC_POP65","A","2012",66.5,
"USA","FLUVACCIN","TOT","PC_POP65","A","2013",67.9,
"USA","FLUVACCIN","TOT","PC_POP65","A","2014",70,
"USA","FLUVACCIN","TOT","PC_POP65","A","2015",69.1,
"USA","FLUVACCIN","TOT","PC_POP65","A","2016",67.2,
"USA","FLUVACCIN","TOT","PC_POP65","A","2017",67.8,
"USA","FLUVACCIN","TOT","PC_POP65","A","2018",68.7,
"USA","FLUVACCIN","TOT","PC_POP65","A","2019",67,"B"
"USA","FLUVACCIN","TOT","PC_POP65","A","2020",67.5,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2001",94.8,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2002",76.9,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2003",80.3,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2004",79.4,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2005",73.4,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2006",82,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2007",84.5,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2008",78.1,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2009",87.9,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2010",57.7,"B"
"CHL","FLUVACCIN","TOT","PC_POP65","A","2011",62.4,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2012",73.1,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2013",76.5,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2014",74.9,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2015",55,"B"
"CHL","FLUVACCIN","TOT","PC_POP65","A","2016",54,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2017",59,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2018",64.7,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2019",68.3,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2020",84.7,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2021",73.2,
"EST","FLUVACCIN","TOT","PC_POP65","A","2008",1,
"EST","FLUVACCIN","TOT","PC_POP65","A","2009",1.4,
"EST","FLUVACCIN","TOT","PC_POP65","A","2010",1,
"EST","FLUVACCIN","TOT","PC_POP65","A","2011",0.9,
"EST","FLUVACCIN","TOT","PC_POP65","A","2012",0.9,
"EST","FLUVACCIN","TOT","PC_POP65","A","2013",1.1,
"EST","FLUVACCIN","TOT","PC_POP65","A","2014",1.4,
"EST","FLUVACCIN","TOT","PC_POP65","A","2015",1.6,
"EST","FLUVACCIN","TOT","PC_POP65","A","2016",2.8,
"EST","FLUVACCIN","TOT","PC_POP65","A","2017",4.8,
"EST","FLUVACCIN","TOT","PC_POP65","A","2018",10.2,
"EST","FLUVACCIN","TOT","PC_POP65","A","2019",15,
"EST","FLUVACCIN","TOT","PC_POP65","A","2020",12,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2000",44.7,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2002",45.2,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2003",43.9,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2004",48.1,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2005",50.7,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2006",44.6,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2007",51.9,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2008",56.8,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2009",56.7,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2010",57.2,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2011",61,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2012",57.6,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2013",61.2,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2014",63.8,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2015",65.7,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2016",62.3,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2017",59.8,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2018",58.2,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2019",59.8,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2020",68.4,
"ISR","FLUVACCIN","TOT","PC_POP65","A","2021",61,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2000",35,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2001",29,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2002",26,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2003",33,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2004",30,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2005",33.8,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2006",27.5,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2007",25.6,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2008",25.2,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2009",21.9,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2010",17.7,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2011",15.9,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2012",14.5,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2013",12.8,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2014",10.9,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2015",10.4,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2016",9.8,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2017",11.8,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2018",12.9,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2019",18.8,
"SVN","FLUVACCIN","TOT","PC_POP65","A","2020",27,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2007",3.1,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2008",2.2,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2009",2.6,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2010",1.2,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2011",2,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2012",1.7,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2013",3.1,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2014",2.8,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2015",2.5,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2016",4.3,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2017",6.9,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2018",7.7,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2019",11.7,
"LVA","FLUVACCIN","TOT","PC_POP65","A","2020",9.1,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2005",1.8,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2006",1.6,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2007",12.5,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2008",11.7,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2009",11.2,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2010",9.1,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2011",9,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2012",9.7,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2013",9.8,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2014",10.3,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2015",9.6,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2016",11.3,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2017",13.4,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2018",14.8,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2019",21.5,
"LTU","FLUVACCIN","TOT","PC_POP65","A","2020",26.3,
"ISL","FLUVACCIN","TOT","PC_POP65","A","2015",43,"D"
"ISL","FLUVACCIN","TOT","PC_POP65","A","2016",47,"D"
"ISL","FLUVACCIN","TOT","PC_POP65","A","2017",45,"D"
"ISL","FLUVACCIN","TOT","PC_POP65","A","2018",49.4,"B"
"ISL","FLUVACCIN","TOT","PC_POP65","A","2019",47.5,
"ISL","FLUVACCIN","TOT","PC_POP65","A","2020",54.6,
"CRI","FLUVACCIN","TOT","PC_POP65","A","2019",64,
"CRI","FLUVACCIN","TOT","PC_POP65","A","2020",71,
"CRI","FLUVACCIN","TOT","PC_POP65","A","2021",60.6,
