,region,year,population
989,LAC,2074,728617632
990,LAC,2075,726219166
991,LAC,2076,723720921
992,LAC,2077,721128780
993,LAC,2078,718444777
994,LAC,2079,715676557
995,LAC,2080,712823447
996,LAC,2081,709889546
997,LAC,2082,706882926
998,LAC,2083,703815047
999,LAC,2084,700690352
1000,LAC,2085,697506448
1001,LAC,2086,694271665
1002,LAC,2087,690990580
1003,LAC,2088,687669460
1004,LAC,2089,684312589
1005,LAC,2090,680919440
1006,LAC,2091,677492886
1007,LAC,2092,674038209
1008,LAC,2093,670561892
1009,LAC,2094,667066113
1010,LAC,2095,663552026
1011,LAC,2096,660026922
1012,LAC,2097,656495715
1013,LAC,2098,652954087
1014,LAC,2099,649406083
1015,LAC,2100,645853528
1016,MENA,-10000,262139
1017,MENA,-9000,370393
1018,MENA,-8000,531108
1019,MENA,-7000,771486
1020,MENA,-6000,1260874
1021,MENA,-5000,2356042
1022,MENA,-4000,4053322
1023,MENA,-3000,6651356
1024,MENA,-2000,10722284
1025,MENA,-1000,15568622
1026,MENA,0,24180315
1027,MENA,100,26583008
1028,MENA,200,29366563
1029,MENA,300,30766449
1030,MENA,400,29321217
1031,MENA,500,28061216
1032,MENA,600,27121595
1033,MENA,700,27784014
1034,MENA,800,28735760
1035,MENA,900,30802257
1036,MENA,1000,30741019
1037,MENA,1100,27707743
1038,MENA,1200,28199700
1039,MENA,1300,28336971
1040,MENA,1400,25146146
1041,MENA,1500,26040618
1042,MENA,1600,32604442
1043,MENA,1700,30553614
1044,MENA,1710,30919278
1045,MENA,1720,31294833
1046,MENA,1730,31677123
1047,MENA,1740,32066487
1048,MENA,1750,32463217
1049,MENA,1760,32867690
1050,MENA,1770,33280313
1051,MENA,1780,33701633
1052,MENA,1790,34131993
1053,MENA,1800,33511077
1054,MENA,1801,33622079
1055,MENA,1802,33734401
1056,MENA,1803,33847297
1057,MENA,1804,33960773
1058,MENA,1805,34074833
1059,MENA,1806,34189476
1060,MENA,1807,34304711
1061,MENA,1808,34420540
1062,MENA,1809,34536969
1063,MENA,1810,34655749
1064,MENA,1811,34773481
1065,MENA,1812,34893408
1066,MENA,1813,35014787
1067,MENA,1814,35137635
1068,MENA,1815,35261956
1069,MENA,1816,35387758
1070,MENA,1817,35515049
1071,MENA,1818,35643839
1072,MENA,1819,35769329
1073,MENA,1820,35892222
1074,MENA,1821,36002082
1075,MENA,1822,36108438
1076,MENA,1823,36226448
1077,MENA,1824,36344965
1078,MENA,1825,36463996
1079,MENA,1826,36583542
1080,MENA,1827,36703604
1081,MENA,1828,36824185
1082,MENA,1829,36945288
1083,MENA,1830,37067673
1084,MENA,1831,37189075
1085,MENA,1832,37311712
1086,MENA,1833,37434833
1087,MENA,1834,37558440
1088,MENA,1835,37682533
1089,MENA,1836,37807120
1090,MENA,1837,37932196
1091,MENA,1838,38057769
1092,MENA,1839,38202564
1093,MENA,1840,38367868
1094,MENA,1841,38551973
1095,MENA,1842,38757718
1096,MENA,1843,38984898
1097,MENA,1844,39215347
1098,MENA,1845,39449144
1099,MENA,1846,39686355
1100,MENA,1847,39927052
1101,MENA,1848,40171311
1102,MENA,1849,40413988
1103,MENA,1850,40655520
1104,MENA,1851,40885336
1105,MENA,1852,41113217
1106,MENA,1853,41339434
1107,MENA,1854,41567460
1108,MENA,1855,41797306
1109,MENA,1856,42028990
1110,MENA,1857,42262521
1111,MENA,1858,42497923
1112,MENA,1859,42740183
1113,MENA,1860,42990241
1114,MENA,1861,43245918
1115,MENA,1862,43509651
1116,MENA,1863,43780827
1117,MENA,1864,44054600
1118,MENA,1865,44330996
1119,MENA,1866,44610056
1120,MENA,1867,44891810
1121,MENA,1868,45176303
1122,MENA,1869,45460499
1123,MENA,1870,45745066
1124,MENA,1871,46027047
1125,MENA,1872,46309493
1126,MENA,1873,46591121
1127,MENA,1874,46874917
1128,MENA,1875,47160909
1129,MENA,1876,47449113
1130,MENA,1877,47739548
1131,MENA,1878,48032237
1132,MENA,1879,48333247
1133,MENA,1880,48643531
1134,MENA,1881,48960815
1135,MENA,1882,49287670
1136,MENA,1883,49623442
1137,MENA,1884,49962225
1138,MENA,1885,50304049
1139,MENA,1886,50648945
1140,MENA,1887,50996947
1141,MENA,1888,51348084
1142,MENA,1889,51725016
1143,MENA,1890,52129127
1144,MENA,1891,52558537
1145,MENA,1892,53016309
1146,MENA,1893,53502237
1147,MENA,1894,53994237
1148,MENA,1895,54492412
1149,MENA,1896,54996863
1150,MENA,1897,55507680
1151,MENA,1898,56024968
1152,MENA,1899,56567526
1153,MENA,1900,57136499
1154,MENA,1901,57729667
1155,MENA,1902,58349861
1156,MENA,1903,58996548
1157,MENA,1904,59651445
1158,MENA,1905,60314668
1159,MENA,1906,60986763
1160,MENA,1907,61667424
1161,MENA,1908,62356776
1162,MENA,1909,62911354
1163,MENA,1910,63331217
1164,MENA,1911,63617010
1165,MENA,1912,63769374
1166,MENA,1913,63785931
1167,MENA,1914,63808401
1168,MENA,1915,63836736
1169,MENA,1916,63870902
1170,MENA,1917,63914465
1171,MENA,1918,63984574
1172,MENA,1919,64225374
1173,MENA,1920,64640083
1174,MENA,1921,65220902
1175,MENA,1922,65975501
1176,MENA,1923,66903973
1177,MENA,1924,67851626
1178,MENA,1925,68818153
1179,MENA,1926,69804050
1180,MENA,1927,70809830
1181,MENA,1928,71836029
1182,MENA,1929,72891823
1183,MENA,1930,73980523
1184,MENA,1931,75093281
1185,MENA,1932,76244040
1186,MENA,1933,77429357
1187,MENA,1934,78642693
1188,MENA,1935,79874184
1189,MENA,1936,81121193
1190,MENA,1937,82379374
1191,MENA,1938,83661867
1192,MENA,1939,84998332
1193,MENA,1940,86397385
1194,MENA,1941,87833548
1195,MENA,1942,89335486
1196,MENA,1943,90900205
1197,MENA,1944,92500976
1198,MENA,1945,94137576
1199,MENA,1946,95805246
1200,MENA,1947,97504044
1201,MENA,1948,99234077
1202,MENA,1949,101169486
1203,MENA,1950,103523322
1204,MENA,1951,106003981
1205,MENA,1952,108619929
1206,MENA,1953,111359523
1207,MENA,1954,114152871
1208,MENA,1955,116993388
1209,MENA,1956,119994121
1210,MENA,1957,123126995
1211,MENA,1958,126279851
1212,MENA,1959,129550174
1213,MENA,1960,132951973
1214,MENA,1961,136437699
1215,MENA,1962,140080692
1216,MENA,1963,143878922
1217,MENA,1964,147785144
1218,MENA,1965,151776891
1219,MENA,1966,155940311
1220,MENA,1967,160300682
1221,MENA,1968,164777861
1222,MENA,1969,169357573
1223,MENA,1970,174033200
1224,MENA,1971,178800029
1225,MENA,1972,183683098
1226,MENA,1973,188722257
1227,MENA,1974,193932754
1228,MENA,1975,199488779
1229,MENA,1976,205731753
1230,MENA,1977,212129722
1231,MENA,1978,218009683
1232,MENA,1979,224133660
1233,MENA,1980,230907094
1234,MENA,1981,238447087
1235,MENA,1982,246229429
1236,MENA,1983,253872805
1237,MENA,1984,261814865
1238,MENA,1985,269792374
1239,MENA,1986,277875820
1240,MENA,1987,286033229
1241,MENA,1988,294098105
1242,MENA,1989,302202580
1243,MENA,1990,310065053
1244,MENA,1991,318098254
1245,MENA,1992,326256134
1246,MENA,1993,333506290
1247,MENA,1994,340512262
1248,MENA,1995,347744079
1249,MENA,1996,354921823
1250,MENA,1997,362187248
1251,MENA,1998,369521135
1252,MENA,1999,376873304
1253,MENA,2000,384335094
1254,MENA,2001,391920284
1255,MENA,2002,399071425
1256,MENA,2003,406204383
1257,MENA,2004,413946019
1258,MENA,2005,422276476
1259,MENA,2006,431336517
1260,MENA,2007,440885552
1261,MENA,2008,450688292
1262,MENA,2009,460566837
1263,MENA,2010,470183524
1264,MENA,2011,479194175
1265,MENA,2012,488352511
1266,MENA,2013,498303922
1267,MENA,2014,508686308
1268,MENA,2015,519035415
1269,MENA,2016,528803503
1270,MENA,2017,537828070
1271,MENA,2018,546683161
1272,MENA,2019,555428731
1273,MENA,2020,562811208
1274,MENA,2021,569630996
1275,MENA,2022,577232083
1276,MENA,2023,585124420
1277,MENA,2024,593038615
1278,MENA,2025,600867855
1279,MENA,2026,608559828
1280,MENA,2027,616133205
1281,MENA,2028,623601428
1282,MENA,2029,630977169
1283,MENA,2030,638266431
1284,MENA,2031,645475551
1285,MENA,2032,652634381
1286,MENA,2033,659763955
1287,MENA,2034,666869713
1288,MENA,2035,673943073
1289,MENA,2036,680974381
1290,MENA,2037,687959658
1291,MENA,2038,694888618
1292,MENA,2039,701754349
1293,MENA,2040,708548277
1294,MENA,2041,715270016
1295,MENA,2042,721904460
1296,MENA,2043,728435438
1297,MENA,2044,734848583
1298,MENA,2045,741132995
1299,MENA,2046,747294606
1300,MENA,2047,753316116
1301,MENA,2048,759161996
1302,MENA,2049,764826700
1303,MENA,2050,770320321
1304,MENA,2051,775622816
1305,MENA,2052,780738848
1306,MENA,2053,785673875
1307,MENA,2054,790409896
1308,MENA,2055,794948123
1309,MENA,2056,799304307
1310,MENA,2057,803486319
1311,MENA,2058,807489106
1312,MENA,2059,811313526
1313,MENA,2060,814966824
1314,MENA,2061,818459835
1315,MENA,2062,821799631
1316,MENA,2063,824985948
1317,MENA,2064,828021382
1318,MENA,2065,830908005
1319,MENA,2066,833661700
1320,MENA,2067,836294372
1321,MENA,2068,838805322
1322,MENA,2069,841196525
1323,MENA,2070,843471458
1324,MENA,2071,845645260
1325,MENA,2072,847721359
1326,MENA,2073,849691964
1327,MENA,2074,851557542
1328,MENA,2075,853328343
1329,MENA,2076,855001829
1330,MENA,2077,856572144
1331,MENA,2078,858045954
1332,MENA,2079,859433003
1333,MENA,2080,860737489
1334,MENA,2081,861965681
1335,MENA,2082,863119032
1336,MENA,2083,864191550
1337,MENA,2084,865179889
1338,MENA,2085,866091314
1339,MENA,2086,866925080
1340,MENA,2087,867675667
1341,MENA,2088,868339236
1342,MENA,2089,868914978
1343,MENA,2090,869401617
1344,MENA,2091,869793940
1345,MENA,2092,870093466
1346,MENA,2093,870301059
1347,MENA,2094,870414852
1348,MENA,2095,870429996
1349,MENA,2096,870345352
1350,MENA,2097,870155705
1351,MENA,2098,869865681
1352,MENA,2099,869478355
1353,MENA,2100,868988938
1354,Other N. America,400,0
1355,Other N. America,500,0
1356,Other N. America,600,0
1357,Other N. America,700,1
1358,Other N. America,800,3
1359,Other N. America,900,6
1360,Other N. America,1000,1062
1361,Other N. America,1100,1097
1362,Other N. America,1200,1143
1363,Other N. America,1300,1217
1364,Other N. America,1400,1342
1365,Other N. America,1500,1569
1366,Other N. America,1600,2000
1367,Other N. America,1700,2839
1368,Other N. America,1710,3124
1369,Other N. America,1720,3439
1370,Other N. America,1730,12561
1371,Other N. America,1740,4171
1372,Other N. America,1750,4596
1373,Other N. America,1760,5067
1374,Other N. America,1770,5589
1375,Other N. America,1780,6166
1376,Other N. America,1790,6805
1377,Other N. America,1800,17205
1378,Other N. America,1810,8298
1379,Other N. America,1820,8980
1380,Other N. America,1822,10000
1381,Other N. America,1830,9735
1382,Other N. America,1833,9125
1383,Other N. America,1834,8118
1384,Other N. America,1840,10573
1385,Other N. America,1843,10000
1386,Other N. America,1850,11502
1387,Other N. America,1851,11000
1388,Other N. America,1860,12534
1389,Other N. America,1861,12000
1390,Other N. America,1870,13688
1391,Other N. America,1871,12000
1392,Other N. America,1880,14971
1393,Other N. America,1881,14000
1394,Other N. America,1890,16401
1395,Other N. America,1891,15000
1396,Other N. America,1900,17993
1397,Other N. America,1901,18000
1398,Other N. America,1910,19768
1399,Other N. America,1911,19000
1400,Other N. America,1920,21095
1401,Other N. America,1921,20000
1402,Other N. America,1930,22646
1403,Other N. America,1931,28000
1404,Other N. America,1939,31000
1405,Other N. America,1940,24463
1406,Other N. America,1950,64807
1407,Other N. America,1951,65723
1408,Other N. America,1952,66772
1409,Other N. America,1953,67851
1410,Other N. America,1954,69013
1411,Other N. America,1955,70230
1412,Other N. America,1956,71662
1413,Other N. America,1957,73341
1414,Other N. America,1958,75184
1415,Other N. America,1959,77124
1416,Other N. America,1960,79138
1417,Other N. America,1961,81311
1418,Other N. America,1962,83590
1419,Other N. America,1963,85931
1420,Other N. America,1964,88341
1421,Other N. America,1965,90821
1422,Other N. America,1966,93374
1423,Other N. America,1967,95883
1424,Other N. America,1968,98338
1425,Other N. America,1969,100766
1426,Other N. America,1970,103056
1427,Other N. America,1971,104717
1428,Other N. America,1972,105778
1429,Other N. America,1973,106779
1430,Other N. America,1974,107681
1431,Other N. America,1975,108418
1432,Other N. America,1976,108989
1433,Other N. America,1977,109259
1434,Other N. America,1978,109321
1435,Other N. America,1979,109366
1436,Other N. America,1980,109836
1437,Other N. America,1981,110783
1438,Other N. America,1982,111829
1439,Other N. America,1983,112935
1440,Other N. America,1984,114078
1441,Other N. America,1985,115124
1442,Other N. America,1986,116047
1443,Other N. America,1987,116980
1444,Other N. America,1988,117899
1445,Other N. America,1989,118797
1446,Other N. America,1990,119451
1447,Other N. America,1991,119946
1448,Other N. America,1992,120444
1449,Other N. America,1993,120915
1450,Other N. America,1994,121287
1451,Other N. America,1995,121732
1452,Other N. America,1996,122271
1453,Other N. America,1997,122755
1454,Other N. America,1998,123135
1455,Other N. America,1999,123452
1456,Other N. America,2000,123894
1457,Other N. America,2001,124469
1458,Other N. America,2002,125011
1459,Other N. America,2003,125466
1460,Other N. America,2004,125833
1461,Other N. America,2005,126024
1462,Other N. America,2006,126036
1463,Other N. America,2007,125999
1464,Other N. America,2008,125962
1465,Other N. America,2009,125913
1466,Other N. America,2010,125915
1467,Other N. America,2011,125930
1468,Other N. America,2012,125846
1469,Other N. America,2013,125670
1470,Other N. America,2014,125360
1471,Other N. America,2015,125082
1472,Other N. America,2016,125021
1473,Other N. America,2017,125226
1474,Other N. America,2018,125514
1475,Other N. America,2019,125740
1476,Other N. America,2020,126030
1477,Other N. America,2021,126384
1478,Other N. America,2022,126586
1479,Other N. America,2023,126625
1480,Other N. America,2024,126611
1481,Other N. America,2025,126555
1482,Other N. America,2026,126452
1483,Other N. America,2027,126306
1484,Other N. America,2028,126124
1485,Other N. America,2029,125917
1486,Other N. America,2030,125688
1487,Other N. America,2031,125397
1488,Other N. America,2032,125087
1489,Other N. America,2033,124748
1490,Other N. America,2034,124373
1491,Other N. America,2035,123979
1492,Other N. America,2036,123578
1493,Other N. America,2037,123132
1494,Other N. America,2038,122658
1495,Other N. America,2039,122168
1496,Other N. America,2040,121653
1497,Other N. America,2041,121122
1498,Other N. America,2042,120570
1499,Other N. America,2043,119978
1500,Other N. America,2044,119356
1501,Other N. America,2045,118727
1502,Other N. America,2046,118069
1503,Other N. America,2047,117390
1504,Other N. America,2048,116708
1505,Other N. America,2049,116000
1506,Other N. America,2050,115270
1507,Other N. America,2051,114523
1508,Other N. America,2052,113771
1509,Other N. America,2053,113000
1510,Other N. America,2054,112202
1511,Other N. America,2055,111428
1512,Other N. America,2056,110629
1513,Other N. America,2057,109826
1514,Other N. America,2058,109022
1515,Other N. America,2059,108230
1516,Other N. America,2060,107438
1517,Other N. America,2061,106652
1518,Other N. America,2062,105875
1519,Other N. America,2063,105116
1520,Other N. America,2064,104340
1521,Other N. America,2065,103573
1522,Other N. America,2066,102818
1523,Other N. America,2067,102087
1524,Other N. America,2068,101344
1525,Other N. America,2069,100637
1526,Other N. America,2070,99930
1527,Other N. America,2071,99220
1528,Other N. America,2072,98522
1529,Other N. America,2073,97828
1530,Other N. America,2074,97151
1531,Other N. America,2075,96480
1532,Other N. America,2076,95820
1533,Other N. America,2077,95172
1534,Other N. America,2078,94536
1535,Other N. America,2079,93894
1536,Other N. America,2080,93268
1537,Other N. America,2081,92653
1538,Other N. America,2082,92043
1539,Other N. America,2083,91442
1540,Other N. America,2084,90840
1541,Other N. America,2085,90244
1542,Other N. America,2086,89670
1543,Other N. America,2087,89089
1544,Other N. America,2088,88507
1545,Other N. America,2089,87927
1546,Other N. America,2090,87329
1547,Other N. America,2091,86746
1548,Other N. America,2092,86157
1549,Other N. America,2093,85565
1550,Other N. America,2094,84954
1551,Other N. America,2095,84354
1552,Other N. America,2096,83735
1553,Other N. America,2097,83112
1554,Other N. America,2098,82485
1555,Other N. America,2099,81862
1556,Other N. America,2100,81231
1557,Other Oceania,-10000,10416
1558,Other Oceania,-9000,15625
1559,Other Oceania,-8000,23442
1560,Other Oceania,-7000,35171
1561,Other Oceania,-6000,52771
1562,Other Oceania,-5000,79185
1563,Other Oceania,-4000,118835
1564,Other Oceania,-3000,178365
1565,Other Oceania,-2000,267771
1566,Other Oceania,-1000,411373
1567,Other Oceania,0,615488
1568,Other Oceania,100,645708
1569,Other Oceania,200,677473
1570,Other Oceania,300,710871
1571,Other Oceania,400,745998
1572,Other Oceania,500,782952
1573,Other Oceania,600,821860
1574,Other Oceania,700,862835
1575,Other Oceania,800,906024
1576,Other Oceania,900,951595
1577,Other Oceania,1000,999736
1578,Other Oceania,1100,1050686
1579,Other Oceania,1200,1104733
1580,Other Oceania,1300,1163023
1581,Other Oceania,1400,1225704
1582,Other Oceania,1500,1293652
1583,Other Oceania,1600,1368110
1584,Other Oceania,1700,1535281
1585,Other Oceania,1710,1462594
1586,Other Oceania,1720,1474889
1587,Other Oceania,1730,1487820
1588,Other Oceania,1740,1501463
1589,Other Oceania,1750,1515912
1590,Other Oceania,1760,1531297
1591,Other Oceania,1770,1547760
1592,Other Oceania,1780,1565480
1593,Other Oceania,1788,4000
1594,Other Oceania,1790,1584679
1595,Other Oceania,1800,1216167
1596,Other Oceania,1801,1084719
1597,Other Oceania,1802,1084936
1598,Other Oceania,1803,1085153
1599,Other Oceania,1804,1085371
1600,Other Oceania,1805,1085589
1601,Other Oceania,1806,1085808
1602,Other Oceania,1807,1086027
1603,Other Oceania,1808,1086247
1604,Other Oceania,1809,1086467
1605,Other Oceania,1810,1127583
1606,Other Oceania,1811,1086907
1607,Other Oceania,1812,1087128
1608,Other Oceania,1813,1087351
1609,Other Oceania,1814,1087573
1610,Other Oceania,1815,1087795
1611,Other Oceania,1816,1088018
1612,Other Oceania,1817,1088241
1613,Other Oceania,1818,1088465
1614,Other Oceania,1819,1088990
1615,Other Oceania,1820,1140070
1616,Other Oceania,1821,1090959
1617,Other Oceania,1822,1092407
1618,Other Oceania,1823,1094167
1619,Other Oceania,1824,1095943
1620,Other Oceania,1825,1097732
1621,Other Oceania,1826,1099537
1622,Other Oceania,1827,1101358
1623,Other Oceania,1828,1103191
1624,Other Oceania,1829,1105041
1625,Other Oceania,1830,1152472
1626,Other Oceania,1831,1108787
1627,Other Oceania,1832,1110686
1628,Other Oceania,1833,1112598
1629,Other Oceania,1834,1114527
1630,Other Oceania,1835,1116473
1631,Other Oceania,1836,1118435
1632,Other Oceania,1837,1120413
1633,Other Oceania,1838,1122410
1634,Other Oceania,1839,1124317
1635,Other Oceania,1840,1174227
1636,Other Oceania,1841,1127853
1637,Other Oceania,1842,1129484
1638,Other Oceania,1843,1215027
1639,Other Oceania,1844,1132588
1640,Other Oceania,1845,1134166
1641,Other Oceania,1846,1135767
1642,Other Oceania,1847,1137386
1643,Other Oceania,1848,1139023
1644,Other Oceania,1849,1140615
1645,Other Oceania,1850,1305927
1646,Other Oceania,1851,1148439
1647,Other Oceania,1852,1154671
1648,Other Oceania,1853,1160859
1649,Other Oceania,1854,1167071
1650,Other Oceania,1855,1173308
1651,Other Oceania,1856,1179567
1652,Other Oceania,1857,1185854
1653,Other Oceania,1858,1192161
1654,Other Oceania,1859,1198496
1655,Other Oceania,1860,1258443
1656,Other Oceania,1861,1211236
1657,Other Oceania,1862,1217645
1658,Other Oceania,1863,1224081
1659,Other Oceania,1864,1230543
1660,Other Oceania,1865,1237029
1661,Other Oceania,1866,1243544
1662,Other Oceania,1867,1250084
1663,Other Oceania,1868,1256652
1664,Other Oceania,1869,1263250
1665,Other Oceania,1870,1325685
1666,Other Oceania,1871,1276524
1667,Other Oceania,1872,1283205
1668,Other Oceania,1873,1289914
1669,Other Oceania,1874,1296651
1670,Other Oceania,1875,1303418
1671,Other Oceania,1876,1310218
1672,Other Oceania,1877,1317044
1673,Other Oceania,1878,1323903
1674,Other Oceania,1879,1330735
1675,Other Oceania,1880,1395699
1676,Other Oceania,1881,1344318
1677,Other Oceania,1882,1351070
1678,Other Oceania,1883,1357800
1679,Other Oceania,1884,1364568
1680,Other Oceania,1885,1371368
1681,Other Oceania,1886,1378203
1682,Other Oceania,1887,1385077
1683,Other Oceania,1888,1391991
1684,Other Oceania,1889,1399030
1685,Other Oceania,1890,1466851
1686,Other Oceania,1891,1413520
1687,Other Oceania,1892,1420965
1688,Other Oceania,1893,1428543
1689,Other Oceania,1894,1436158
1690,Other Oceania,1895,1443812
1691,Other Oceania,1896,1451500
1692,Other Oceania,1897,1459231
1693,Other Oceania,1898,1467001
1694,Other Oceania,1899,1475391
1695,Other Oceania,1900,1596703
1696,Other Oceania,1901,1504065
1697,Other Oceania,1902,1512569
1698,Other Oceania,1903,1515327
1699,Other Oceania,1904,1526362
1700,Other Oceania,1905,1537485
1701,Other Oceania,1906,1557192
1702,Other Oceania,1907,1559983
1703,Other Oceania,1908,1571360
1704,Other Oceania,1909,1571773
1705,Other Oceania,1910,1639599
1706,Other Oceania,1911,1549706
1707,Other Oceania,1912,1510450
1708,Other Oceania,1913,1470171
1709,Other Oceania,1914,1431738
1710,Other Oceania,1915,1395082
1711,Other Oceania,1916,1368935
1712,Other Oceania,1917,1326824
1713,Other Oceania,1918,1291957
1714,Other Oceania,1919,1266200
1715,Other Oceania,1920,1332299
1716,Other Oceania,1921,1250333
1717,Other Oceania,1922,1240675
1718,Other Oceania,1923,1248531
1719,Other Oceania,1924,1256886
1720,Other Oceania,1925,1265746
1721,Other Oceania,1926,1321099
1722,Other Oceania,1927,1284944
1723,Other Oceania,1928,1295280
1724,Other Oceania,1929,1311246
1725,Other Oceania,1930,1424689
1726,Other Oceania,1931,1401945
1727,Other Oceania,1932,1397642
1728,Other Oceania,1933,1440901
1729,Other Oceania,1934,1487096
1730,Other Oceania,1935,1536292
1731,Other Oceania,1936,1644573
1732,Other Oceania,1937,1644015
1733,Other Oceania,1938,1702726
1734,Other Oceania,1939,1764362
1735,Other Oceania,1940,1927123
1736,Other Oceania,1941,1896772
1737,Other Oceania,1942,1967750
1738,Other Oceania,1943,2042059
1739,Other Oceania,1944,2120268
1740,Other Oceania,1945,2216544
1741,Other Oceania,1946,2344067
1742,Other Oceania,1947,2380024
1743,Other Oceania,1948,2475618
1744,Other Oceania,1949,2566323
1745,Other Oceania,1950,2489250
1746,Other Oceania,1951,2538386
1747,Other Oceania,1952,2592560
1748,Other Oceania,1953,2653874
1749,Other Oceania,1954,2719472
1750,Other Oceania,1955,2789248
1751,Other Oceania,1956,2863478
1752,Other Oceania,1957,2941419
1753,Other Oceania,1958,3022422
1754,Other Oceania,1959,3106002
1755,Other Oceania,1960,3191904
1756,Other Oceania,1961,3276310
1757,Other Oceania,1962,3358823
1758,Other Oceania,1963,3442474
1759,Other Oceania,1964,3526461
1760,Other Oceania,1965,3611697
1761,Other Oceania,1966,3699015
1762,Other Oceania,1967,3786352
1763,Other Oceania,1968,3874303
1764,Other Oceania,1969,3965855
1765,Other Oceania,1970,4061576
1766,Other Oceania,1971,4160328
1767,Other Oceania,1972,4259852
1768,Other Oceania,1973,4358809
1769,Other Oceania,1974,4457120
1770,Other Oceania,1975,4555477
1771,Other Oceania,1976,4654871
1772,Other Oceania,1977,4755340
1773,Other Oceania,1978,4856892
1774,Other Oceania,1979,4960338
1775,Other Oceania,1980,5067137
1776,Other Oceania,1981,5178154
1777,Other Oceania,1982,5292253
1778,Other Oceania,1983,5408537
1779,Other Oceania,1984,5527915
1780,Other Oceania,1985,5650867
1781,Other Oceania,1986,5775578
1782,Other Oceania,1987,5900982
1783,Other Oceania,1988,6026708
1784,Other Oceania,1989,6155803
1785,Other Oceania,1990,6298821
1786,Other Oceania,1991,6461779
1787,Other Oceania,1992,6642402
1788,Other Oceania,1993,6833492
1789,Other Oceania,1994,7028876
1790,Other Oceania,1995,7228576
1791,Other Oceania,1996,7438761
1792,Other Oceania,1997,7660596
1793,Other Oceania,1998,7887829
1794,Other Oceania,1999,8119141
1795,Other Oceania,2000,8349899
1796,Other Oceania,2001,8577211
1797,Other Oceania,2002,8805919
1798,Other Oceania,2003,9037897
1799,Other Oceania,2004,9272314
1800,Other Oceania,2005,9508851
1801,Other Oceania,2006,9748857
1802,Other Oceania,2007,9991847
1803,Other Oceania,2008,10237000
1804,Other Oceania,2009,10484833
1805,Other Oceania,2010,10737598
1806,Other Oceania,2011,10992163
1807,Other Oceania,2012,11244209
1808,Other Oceania,2013,11495354
1809,Other Oceania,2014,11745564
1810,Other Oceania,2015,11992813
1811,Other Oceania,2016,12237446
1812,Other Oceania,2017,12480678
1813,Other Oceania,2018,12722274
1814,Other Oceania,2019,12962273
1815,Other Oceania,2020,13202575
1816,Other Oceania,2021,13441241
1817,Other Oceania,2022,13676161
1818,Other Oceania,2023,13908879
1819,Other Oceania,2024,14140119
1820,Other Oceania,2025,14371013
1821,Other Oceania,2026,14601703
1822,Other Oceania,2027,14831305
1823,Other Oceania,2028,15059805
1824,Other Oceania,2029,15287491
1825,Other Oceania,2030,15514229
1826,Other Oceania,2031,15740412
1827,Other Oceania,2032,15966088
1828,Other Oceania,2033,16190515
1829,Other Oceania,2034,16413233
1830,Other Oceania,2035,16634526
1831,Other Oceania,2036,16854417
1832,Other Oceania,2037,17072818
1833,Other Oceania,2038,17289682
1834,Other Oceania,2039,17504359
1835,Other Oceania,2040,17716930
1836,Other Oceania,2041,17927341
1837,Other Oceania,2042,18134882
1838,Other Oceania,2043,18340059
1839,Other Oceania,2044,18541818
1840,Other Oceania,2045,18740575
1841,Other Oceania,2046,18937475
1842,Other Oceania,2047,19131395
1843,Other Oceania,2048,19322072
1844,Other Oceania,2049,19509185
1845,Other Oceania,2050,19692834
1846,Other Oceania,2051,19873049
1847,Other Oceania,2052,20049799
1848,Other Oceania,2053,20223352
1849,Other Oceania,2054,20393363
1850,Other Oceania,2055,20559233
1851,Other Oceania,2056,20721184
1852,Other Oceania,2057,20880285
1853,Other Oceania,2058,21036432
1854,Other Oceania,2059,21188511
1855,Other Oceania,2060,21336768
1856,Other Oceania,2061,21481274
1857,Other Oceania,2062,21622018
1858,Other Oceania,2063,21759312
1859,Other Oceania,2064,21894041
1860,Other Oceania,2065,22026142
1861,Other Oceania,2066,22154420
1862,Other Oceania,2067,22279574
1863,Other Oceania,2068,22401849
1864,Other Oceania,2069,22520995
1865,Other Oceania,2070,22637674
1866,Other Oceania,2071,22751410
1867,Other Oceania,2072,22861458
1868,Other Oceania,2073,22967485
1869,Other Oceania,2074,23069793
1870,Other Oceania,2075,23168660
1871,Other Oceania,2076,23263644
1872,Other Oceania,2077,23354108
1873,Other Oceania,2078,23440952
1874,Other Oceania,2079,23524638
1875,Other Oceania,2080,23605117
1876,Other Oceania,2081,23682928
1877,Other Oceania,2082,23757374
1878,Other Oceania,2083,23828369
1879,Other Oceania,2084,23896216
1880,Other Oceania,2085,23960525
1881,Other Oceania,2086,24021268
1882,Other Oceania,2087,24078592
1883,Other Oceania,2088,24132289
1884,Other Oceania,2089,24182551
1885,Other Oceania,2090,24230341
1886,Other Oceania,2091,24275622
1887,Other Oceania,2092,24318559
1888,Other Oceania,2093,24358813
1889,Other Oceania,2094,24395790
1890,Other Oceania,2095,24429323
1891,Other Oceania,2096,24459928
1892,Other Oceania,2097,24487505
1893,Other Oceania,2098,24512143
1894,Other Oceania,2099,24534303
1895,Other Oceania,2100,24553408
1896,S & SE Asia,-10000,372037
1897,S & SE Asia,-9000,566212
1898,S & SE Asia,-8000,856458
1899,S & SE Asia,-7000,1356116
1900,S & SE Asia,-6000,2243972
1901,S & SE Asia,-5000,3862076
