country,issue,id,value,value_formatted,start_date_formatted,description,end_date_formatted
Finland,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,Finland does not currently recognize non-binary identities.,
Finland,discrimination,19,Illegal,Illegal,"February 1, 2004",Lgbtq+ from Finland are protected from all types of discrimination ,
Finland,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"February 1, 2004",,
Finland,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"February 1, 2004",,
Finland,adoption,3,Legal,Legal,"March 1, 2017",Full adoption is now legal in Finland.,
Finland,military,16,Legal,Legal,,,
Finland,blood,52,Banned (3-month deferral),Banned (3-month deferral),"May 3, 2021","Since May 3, 2021, the deferral period has been reduced to four months.",
Finland,conversion-therapy,49,Not banned,Not banned,,Conversion therapy ban pending. Many of the general public have demanded and protested to ban it.,
Finland,age-of-consent,27,Equal,Equal,"January 1, 1999",The age of consent of <b>16 years</b> is equal for everyone.,
France,homosexuality,1,Legal,Legal,"September 25, 1791","The law of 1791 decriminalized homosexual activity, however, it does not recognize homosexuality itself.",
France,marriage,8,Legal,Legal,"May 18, 2013",Fully Legal since 2013.,
France,censorship,56,No censorship,No censorship,,"In France, there are no laws restricting to discussion or promotion of LGBTQ+ topics.",
France,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","September 1, 2018","Individuals can legally change their gender in France. Sex reassignment surgery is state-funded.<br />
<br />
According to media reports, in 2010, France became the first country to remove ""transsexualism"" from their official list of mental illnesses.",
France,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,"March 1, 2016",The Orleans appeals court overturned the previous decision of the lower court. ,
France,discrimination,19,Illegal,Illegal,"December 30, 2004",,
France,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"July 31, 2012",,
France,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"July 6, 1989",,
France,adoption,3,Legal,Legal,"May 17, 2013","Same-sex couples have been legally able to adopt children since May 2013, when the same-sex marriage law took effect. The first joint adoption by a same-sex couple was announced on 18 October 2013.",
France,military,16,Legal,Legal,,,
France,blood,25,Legal,Legal,"March 16, 2022","In 2022, France removed the deferral period for gay and bi men donating blood, replacing it with a new policy that applies to all donors, regardless of sexual orientation.",
France,conversion-therapy,48,Banned,Banned,"January 25, 2022","The National Assembly approved the new law unanimously, voting 142-0 on Tuesday evening.",
France,age-of-consent,27,Equal,Equal,"August 4, 1982","The age of consent in France is 15 for both male-male, female-female, and male-female sex.",
French Guiana,homosexuality,1,Legal,Legal,"September 25, 1791",French law applies,
French Guiana,marriage,8,Legal,Legal,"May 17, 2013",French law applies,
French Guiana,censorship,56,No censorship,No censorship,,"In French Guiana, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
French Guiana,changing-gender,21,"Legal, surgery not required","Legal, surgery not required",,In all of France,
French Guiana,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,"March 1, 2016",French Law Applies.,
French Guiana,discrimination,19,Illegal,Illegal,"December 30, 2004",French law applies,
French Guiana,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,,Under French Law.,
French Guiana,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,,As being a territory of France.,
French Guiana,adoption,3,Legal,Legal,,French Law Applies.,
French Guiana,military,16,Legal,Legal,,France defends them.,
French Guiana,blood,25,Legal,Legal,,,
French Guiana,conversion-therapy,48,Banned,Banned,"January 25, 2022",In all of France,
French Guiana,age-of-consent,27,Equal,Equal,,,
French Polynesia,homosexuality,1,Legal,Legal,,,
French Polynesia,marriage,8,Legal,Legal,"May 17, 2013",,
French Polynesia,censorship,56,No censorship,No censorship,,"In French Polynesia, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
French Polynesia,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","January 1, 2013",,
French Polynesia,non-binary-gender-recognition,,,,,,
French Polynesia,discrimination,19,Illegal,Illegal,,,
French Polynesia,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,,,
French Polynesia,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,,As being an island of France.,
French Polynesia,adoption,3,Legal,Legal,"April 17, 2013",,
French Polynesia,military,16,Legal,Legal,,France responsible for defence.,
French Polynesia,blood,25,Legal,Legal,,,
French Polynesia,conversion-therapy,48,Banned,Banned,"January 25, 2022",As part of France,
French Polynesia,age-of-consent,27,Equal,Equal,,,
French Southern Territories,homosexuality,1,Legal,Legal,"September 25, 1791",Follows from the French law being its territory without a permanent population,
French Southern Territories,marriage,8,Legal,Legal,,French law applies to French territories.,
French Southern Territories,censorship,56,No censorship,No censorship,,"In French Southern Territories, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
French Southern Territories,changing-gender,21,"Legal, surgery not required","Legal, surgery not required",,Surgery not required since 2018. Missing non binary options on documents.,
French Southern Territories,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,In all of France.,
French Southern Territories,discrimination,19,Illegal,Illegal,,,
French Southern Territories,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,,,
French Southern Territories,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,,,
French Southern Territories,adoption,3,Legal,Legal,,,
French Southern Territories,military,16,Legal,Legal,,France is responsible for defence.,
French Southern Territories,blood,25,Legal,Legal,"March 16, 2022",In all of France.,
French Southern Territories,conversion-therapy,48,Banned,Banned,"January 25, 2022",In all of France,
French Southern Territories,age-of-consent,27,Equal,Equal,,,
Gabon,homosexuality,1,Legal,Legal,"June 29, 2020",Homosexual acts are not criminalized.,
Gabon,marriage,13,Unrecognized,Unrecognized,"May 31, 1963",Same sex marriage is not recognized in Gabon,
Gabon,censorship,56,No censorship,No censorship,,"In Gabon, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Gabon,changing-gender,22,Illegal,Illegal,,Legal gender recognition is not available in the country.,
Gabon,non-binary-gender-recognition,,,,,,
Gabon,discrimination,20,No protections,No protections,,"According to the ILGA World, there are no protections from discrimination in Gabon.",
Gabon,employment-discrimination,43,No protections,No protections,,"According to the ILGA World, there are no protections in employment.",
Gabon,housing-discrimination,,ambiguous,Ambiguous,"September 27, 2016","Ambiguous, constitutional definitions very vague.",
Gabon,adoption,5,Single only,Single only,,No laws against this. No laws in place for same sex couples.,
Gabon,military,16,Legal,Legal,"June 29, 2020",Serving openly in the military is legal.,
Gabon,blood,25,Legal,Legal,,No restrictions.,
Gabon,conversion-therapy,49,Not banned,Not banned,,"According to the ILGA World, there's no ban on conversion therapy in Gabon.",
Gabon,age-of-consent,27,Equal,Equal,"June 29, 2020",Set at 18 years.,
Gambia,homosexuality,36,Illegal (up to life in prison as punishment),Illegal (up to life in prison as punishment),"September 10, 2014","In 2014 the Criminal Code was updated to allow sentences of up life imprisonment for ""aggrevated homosexuality"".",
Gambia,marriage,15,Not legal,Not legal,"July 21, 2005",Homosexuality is not legal in Gambia.,
Gambia,censorship,56,No censorship,No censorship,,"In Gambia, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Gambia,changing-gender,22,Illegal,Illegal,,The Gambia's laws do not allow individuals to change their gender. Additional legislation also bans crossdressing.,
Gambia,non-binary-gender-recognition,,na,N/A,,The Gambia does not allow people to change their gender.,
Gambia,discrimination,20,No protections,No protections,,LGBT people face discrimination from society and the state.,
Gambia,employment-discrimination,43,No protections,No protections,,LGBT persons face discrimination.,
Gambia,housing-discrimination,47,No protections,No protections,,LGBT persons are not protected from discrimination.,
Gambia,adoption,5,Single only,Single only,,However no laws in place for same sex couples. Homosexuality is currently illegal.,
Gambia,military,18,Illegal,Illegal,,Homosexuality is currently illegal.,
Gambia,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),,Homosexual activity is illegal. ,
Gambia,conversion-therapy,49,Not banned,Not banned,,Only criminalized in South Africa.,
Gambia,age-of-consent,,na,N/A,,Homosexual activity is illegal.,
Georgia,homosexuality,1,Legal,Legal,"February 15, 2000",,
Georgia,marriage,15,Not legal,Not legal,,The civil code of Georgia defines marriage as a union between man and woman.,
Georgia,censorship,56,No censorship,No censorship,,"In Georgia, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Georgia,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","January 1, 2008","Since 2008, transgender people in Georgia can change documents and personal names to reflect their preferred gender after having undergone sex reassignment surgery.",
Georgia,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,"According to the ILGA Europe, there's no recognition of non-binary gender in Georgia.",
Georgia,discrimination,19,Illegal,Illegal,"April 20, 2012",,
Georgia,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2014",,
Georgia,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2014",,
Georgia,adoption,5,Single only,Single only,,"Both single individuals and married heterosexual couples can adopt. The Civil Code of Georgia defines marriage as a union between a man and a woman. Accordingly, same-sex married couples cannot adopt in Georgia. However, here is no prohibition against adoption based on the sexual orientation of an unmarried prospective adoptive parent.",
Georgia,military,16,Legal,Legal,,,
Georgia,blood,25,Legal,Legal,"January 1, 2017",,
Georgia,conversion-therapy,49,Not banned,Not banned,,"According to the ILGA World, there's no ban on conversion therapy in Georgia.",
Georgia,age-of-consent,27,Equal,Equal,"February 15, 2000","According to article 140 and 141 of the Georgian Penal Code, the age of consent for both homosexual and heterosexual sex is 16.",
Germany,homosexuality,1,Legal,Legal,"June 11, 1994",Germany fully repealed section 175 of the German Criminal Code and legalized homosexual activity in 1994.,
Germany,marriage,8,Legal,Legal,"October 1, 2017","A bill for marriage equality passed the Bundestag on 30 June 2017 and the Bundesrat on 7 July, becoming law on 1 October.<br />
Paragraph 1353 of the German Civil Code.",
Germany,censorship,56,No censorship,No censorship,,"Article 5 of the German Basic Law guarantees freedom of press, speech and opinion.",
Germany,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","January 28, 2011","The German Constitutional Court found in the decision BvR 3295/07 that the provision that required surgery to change one's legal gender unconstitutional.<br />
<br />
In order to change the first names and gender entry, two psychological evaluations, which are generally paid for privately, as well as a court order are required.<br />
<br />
In 2017, the Federal Ministry for Family Affairs, Senior Citizens, Women and Youth (BMFSJ) commissioned the Humboldt University in Berlin to prepare an expert opinion on the ""need for regulation and reform for transgender people"". <br />
It found that the current assessment procedure is in many cases characterized by disproportionate time and expense as well as degrading and discriminatory experiences and violates the fundamental rights of the applicants.<br />
<br />
The non-governmental organization dgti issues a supplemental ID document which contains self-chosen first names, pronouns and genders. It is known and accepted by all German ministries of the interior, the police, and many authorities. With it, one can change their name in, among others, banks, universities and insurance companies. In five German states, references to the ID have been included in coronavirus ordinances and associated explanations to recognize it as an identification document, e.g., together with vaccination certificates.",
Germany,non-binary-gender-recognition,59,Intersex only,Intersex only,"January 1, 2019","The Civil Status Act (<i>PStG</i>) was amended to include Parapraph 45b to allow intersex people to identify themselves as ""diverse"" (<i>""divers""</i>).<br />
<br />
Germany is introducing a law (<i>Selbstbestimmungsgesetz</i>) that will allow transgender and non-binary people to change their legal first names and gender identity once a year through self-identification.<br />
If the legislation passes, transgender and non-binary people in Germany will no longer require psychological evaluations to legally change their name and gender. <br />
In this newly presented <b>Self-Determination Act</b>, from the age of 14, minors may make the declaration themselves with the consent of their guardians. In order to protect the personal rights of young people, the family court can replace the parents' decision at the request of the minor in cases where the custodians do not consent, based on the best interests of the child.<br />
Children under 14 will need their parents or guardians to make a registry office application on their behalf.",
Germany,discrimination,19,Illegal,Illegal,"June 29, 2006","National law was amended in 2006 when the Treaty of Amsterdam was signed - giving all people the same rights under law.<br />
<br />
The Federal Constitutional Court of Germany clarified in 1 BvR 2019/16 that the general right of personality (Article 2(1) in conjunction with Article 1(1) of the Basic Law) protects gender identity. It also protects the gender identity of non-binary people.<br />
Article 3(3) of the Basic Law includes non-binary people on the protection against discrimination on ground of their gender.",
Germany,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2006",Due to Germany being a Federal Republic many states have had anti-discrimination laws as early as 1992. But by signing the Treaty of Amsterdam (EU) Germany amended its national anti-discrimination laws to include sexual orientation.  ,
Germany,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"August 18, 2006",Section 1 of the General Act on Equal Treatment prohibits discrimination on housing.,
Germany,adoption,3,Legal,Legal,"October 1, 2017",Section 1741 of the German Civil Code grants all married couples the right to adopt children.,
Germany,military,16,Legal,Legal,"January 1, 2000",Article 3(1) of the Basic Law of the Federal Republic of Germany and Article 14 of the European Convention for the Protection of Human Rights and Fundamental Freedoms protect against unequal treatment on grounds of sexual orientation. ,
Germany,blood,25,Legal,Legal,"September 24, 2021","On September 24, 2021, new guidelines were introduced. Men in monogamous relationships with men can donate blood with no deferral.<br />
<br />
However, men who have sex with men outside of a monogamous relationship still face a 4 month deferral.","April 1, 2023"
Germany,conversion-therapy,48,Banned,Banned,"June 24, 2020","The Law for the Protection Against Conversion Treatments (<i>KonvBehSchG</i>) bans providing, arranging and advertising conversion therapy. Conducting conversion therapy on minors, or persons of legal age is those whose consent was obtained without their volition, is also explicitly banned.<br />
<br />
Providing, arranging or advertising conversion therapy is punishable by a fine up to €30,000.<br />
Carrying out conversion therapy on a minor or an adult whose consent was obtained without their volition is punishable by up to a year in prison or a fine.",
Germany,age-of-consent,27,Equal,Equal,"January 1, 1988",The age of consent of <b>14 years</b> is equal for everyone.,
Ghana,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","January 12, 1960","Under Section 104 of the Ghanaian Criminal Code of 1960 as ""unnatural carnal knowledge"". If the person is of 16 years or older and has consent, this is considered a misdemeanour, punishable by imprisonment not exceeding 3 years as per Article 296(4) of the Criminal Procedural Code. (Decriminalization pending)",
Ghana,marriage,15,Not legal,Not legal,"January 12, 1960",Same sex marriage is not recognized in Ghana,
Ghana,censorship,56,No censorship,No censorship,,"In Ghana, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Ghana,changing-gender,,ambiguous,Ambiguous,,Missing non binary options on documents.,
Ghana,non-binary-gender-recognition,,,,,,
Ghana,discrimination,20,No protections,No protections,"January 1, 1992","Homosexuality is illegal. As well physical and violent homophobic attacks against LGBT people are common, often encouraged by the media and religious and political leaders. Reports of young gay people being kicked out of their homes are also common. Discrimination in state employment only.",
Ghana,employment-discrimination,,ambiguous,Ambiguous,"April 1, 2018",Only in state employment only.,
Ghana,housing-discrimination,47,No protections,No protections,"April 1, 2018",No protections involving sexual orientation or gender identity.,
Ghana,adoption,5,Single only,Single only,,"Application for adoption may be made by a single person, but only if that person is a citizen of Ghana. Same-sex couples are not allowed to adopt children in Ghana.",
Ghana,military,18,Illegal,Illegal,,Lesbian couples are banned from serving.,
Ghana,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),,"According to the National Ghana Blood Service, people in homosexual relationships are banned from donating blood.",
Ghana,conversion-therapy,49,Not banned,Not banned,,"up to 400 people have been treated for homosexuality. on August 27, 2018.",
Ghana,age-of-consent,,na,N/A,,Homosexuality is not fully illegal.,
Gibraltar,homosexuality,1,Legal,Legal,"January 1, 1993",legal since 1993,
Gibraltar,marriage,8,Legal,Legal,"December 15, 2016",Civil Marriage Amendment Act 2016,
Gibraltar,censorship,56,No censorship,No censorship,,"In Gibraltar, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Gibraltar,changing-gender,22,Illegal,Illegal,,,
Gibraltar,non-binary-gender-recognition,,,,,,
Gibraltar,discrimination,19,Illegal,Illegal,"September 19, 2013","Hate speech banned. <br />
Criminal Justice (Amendment) Act<br />
2013.",
Gibraltar,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"September 13, 2013",under the anti-discrimination law. also the 2013 admentment.,
Gibraltar,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"September 19, 2013",,
Gibraltar,adoption,3,Legal,Legal,"April 1, 2013",,
Gibraltar,military,16,Legal,Legal,"January 1, 2000",,
Gibraltar,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),,"If you are gay, you can´t be a blood donor.",
Gibraltar,conversion-therapy,,ambiguous,Ambiguous,,Unknown.,
Gibraltar,age-of-consent,27,Equal,Equal,"January 1, 2011",,
Greece,homosexuality,1,Legal,Legal,"January 1, 1951","Homosexuality in Greece became legal in 1951 by the new Penal Code, but some discrimination in laws against homosexuals was valid until recently (article 347 of the Penal Code).",
Greece,marriage,33,Civil unions,Civil unions,"December 23, 2015","In December 23, 2015, the Hellenic Parliament voted with 193 votes (56 against and 51 abstentions), the law on the extension of the cohabitation agreement to homosexual couples.",
Greece,censorship,56,No censorship,No censorship,,"In Greece, there are no laws restricting to discussion or promotion of LGBTQ+ topics.",
Greece,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","October 10, 2017","To change one's legal gender in Greece, the legal requirements are a forced divorce (if married, due to the inability of performing same-sex marriage) and a court order. Non-binary people are to choose male or female.",
Greece,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,"February 13, 2018","Gender-neutral names can be used on IDs and birth certificates, following the case of Jason-Antigone Dane, but one can only legally identify as male or female",
Greece,discrimination,19,Illegal,Illegal,"December 24, 2015","Greece prohibits discrimination and hate crimes based on sex characteristics, which are among the strongest laws on the subject in Europe",
Greece,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"December 9, 2016","In December 9, 2016 the Hellenic Parliament passed the law 4443/2016, which added as 'suspicious' criteria of discrimination ""color"", ""ethnic origin"", ""pedigree"", ""chronic disease"", ""marital status"", ""social status"", ""gender identity"" and ""gender characteristics"", while the term “genetic orientation”, which was used in law 3304/2005, was corrected to sexual orientation. The concept of multiple discrimination was also standardized",
Greece,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2014",in all areas since 2014.,
Greece,adoption,5,Single only,Single only,"January 1, 1996",joint and step pending. Legalization pending. Currently being implemented in foster care.,
Greece,military,16,Legal,Legal,,Since 2002.,
Greece,blood,25,Legal,Legal,"January 10, 2022","In January 10, 2022 the Greek Minister of Health, Thanos Plevris, and the Deputy Minister of Health, Mina Gaga signed the determination of the content of the ""Blood Donor History"". In the new form, sexual orientation is disconnected from the criteria that must be met by prospective blood donors.",
Greece,conversion-therapy,48,Banned,Banned,"May 11, 2022"," The amendment, introduced in the context of the bill on the ""Personal Doctor"", introduces a ban on so-called ""treatments or conversion practices"", ie methods aimed at changing or suppressing the sexual orientation, the gender identity or expression of an LGBT+ individual.<br />
 The amendment, however, does not include adults who, as stated in Parliament, can undergo conversion therapy with their consent. There is also no mention of people practicing these therapies other than specialists, leaving a legal loophole for spiritual leaders and priests. The LGBT+ organizations protested and demanded the inclusion of all the above",
Greece,age-of-consent,27,Equal,Equal,"December 23, 2015",The Civil Union act also equalized the age of consent at 15,
Greenland,homosexuality,1,Legal,Legal,"January 1, 1933","Danish Penal Code of April 1930 gained effect on this date, legalizing homosexual activity.",
Greenland,marriage,8,Legal,Legal,"May 27, 2015",Parliament unanimously approved same sex marriage,
Greenland,censorship,56,No censorship,No censorship,,"In Greenland, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Greenland,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","September 12, 2014",The Danish government has removed any medical requirements for changing one's gender legally.,
Greenland,non-binary-gender-recognition,,ambiguous,Ambiguous,"September 12, 2014","The Danish government allows the 'X' gender marker in passports, however only transgender people without a legal gender change can obtain it in their passport.",
Greenland,discrimination,19,Illegal,Illegal,,,
Greenland,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 2010",Under the Greenland Employment Act. also incitement to hate tread on sexual orientation.,
Greenland,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"January 1, 1979",Under the Home Rule Act ,
Greenland,adoption,3,Legal,Legal,"May 27, 2015",Greenland parliament unanimously approves same sex marriage,
Greenland,military,16,Legal,Legal,"January 1, 1986",Greenland allows LGBTQ+ individuals to serve openly as per Danish law.,
Greenland,blood,52,Banned (3-month deferral),Banned (3-month deferral),"March 1, 2020",A four month deferral is in place following Denmark's decision.,
Greenland,conversion-therapy,,na,N/A,,"Details unknown. There are no official conversion therapies in Greenland, neither it is not encouraged, but it is not banned.",
Greenland,age-of-consent,27,Equal,Equal,"January 1, 1976","Age of consent is 15 regardless of sexual orientation; 18 for special cases between two individuals where one is in custody of the other, or who gives consent in the presence of the other's ""abusing superior age or experience.""",
Grenada,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","January 1, 1987","Homosexuality is illegal in Grenada, with up to 10 years prison as a penalty. (Decriminalization pending)",
Grenada,marriage,13,Unrecognized,Unrecognized,,Grenada does not accept the jurisdiction of the Inter-American Court of Human Rights.,
Grenada,censorship,56,No censorship,No censorship,,"In Grenada, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Grenada,changing-gender,,ambiguous,Ambiguous,"November 8, 2016",Full Legalization Pending under 2018 AICHR Ruling. Unknown.,
Grenada,non-binary-gender-recognition,,,,,,
Grenada,discrimination,32,Illegal in some contexts,Illegal in some contexts,,Under sex discrimination protections.,
Grenada,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,,Some under Sex discrimination.,
Grenada,housing-discrimination,47,No protections,No protections,,Homosexuality is still illegal there. Some under sex discrimination protections. ,
Grenada,adoption,5,Single only,Single only,,No restrictions. No laws in place for same sex couples.,
Grenada,military,,na,N/A,,Grenada does not have a military.,
Grenada,blood,25,Legal,Legal,"February 12, 2012",according to the blood bank there and on facebook.,
Grenada,conversion-therapy,,ambiguous,Ambiguous,,Unknown.,
Grenada,age-of-consent,27,Equal,Equal,,,
Guadeloupe,homosexuality,1,Legal,Legal,"September 25, 1791",Follows French law,
Guadeloupe,marriage,8,Legal,Legal,"May 17, 2013",According to French laws.,
Guadeloupe,censorship,56,No censorship,No censorship,,"In Guadeloupe, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Guadeloupe,changing-gender,21,"Legal, surgery not required","Legal, surgery not required",,not required.,
Guadeloupe,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,Under French regulation.,
Guadeloupe,discrimination,19,Illegal,Illegal,,,
Guadeloupe,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,,under French Law.,
Guadeloupe,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,,Under French Law.,
Guadeloupe,adoption,3,Legal,Legal,,as being an oversees department of France.,
Guadeloupe,military,16,Legal,Legal,,France is in charge of defense.,
Guadeloupe,blood,25,Legal,Legal,,,
Guadeloupe,conversion-therapy,48,Banned,Banned,"January 25, 2022",According to French laws,
Guadeloupe,age-of-consent,27,Equal,Equal,,,
Guatemala,homosexuality,1,Legal,Legal,"January 1, 1871",,
Guatemala,marriage,13,Unrecognized,Unrecognized,"May 29, 1995",Article 78 of the civil code defines marriage to be a union between a man and a woman,
Guatemala,censorship,56,No censorship,No censorship,,"In Guatemala, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Guatemala,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","December 4, 2017",Missing non binary options on documents.,
Guatemala,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,Missing non-binary options.,
Guatemala,discrimination,32,Illegal in some contexts,Illegal in some contexts,"April 1, 1997","The only part of legal system that protects individuals from LGBT-based discrimination is in the law of children and youth, protecting them from sexual orientation based discrimination (gender identity is not mentioned explicitly)",
Guatemala,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"May 17, 2016",Full discrimination protections. As well under hate crime laws.,
Guatemala,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"April 1, 1997",According to ILGA.,
Guatemala,adoption,5,Single only,Single only,,under Código de la Niñez y la Juventud. ( code of youth) Legalization pending.,
Guatemala,military,16,Legal,Legal,,,
Guatemala,blood,25,Legal,Legal,,No restrictions that I know of for this place. ,
Guatemala,conversion-therapy,49,Not banned,Not banned,,Unknown.,
Guatemala,age-of-consent,27,Equal,Equal,"January 1, 1871",,
Guinea,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"October 26, 2016","A new Penal Code was adopted in 2016, punishing ""unnatural acts"" with imprisonment of 6 months to 3 years and/or a fine of 500,000 to 1,000,000 Guinean francs.",
Guinea,marriage,15,Not legal,Not legal,"December 31, 1988",Homosexuality is illegal and same sex marriage is not recognized.,
Guinea,censorship,56,No censorship,No censorship,,"In Guinea, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Guinea,changing-gender,,ambiguous,Ambiguous,,Unknown.,
Guinea,non-binary-gender-recognition,,,,,,
Guinea,discrimination,20,No protections,No protections,"December 31, 1988","As homosexual conduct is illegal, discrimination is permitted for these people. The government has also explicitly stated their disapproval of homosexual conducts.",
Guinea,employment-discrimination,43,No protections,No protections,"December 31, 1988",,
Guinea,housing-discrimination,47,No protections,No protections,"December 31, 1988",,
Guinea,adoption,5,Single only,Single only,,No restrictions as far as I know. Missing laws for same sex couples.,
Guinea,military,18,Illegal,Illegal,,Homosexuality is currently illegal.,
Guinea,blood,25,Legal,Legal,,,
Guinea,conversion-therapy,,ambiguous,Ambiguous,,Unknown.,
Guinea,age-of-consent,,na,N/A,,Homosexuality is illegal.,
Guinea-Bissau,homosexuality,1,Legal,Legal,,,
Guinea-Bissau,marriage,13,Unrecognized,Unrecognized,"April 23, 1993",The civil code defines marriage as a union of people with opposite sex,
Guinea-Bissau,censorship,56,No censorship,No censorship,,"In Guinea-Bissau, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Guinea-Bissau,changing-gender,,ambiguous,Ambiguous,,No laws in place.,
Guinea-Bissau,non-binary-gender-recognition,,,,,,
Guinea-Bissau,discrimination,20,No protections,No protections,,No protections. But 90 percent of people living here said that homosexuality is not an issue.,
Guinea-Bissau,employment-discrimination,43,No protections,No protections,,,
Guinea-Bissau,housing-discrimination,47,No protections,No protections,,No protections from discrimination.,
Guinea-Bissau,adoption,5,Single only,Single only,,according from a French website. no restrictions known. Missing laws for same sex couples.,
Guinea-Bissau,military,16,Legal,Legal,,Missing discrimination protections.,
Guinea-Bissau,blood,25,Legal,Legal,,,
Guinea-Bissau,conversion-therapy,49,Not banned,Not banned,,"According to the ILGA World, there's no ban on conversion therapy in Guinea-Bissau.",
Guinea-Bissau,age-of-consent,27,Equal,Equal,,Equalised age of consent at 16.,
Guyana,homosexuality,34,"Male illegal, female uncertain","Male illegal, female uncertain","May 1, 2016",15 years to life in prison. Not enforced. Decriminailzation pending. Supported by President. Trinidad and Tobago just legalized Homosexuality. UK is helping to decriminalize homosexuality here. Required legalization under IACHR 2018 Ruling.,
Guyana,marriage,15,Not legal,Not legal,,,
Guyana,censorship,56,No censorship,No censorship,,"In Guyana, there are no laws restricting the discussion or promotion of LGBTQ+ topics.",
Guyana,changing-gender,,ambiguous,Ambiguous,,Only place in south America that criminalizes this. currently being reviewed by the Caribbean court of Justice. Decriminalized cross dressing in 2018.,
Guyana,non-binary-gender-recognition,58,Not legally recognized,Not legally recognized,,Guyana does not allow people to legally change their gender.,
Guyana,discrimination,20,No protections,No protections,"February 20, 1980",There have been measures proposed during 2000 and 2003 to include sexual orientations and gender identities in grounds to protect against discriminations but these measures failed.,
Guyana,employment-discrimination,43,No protections,No protections,"February 20, 1980",,
Guyana,housing-discrimination,47,No protections,No protections,"February 20, 1980",,
Guyana,adoption,5,Single only,Single only,"October 6, 2017",Homosexuality is currently illegal. Legalization pending.,
Guyana,military,16,Legal,Legal,"January 1, 2012","Completely legal since Jan 1, 2012. ",
Guyana,blood,25,Legal,Legal,,No restrictions that I know of.,
Guyana,conversion-therapy,49,Not banned,Not banned,,Not criminalized.,
