country,issue,id,value,value_formatted,end_date_formatted,description,start_date_formatted
Estonia,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","September 18, 2018",Just got rid of the requirement for surgery. Missing non binary options on documents.,"May 7, 1999"
Estonia,discrimination,32,Illegal in some contexts,Illegal in some contexts,"January 1, 2009","Although the Constitution prohibits any kind of discrimination (but this is difficult to enforce and unclear how applies), Equal Treatment Act only prohibits discrimination in employment.","January 1, 2009"
Estonia,adoption,5,Single only,Single only,"September 1, 2018",Legalization pending.,"January 1, 2016"
Estonia,adoption,5,Single only,Single only,"February 1, 2017", ,
Estonia,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"December 2, 2021",Legalization pending.,"January 1, 2011"
Estonia,age-of-consent,27,Equal,Equal,"June 1, 2022",The age of consent of <b>14 years</b> is equal for everyone.,"January 6, 2002"
Eswatini,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 18, 2018","Up to 14 years in prison. Not enforced. The just had its first ever pride parade on June 30, 2018. the pride parade went off without any violence.","January 1, 2014"
Ethiopia,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"September 19, 2018",10-15 years in prison. not enforced.,"May 19, 2016"
Ethiopia,marriage,13,Unrecognized,Unrecognized,"September 9, 2018",Homosexuality is currently illegal.,"May 16, 2016"
Ethiopia,adoption,5,Single only,Single only,"July 29, 2018",In one region it is single only as part of Eritrea.,"January 1, 2018"
Falkland Islands,marriage,15,Not legal,Not legal,"March 29, 2017",No kinds of same-sex unions are recognized by the Government of the Falkland Islands. ,
Falkland Islands,changing-gender,,ambiguous,Ambiguous,"January 1, 2014",No laws in place to allow change of gender.,
Faroe Islands,marriage,13,Unrecognized,Unrecognized,"July 1, 2017",A set of bills to extend Danish same-sex marriage legislation to the Faroe Islands was submitted to the Løgting on 20 November 2013.,
Faroe Islands,adoption,3,Legal,Legal,"September 5, 2017",,"August 22, 2017"
Fiji,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"January 1, 2005",Unsure of the penalty. Fiji inherited its sodomy laws from its British colonizers. Laws invalidated as unconstitutional by Fiji courts.,"January 1, 1874"
Fiji,marriage,13,Unrecognized,Unrecognized,"September 6, 2018",Got removed in 2010. Gay marriage pending.,"January 1, 2002"
Fiji,discrimination,19,Illegal,Illegal,"January 1, 2009",Second country to ban LGBT discrimination in its constitution. The Constitution was abolished following a coup.,"January 1, 1997"
Finland,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"January 1, 1971","Before 1971, homosexuality was illegal and punished by prison","January 1, 1889"
Finland,marriage,8,Legal,Legal,"March 1, 2017","After various referendums that asked the Finnish public on gay marriage, they finally cleared the last referendum in the 22nd of February, and gay marriage was finally allowed since this date. ","November 8, 2014"
Finland,marriage,9,Other type of partnership,Other type of partnership,"November 28, 2014",Same-sex couples are legally able to form registered partnerships,"September 28, 2001"
Finland,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","April 3, 2023","The authorities shall recognise a person as belonging to the opposite sex to that recorded on the population register, provided they:<br />
• Provides a medical report testifying that they permanently experience being a member of the opposite sex and that they live in the gender roles of those and that they have been sterilized or are otherwise incapable of having children<br />
• They are an adult<br />
• They are not married or in a registered partnership; unless the spouse or partner gives their consent in which case a marriage become a registered partnership and a registered partnership becomes a marriage<br />
• They are a Finnish citizen or is resident in Finland","January 1, 2003"
Finland,adoption,6,Step-child adoption only,Step-child adoption only,"March 1, 2017",Only able to adopt child of the other partner,"May 15, 2009"
Finland,blood,40,Banned (1-year deferral),Banned (1-year deferral),"May 3, 2021","Before May 3, 2021, Finland had a one year deferral period.","May 12, 2014"
Finland,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"May 11, 2014",,
France,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","September 1, 2018",No surgery required since 2018. Missing non binary options on documents.,"January 1, 1992"
France,non-binary-gender-recognition,59,Intersex only,Intersex only,"March 1, 2016",A court in Tours ruled in favour of an intersex plaintiff who sought to have a third gender option recognised on official identification documents.,"August 20, 2015"
France,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"July 31, 2012",,"November 27, 2000"
France,blood,25,Legal,Legal,"June 30, 2021","""fin des descriminations au don du sang pour les hommes ayant des relations sexuelles avec des hommes.""","June 29, 2021"
France,blood,52,Banned (3-month deferral),Banned (3-month deferral),"March 15, 2022","In July 2019, Minister of Health Agnès Buzyn announced that the deferral period would be reduced to four months of abstinence from 2 April 2020.","April 2, 2020"
France,blood,40,Banned (1-year deferral),Banned (1-year deferral),"September 6, 2018","Proposed in 2015, the indefinite deferral was replaced by a 1 year deferral in 2016.","July 10, 2016"
France,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"July 9, 2016","In 1983, in response to the HIV epidemic, the Directorate General of Health banned MSMs from donating blood indefinitely. This ban was reiterated in 2009.","June 20, 1983"
France,conversion-therapy,49,Not banned,Not banned,"January 26, 2022","Not banned, although a legislation to criminalise conversion therapy is currently progressing.",
French Southern Territories,blood,52,Banned (3-month deferral),Banned (3-month deferral),"March 16, 2022",In all of France.,"September 6, 2018"
French Southern Territories,blood,40,Banned (1-year deferral),Banned (1-year deferral),"September 6, 2018",Legalization pending.,"July 10, 2016"
Gabon,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"June 29, 2020","Article 402 of the Penal Code outlines moral offences, including ""sexual relations between persons of the same sex"", punishable by imprisonment of up to six months and a fine of up to 5 million CFA francs.","July 5, 2019"
Gabon,homosexuality,1,Legal,Legal,"July 4, 2019",Not criminalised but same sex couple report being harassed by the police. ,"May 31, 1963"
Gabon,military,18,Illegal,Illegal,"June 29, 2020",Homosexuality is illegal.,
Gabon,age-of-consent,,na,N/A,"June 29, 2020",Homosexual activity is illegal. ,"July 5, 2019"
Gambia,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"September 9, 2014",Imprisonment of up to 7 years,"January 1, 1888"
Georgia,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 17, 2018",Required legalization under EU ruling. Recognized for immigration purposes only under 2018 EU Ruling. Civil Unions pending.,"February 9, 2016"
Germany,homosexuality,1,Legal,Legal,"June 11, 1994","Section 175 of the Criminal Code was relaxed for persons over 21 years in East Germany in 1968, with West Germany following suit in 1969. However, although this meant that homosexual activity between men was decriminalized, it was not made legal.","September 1, 1969"
Germany,homosexuality,35,Illegal (death penalty as punishment),Illegal (death penalty as punishment),"September 1, 1969",Section 175 of the Criminal Code was amended during Nazi rule to create harsher penalties for homosexual behavior between men. Imprisonment was to range from three months to ten years in prison. Many homosexual men died in the Nazi concentration camps they were sent to.,"September 1, 1935"
Germany,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 1, 1935","Section 175 of the Criminal Code of the German Empire criminalized homosexual activity between men over the age of 18.<br />
The penalty was imprisonment or a loss of civil rights.","May 15, 1871"
Germany,marriage,33,Civil unions,Civil unions,"September 30, 2017",Germany recognizes civil unions and provides tax benefits to couples in a civil union.,"August 1, 2001"
Germany,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","January 28, 2011",Germans can change their first names and gender entry under the condition of gender-affirming surgery. Article 1 of <i>Transsexuellengesetz</i> (Transsexuals Act of 10 September 1980) ,"September 10, 1980"
Germany,adoption,6,Step-child adoption only,Step-child adoption only,"September 30, 2017","Same-sex couples in Germany can legally adopt a step-child, biological or not of the other partner.","February 19, 2013"
Germany,blood,25,Legal,Legal,"April 1, 2023","On September 24, 2021, new guidelines were introduced. Men in monogamous relationships with men can donate blood with no deferral.<br />
<br />
However, men who have sex with men outside of a monogamous relationship still face a 4 month deferral.","September 24, 2021"
Germany,blood,40,Banned (1-year deferral),Banned (1-year deferral),"September 24, 2021",A 1-year deferral was in effect.,"August 7, 2017"
Germany,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"August 7, 2017",Banned up until 2017.,
Ghana,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 19, 2018",Up to 3 years in prison. Not enforced. information from lgbt silk map. as well as from HRW. decriminalization pending.,"January 12, 1960"
Ghana,discrimination,20,No protections,No protections,"January 1, 1992","As homosexuality is illegal, there are no legal protections","January 12, 1960"
Gibraltar,homosexuality,34,"Male illegal, female uncertain","Male illegal, female uncertain","January 1, 1992",,
Gibraltar,marriage,33,Civil unions,Civil unions,"December 14, 2016",Civil Partnership Act 2014,"March 28, 2014"
Greece,homosexuality,1,Legal,Legal,"December 23, 2015","Homosexuality in Greece became legal in 1951 by the new Penal Code, but some discrimination in laws against homosexuals was valid until recently (article 347 of the Penal Code).","January 1, 1951"
Greece,marriage,11,"Unrecognized, same-sex marriage and civil unions banned","Unrecognized, same-sex marriage and civil unions banned","December 23, 2015","Cohabitation agreement, corresponding to civil union, was instituted in Greece, in November 26, 2008, only available to opposite-sex couples. In April 2006, former President of the PA.SO.K. party, George Papandreou proposed to Parliament the recognition of unmarried same-sex or heterosexual couples.  However, the project was not accepted by the LGBT organizations as it was considered that it would not have any benefit in their rights, since it prohibited the adoption of children.","November 26, 2008"
Greece,discrimination,32,Illegal in some contexts,Illegal in some contexts,"December 2, 2016",Many instances of discriminations against LGBT individuals are illegal. The only case where discrimination is not illegal is if it is done by public domain (of which the church is one.),"September 10, 2014"
Greece,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"December 9, 2016","The Community/Union legislation (directive 2000/78) prohibited discrimination based on sexual orientation in the workspace. Later on it was transferred to the Greek legal order, with law 3304/2005, almost verbatim. The greek translation of the directive and the greek law referred to sexual orientation as “genetic orientation”.","July 14, 2005"
Greece,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"January 10, 2022","In order to donate blood, blood donors had to fill out a form called ""Blood Donor History”, issued by the National Blood Donation Center, which stated that donating blood is prohibited for “anyone who had been in a homosexual relationship since 1977”",
Greece,conversion-therapy,,ambiguous,Ambiguous,"May 11, 2022","In May 10, 2022 the Greek Minister of Health, Thanos Plevris submitted an amendment to the bill for the “personal doctor”, based on article 1 of which institutes the prohibition of practical conversions to vulnerable individuals by professionals. With the term ""professionals"" the amendment defines those who receive remuneration to proceed with such ""treatments"", leaving a legal gap in practices e.g.  of the Church, such as exorcism or other covert practices, which do not involve remuneration. Also, the term ""vulnerable"" means minors or those who are under legal assistance. <br />
 At the same time, the provision prohibits professionals from inviting, promoting or advertising conversion practices performed by themselves or other third parties, professionals or not.<br />
 Violation of the law in addition to the prescribed disciplinary and administrative sanctions, will be punished with imprisonment and a fine, while the repeated commission of the above act constitutes an aggravating circumstance.","May 10, 2022"
Greece,conversion-therapy,49,Not banned,Not banned,"January 1, 2022",Proposed criminalization. Conversion therapy ban country wide pending. Condemned by European Psychiatrists.,
Greece,conversion-therapy,49,Not banned,Not banned,"May 10, 2022","Conversion Therapies for LGBT people are held openly in Greece with the tolerance of the state as well as the responsible associations of mental health specialists. Research on this issue indicates that such therapies involve spiritual or religious leaders, alternative healers (homeopaths, energy therapists, etc.) as well as health and mental health professionals.<br />
 Today, while some psychologists continue to use therapies such as disgust, the most commonly used techniques include a variety of behavioral, cognitive, psychoanalytic, and other practices that seek to change or reduce a person's same-sex attraction or gender identity. Lesser known but still active practices are beatings, sexual violence - even rape -, isolation, deprivation of food, electroshock, administration of drugs and other drugs, psychological violence, as well as exorcisms or other sessions.<br />
 The church is also promoting these therapies through the church-funded omofylofilia.gr site.",
Greece,age-of-consent,28,Unequal,Unequal,"December 23, 2015","Article 347 of the Greek Criminal Code; which provides for a higher age of consent of 17, for seducing a male person if the male partner is over 18 and for lesbians and both male/female heterosexuals (regardless of close-in-age or not) and for only close-","January 1, 1951"
Greenland,marriage,33,Civil unions,Civil unions,"May 27, 2015",Recognized Denmark's registered partnership law on this date.,"April 26, 1996"
Greenland,changing-gender,,ambiguous,Ambiguous,"September 12, 2014",No laws exists. Legalization pending. Missing non binary options on documents.,
Greenland,adoption,6,Step-child adoption only,Step-child adoption only,"May 27, 2015","Joint adoption not legal at this time, only adoption of one partners existing children.","July 1, 2009"
Grenada,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 16, 2018",8-14 years in prison under unnatural connections. Not enforced. Decriminalization pending. the president of the senate in Grenada suggested in may 2013 for decriminalization of Homosexuality.,"January 1, 1987"
Guatemala,marriage,10,Foreign same-sex marriages recognized only,Foreign same-sex marriages recognized only,"September 17, 2018",Required by 2018 ruling by IACHR Ruling. Gay Unions pending.,"May 29, 1995"
Guatemala,changing-gender,22,Illegal,Illegal,"December 4, 2017",Just legal to change name due your gender identity but illegal to change gender mark.,
Guinea,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"October 25, 2016","Article 325 of the Guinea Penal Code states that homosexuality is illegal with punishment being 6 months to three years in prison and a fine of 100,000 to 1,000,000 Guinean francs. If the act was committed with a minor (under 21 years), the individual will face the maximum penalty.","December 31, 1988"
Guyana,homosexuality,36,Illegal (up to life in prison as punishment),Illegal (up to life in prison as punishment),"September 6, 2018","A slender majority of Guyanese support the ""buggery law""",
Heard Island and McDonald Islands,blood,40,Banned (1-year deferral),Banned (1-year deferral),"January 31, 2021","Until January 31, 2021, a one year deferral period was in place.",
Vatican City,marriage,13,Unrecognized,Unrecognized,"September 1, 2018",Same sex couples are taboo.,"January 1, 1929"
Hong Kong,marriage,13,Unrecognized,Unrecognized,"January 1, 2017",Same-sex marriage was not recognized.,
Hong Kong,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","February 6, 2023",Hong Kong Supreme Court ruled that post-operative transsexuals could change their legal gender for purposes including marriage.,"May 13, 2013"
Hong Kong,employment-discrimination,,ambiguous,Ambiguous,"September 18, 2018",Only in Government Positions. under Hong Kong Bill of Rights Ordinance 1991 it is interpreted to include sexual orientation. ,"January 1, 2017"
Hungary,marriage,14,Unregistered cohabitation,Unregistered cohabitation,"June 30, 2009",Unregistered cohabitation confers limited rights to unmarried couples.,"January 1, 1996"
Hungary,changing-gender,,ambiguous,Ambiguous,"January 31, 2023","On International Transgender Day of Visibility 2020 Hungary's parliament submitted a bill to amend the definition of sex to match sex at birth, making it impossible for individuals to change their legal gender, However, It is illegal in Hungary to be discriminated for your gender identity and there is other pieces of legislation that de facto recognise transgenders ","May 28, 2020"
Hungary,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","May 28, 2020",It is legal for individuals to change their legal gender without having to go through gender reassignment surgery.,"August 14, 1982"
Hungary,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","September 7, 2018",Under the revision of sex change law in 2018. Missing non binary options.,"August 14, 1982"
Hungary,adoption,4,Married couples only,Married couples only,"January 1, 2020","Any individual can apodt regardless of thair marital status but prefecence has to be given to married couples. Joint adoption is available only for them.<br />
Second parent adoption is available for married and cohabiting couples - regardless of gender - but not for registered (same sex) partners.<br />
<br />
Same sex cohabiting couples's joint adoption has to be authorized by the Guardianship Office.","May 1, 2010"
Hungary,blood,40,Banned (1-year deferral),Banned (1-year deferral),"December 31, 2019",Gay and bisexual men were allowed to donate blood following a 12-month deferral period.,
Iceland,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"December 31, 2021",Iceland bans men who have sex with men from donating blood.,
India,homosexuality,37,Illegal (imprisonment as punishment),Illegal (imprisonment as punishment),"September 6, 2018","The Delhi High Court ruling, IPC 377, was overruled by the Supreme Court of India. Sexual intercourse between two people of the same sex is illegal, being punishable by up to 10 years imprisonment.","December 11, 2013"
India,homosexuality,1,Legal,Legal,"December 10, 2013",Case law overriding Section 377 of the Indian Penal Code,"July 2, 2009"
India,marriage,14,Unregistered cohabitation,Unregistered cohabitation,"August 16, 2022","The Uttarakhand High Court acknowledged that cohabitation and ""live-in relationships"" are protected by law.","June 12, 2020"
India,marriage,13,Unrecognized,Unrecognized,"June 11, 2020","There are currently several same-sex marriage petitions pending with the courts. On 12 June 2020, the Uttarakhand High Court acknowledged that while same-sex marriage may not be legal, cohabitation and ""live-in relationships"" are protected by the law.","December 11, 2013"
India,marriage,,ambiguous,Ambiguous,"December 10, 2013",There has been an officially recognised female-female marriage,"July 22, 2011"
India,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","January 9, 2020","The Supreme Court of India recognized a third gender that individuals, including transgender persons can choose to identify themselves in official documents without surgery. This ruling does not however allow people to change their gender to male or female.","April 15, 2014"
India,changing-gender,21,"Legal, surgery not required","Legal, surgery not required","September 6, 2018",Not required but preformed here in India. As well there is a third option for all documents.,"April 15, 2014"
India,discrimination,20,No protections,No protections,"September 6, 2018",No known anti-discrimination protections exist for sexual orientation or gender identity.,"August 15, 1949"
India,military,18,Illegal,Illegal,"September 6, 2018","Article 46 of the Army Act states any ""indecent or unnatural acts"" are punishable by up to 7 years","May 20, 1950"
India,conversion-therapy,49,Not banned,Not banned,"June 7, 2021",Strongly condemned by Indian Psychiatric Society. Not criminalized. Conversion therapy ban pending. Under ruling from the supreme court legalizing of same sex activity.,
Indonesia,homosexuality,,varies,Varies by Region,"January 1, 2016","Sex between consenting adults (18 years of age by the Law on Child Protection, No.<br />
23/2002) of the same sex or gender is not criminalized in the Indonesian Penal Code. <br />
<br />
There are three exceptions where homosexuality is marginalized in local ordinances:<br />
<br />
1. District Ordinance on Social Order (No. 10/2007) in Banjar, South Kalimantan Province. It<br />
mentions “abnormal” homosexual and heterosexual acts (in addition to “normal” ones) in<br />
its definition of “prostitute.” No explanation is given for “normal” or “abnormal” acts. It also<br />
prohibits the formation of organizations “leading to immoral acts” that are “unacceptable to<br />
the culture of [local] society.” These are later explained by giving examples of lesbian and gay<br />
organizations “and the like.”<br />
<br />
2. City Ordinance on the Development of a Value System in Social Life Based on the Teachings of<br />
Islam and Local Social Norms (No. 12/2009) in Tasikmalaya, West Java. It prohibits adultery and<br />
prostitution, both heterosexual and homosexual.<br />
<br />
3. City Ordinance on the Prevention, Eradication and Prosecution of Social Ills (No. 9/2010)<br />
in Padang Panjang, West Sumatra. The section with de$nition of terms explicitly mentions<br />
“homosexual and lesbian” relationships and later prohibits such relationships and prohibits<br />
persons from “o#ering themselves for homosexual and lesbian relationships either with or<br />
without payment.”<br />
<br />
Alongside these local ordinances, Aceh province (a province with significant legislative autonomy from the rest of Indonesia) from October, 2015, criminalises homosexual sex between muslim men with a punishment of up to 100 lashes.    ","January 1, 2002"
Indonesia,homosexuality,1,Legal,Legal,"December 6, 2022","Homosexuality is legal in Indonesia. The age of consent is 18 years old. Illegal in the Autonomous province of Aceh. Although, the Indonesian law allows homosexual conducts an overbroad interpretation of the pornography law, coupled with government action has enabled the police to use in targetting LGBT people.","August 9, 2001"
Indonesia,homosexuality,1,Legal,Legal,"September 24, 2019","Legal Nationwide (The age of consent in Indonesia for a Homosexual Activity is 18 years old since 1993), except in Aceh :<br />
<br />
Aceh's law on criminalizing ""Anal Sex"" for Muslim men came into effect on October 23rd, 2015.<br />
<br />
Indonesia's proposed new penal code which sought to criminalize Homosexual conducts was failed to pass as of September 24, 2019.<br />
","January 1, 1993"
Indonesia,homosexuality,1,Legal,Legal,"October 25, 2015","The date listed is the ratification of the Indonesian Constitution. Homosexuality is legal in Indonesia with the exception of Aceh and the city of Palembang .<br />
","August 16, 1945"
Indonesia,discrimination,20,No protections,No protections,"October 8, 2015",LGBT Indonesians face discrimination on the work place.,
Indonesia,military,18,Illegal,Illegal,"September 8, 2020","Under the ST/398/2009 telegram letter of the Indonesian Military, it is illegal for LGBTQIA+ identifying people to serve in the military, openly or secretly. The Indonesian Military aggressively hunts, cracks down, imprison, and dishonorably discharge LGBTQIA+ identifying members of the Indonesian Military. Back then, the Indonesian Psychological Association stated that LGBTQIA+ identity is a mental illness. Numerous people inside the Military were imprisoned if vigilantes caught Military members having private, consensual, gay sex. <br />
<br />
We compiled and translated the tweets from the Indonesian Air Force’s Official Account responding to questions about recruiting LGBTQIA+ identifying people to the Indonesian Military. Here are all the tweets in chronological order:<br />
<br />
1. When being asked if members of the LGBTQIA+ community can serve in the Indonesian Military, here are their response: (https://twitter.com/_TNIAU/status/950706476623933446) <br />
Ooohhh, cannot<br />
<br />
Upon selection there are psychological tests, LGBT is a mental disorder If there are many recruits that are mentally healthy why must we accept the mentally deficient?<br />
<br />
2. The twitter went viral and there were some criticisms, which they responded with: (https://twitter.com/_TNIAU/status/950723833606037505)<br />
(The word “normal” means heterosexual)<br />
Responding to many mentions that went in -> until right now there are still many Military recruits that have a normal sexual orientation. <br />
<br />
Members of the Indonesian Military are governed by military norms including religious norms & laws, so (members) must be physically & mentally healthy<br />
<br />
3. In response to the numerous tweets arguing that homosexuality is not a mental illness, they responded with: (https://twitter.com/_TNIAU/status/950733029894381569)<br />
(“Airmin” is how they say Air Force Admin)<br />
(“UI” is short for the University of Indonesia, the top University in Indonesia)<br />
In response to the debate if LGBT is a mental disorder or not, ""airmin""will give you a Link containing an opinion from one of the doctors of UI.<br />
https://nasional.republika.co.id/berita/nasional/umum/16/03/23/o4hkwh365-guru-besar-ui-lgbt-penyakit-gangguan-jiwa<br />
<br />
4. One person replied that it is an opinion of one person and does not equate the scientific burden of proof. They responded with: (https://twitter.com/_TNIAU/status/950737066127536128)<br />
As an member of the Military who is pious to the Almighty God and as a Muslim the Al-Quran is enough to be a scientific proof, are there any higher knowledge and more credible than the Holy Bible? In the Holy Bible LGBT is not only prohibited but also “cursed”<br />
<br />
5. The Indonesian Air Force responded to more replies with this final tweet: (https://twitter.com/_tniau/status/950738661905121281)<br />
Same-sex relationships is a sin am I right :) I’m sorry yaa, even animals are never wrong in their (mating) targets",
Indonesia,age-of-consent,28,Unequal,Unequal,"October 15, 2019","The age of consent for males and females engaged in heterosexual activity is 19 and 16 in a marriage  respectively. For homosexual activity, the age of consent is 18.","January 1, 1974"
Iran,homosexuality,35,Illegal (death penalty as punishment),Illegal (death penalty as punishment),"September 3, 2018",74 lashes for immature men and death penalty for mature men. 50 lashes for women. as well as life in prison. forth conviction is death penalty.,"January 1, 1900"
Iran,marriage,13,Unrecognized,Unrecognized,"February 11, 1979","Under the Shah's rule, the last monarch of the Pahlavi dynasty, homosexuality was criminalised, though it was mostly tolerated even to the point of allowing news coverage of a mock same-sex wedding between two men.","September 16, 1941"
Iran,housing-discrimination,47,No protections,No protections,"January 1, 2021",Please remove this entry as I updated the current one,
Iran,age-of-consent,,na,N/A,"January 1, 1979","Due to homosexuality being ilegal, there is no age of consent for homosexuals.",
Iran,age-of-consent,,na,N/A,"January 1, 1979","There’s no age of consent, because homosexual activity is illegal in this region",
Iraq,age-of-consent,27,Equal,Equal,"September 7, 2018",Set age of Consent for heterosexual and lgbt people.,"January 1, 1969"
Ireland,marriage,33,Civil unions,Civil unions,"May 23, 2015","Granted under the Civil Partnership and Certain Rights and Obligations of Cohabitants Act, 2010.","January 1, 2011"
Ireland,changing-gender,22,Illegal,Illegal,"July 15, 2015","No legislation at present, but government has said it will legislate and there has been a landmark court prompting the government to seek legislation surrounding the issue.  This legislation has yet to be carried out.","January 1, 2002"
Ireland,discrimination,32,Illegal in some contexts,Illegal in some contexts,"January 1, 2004",,"January 1, 2000"
Ireland,discrimination,32,Illegal in some contexts,Illegal in some contexts,"January 1, 2000",,"January 2, 1998"
Ireland,discrimination,32,Illegal in some contexts,Illegal in some contexts,"January 1, 1998",,"January 1, 1989"
Ireland,employment-discrimination,44,Sexual orientation only,Sexual orientation only,"March 29, 2011","Ireland's Employment Equality Act, 1998, and the Equal Status Act, 2000 outlawed discrimination on the basis of sexual orientation. ","January 1, 1999"
Ireland,housing-discrimination,45,Sexual orientation and gender identity,Sexual orientation and gender identity,"August 1, 2018",Under the new anti discrimination protection laws passed 1989-2000. ,"January 1, 2000"
Ireland,adoption,5,Single only,Single only,"May 23, 2015","Law specifies that married couples or single individuals may adopt, but there is no same sex marriage in Ireland at present.","November 1, 2010"
Ireland,military,,na,N/A,"January 1, 2007",The Irish Army changed their policy in early 1993,"May 1, 1993"
Ireland,blood,52,Banned (3-month deferral),Banned (3-month deferral),"November 28, 2022","On March 28, 2022, the deferral period has been reduced to four months.","March 28, 2022"
Ireland,blood,40,Banned (1-year deferral),Banned (1-year deferral),"March 28, 2022",Also applies to women who have had sex with a man who has ever had sex with another man.,"January 15, 2017"
Ireland,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"January 14, 2017","The Irish Blood Transfusion Service bans blood from men who have sex with men. Their policy states: ""In order to assure the continued safety of the blood supply, we currently ask those people who may have a particularly high risk of carrying blood-borne viruses not to give blood. This includes men who have ever had sex with another man / men.""","November 7, 2011"
Isle of Man,homosexuality,34,"Male illegal, female uncertain","Male illegal, female uncertain","September 1, 1992",Men convicted of buggery or indecent acts were imprisoned or sentenced to community service as late as 1991. Historical gay sex offences were formally and automatically pardoned by the Sexual Offences and Obscene Publications Act 2021.,
Isle of Man,marriage,33,Civil unions,Civil unions,"July 21, 2016",Civil Partnerships were introduced by the Civil Partnership Act 2011.,"April 6, 2011"
Isle of Man,conversion-therapy,49,Not banned,Not banned,"August 5, 2021",No Conversion Therapy ban in place.,
Isle of Man,age-of-consent,28,Unequal,Unequal,"January 1, 2006","The Sexual Offences Act 1992 decriminalised homosexual activity but set the age of consent for same sex male couples to 21, which was reduced to 18 in 2001 by the Criminal Justice Act 2001, compared to 16 for heterosexual couples.","January 1, 1992"
Israel,marriage,,varies,Varies by Region,"November 6, 2006",Same-sex marriage from abroad recognized since 2006 and in a few cities since 2020,"January 1, 2006"
Israel,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","January 21, 2015",Israelis can change their legal gender only after a sex-reassignment surgery.,"January 1, 1986"
Israel,employment-discrimination,42,Sexual orientation and gender identity,Sexual orientation and gender identity,"December 2, 2017",Since 1992,"January 1, 1992"
Israel,blood,40,Banned (1-year deferral),Banned (1-year deferral),"April 1, 2018",1 year deferral,"June 1, 2017"
Israel,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"May 31, 2017",.,"January 1, 1980"
Italy,marriage,13,Unrecognized,Unrecognized,"May 11, 2016",Some symbolic civil unions are recognized in select regions though no full and meaningful recognition is given.,"January 1, 1942"
Italy,changing-gender,51,"Legal, but requires surgery","Legal, but requires surgery","July 23, 2015",Surgery is required,"April 14, 1982"
Italy,adoption,7,Illegal,Illegal,"June 26, 2019",Some courts have recognized foreign joint adoption. Some receptions are also made for step-children. Gay adoption legalizing pending.,
Italy,adoption,7,Illegal,Illegal,"January 1, 2015","The couple applying for adoption must be a married, different sex couple.  Custody has been granted to a same-sex parent on the basis of the ""child's best interest,"" but this is very rare.",
Italy,blood,,ambiguous,Ambiguous,"January 1, 2001","Italy legalizes blood donations as Health Minister lifts blood ban.  However, Italy still denies men who engaged in ""risky behaviors""",
Italy,blood,26,Banned (indefinite deferral),Banned (indefinite deferral),"January 1, 2000",The Italian Health Minister Umberto Veronesi lifted the gay blood ban in 2001.,
Jamaica,homosexuality,31,"Male illegal, female legal","Male illegal, female legal","September 19, 2018",7-14 years in prison. Not enforced. the president of Jamaica just said he has not problem with gays serving in government. Decriminalization pending.,"January 1, 1864"
Jamaica,changing-gender,22,Illegal,Illegal,"January 1, 2018",Transgender people are not allowed to change their gender in Jamaica,
Jamaica,discrimination,20,No protections,No protections,"September 1, 2018",Homosexuality is currently illegal. As well no discrimination protection exist in the criminal code.,"August 16, 1962"
Jamaica,employment-discrimination,43,No protections,No protections,"January 1, 2004",People are being killed for being perceived gay.,"August 6, 1962"
Japan,homosexuality,2,Illegal (other penalty),Illegal (other penalty),"January 1, 1881","Sodomy (""keikan"") was criminalized in 1873 with article 266 of the Meiji Legal Code, however, it was hardly ever punished, with only 20 recorded instances of sodomy during 1876 to 1881.","January 1, 1873"
