Country,year,MMR,Live Births,Maternal deaths,Women reproductive age (15-49),MM-rate,,Skilled attendance %,"Source MMR, maternal death and Live birth",Comment,Source women reproductive age,Comments,,,,,,,,
Finland,1913,393,87250,343,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1914,411,87577,360,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1915,341,83306,284,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1916,364,79653,290,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1917,379,81046,307,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1918,443,79494,352,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1919,401,63896,256,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1920,360,84714,305,985000,30.96,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1921,330,82165,271,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1922,303,80140,243,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1923,309,81961,253,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1924,347,78057,271,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1925,294,78260,230,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1926,320,76875,246,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1927,296,75611,224,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1928,301,77523,233,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1929,359,76011,273,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1930,327,75236,246,873000,28.18,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1931,301,71866,216,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1932,294,69352,204,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1933,251,65047,163,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1934,236,67713,160,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1935,242,69942,169,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",,,,,,,,,,,
Finland,1936,543,68895,374,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1937,503,72319,364,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1938,430,76695,330,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1939,402,78164,314,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1940,477,65849,314,1021000,30.75,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1941,344,89565,308,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1942,426,61672,263,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1943,413,76112,314,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1944,443,79446,352,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1945,402,95758,385,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1946,267,106075,283,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1947,214,108168,232,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1948,173,107759,186,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1949,156,103515,161,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1950,146,98065,143,1056000,13.54,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1951,121,93063,113,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1952,125,94314,118,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1953,133,90866,121,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1954,107,89845,96,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1955,105,89740,94,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1956,111,88896,99,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1967,89,86985,77,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1958,100,81148,81,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1959,67,83253,56,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1960,72,82129,59,1062000,5.56,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1961,55,81996,45,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1962,52,81454,42,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1963,50,82251,41,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1964,42,80428,34,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1965,26,77885,20,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1966,31,77697,24,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1967,21,77289,16,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1968,29,73654,21,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1969,15,67450,10,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1970,12,64559,8,1159000,0.69,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1971,8,61067,5,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1972,12,58864,7,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1973,11,56787,6,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1974,5,62472,3,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1975,11,65719,7,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1976,7,66846,5,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1977,8,65659,5,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1978,3,63983,2,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1979,6,63428,4,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1980,2,63064,1,1221000,0.08,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1981,5,63469,3,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1982,5,66106,3,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1983,3,66892,2,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1984,2,65076,1,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1985,6,62796,4,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1986,7,60632,4,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1987,5,59827,3,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1988,11,63316,7,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1989,3,63348,2,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1990,6,65549,4,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1991,5,65395,3,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1992,4,66731,3,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1993,3,64826,2,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1994,11,65231,7,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1995,2,63067,1,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1996,3,60723,2,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1997,5,59329,3,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1998,5,57108,3,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,1999,3,57574,2,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,2000,5,56742,3,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,2001,5,56189,3,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,2002,5,55555,3,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,2003,4,56630,2,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,2004,12,57758,7,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,2005,5,57745,3,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,2006,7,58840,4,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,2007,2,58729,1,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Finland,2008,8,59530,5,,,,,"Tabeller övfer födde,döde och vigde i Finland, Vital statistisc Finland",Since 1936 the data is based on figures double-checked by medical experts.,,,,,,,,,,
Germany,1950,,,,13597000,0.00,,,,,,,,,,,,,,
Germany,1952,184,799080,1468,,,,,"Statistisches Bundersamt, Wiesbaden 2009",only BRD,,,,,,,,,,
Germany,1953,165,796096,1312,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1954,148,816028,1209,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1955,153,820128,1257,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1956,139,855887,1191,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1957,127,892228,1136,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1958,118,904465,1071,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1959,109,951942,1034,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1960,106,968629,1030,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1961,98,1012687,989,13892000,7.12,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1962,87,1018552,887,,,,,"Statistisches Bundersamt, Wiesbaden 2009",only BRD,,,,,,,,,,
Germany,1963,83,1054123,873,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1964,69,1065437,739,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1965,69,1044328,724,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1966,65,1050345,684,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1967,58,1019459,593,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1968,52,969825,500,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1969,53,903456,480,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1970,52,810808,420,14257000,2.95,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1971,50,778526,393,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1972,43,701214,300,,,,,"Statistisches Bundersamt, Wiesbaden 2009",only BRD,,,,,,,,,,
Germany,1973,46,635633,292,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1974,34,626373,213,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1975,40,600512,238,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1976,36,602851,219,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1977,34,582344,198,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1978,26,576468,147,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1979,22,581984,128,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1980,21,620657,128,15136000,0.85,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1981,20,624557,125,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1982,18,621173,110,,,,,"Statistisches Bundersamt, Wiesbaden 2009",only BRD,,,,,,,,,,
Germany,1983,11,594177,68,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1984,11,584157,63,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1985,11,586155,63,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1986,8,625963,50,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1987,9,642010,56,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1988,9,677259,60,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1989,5,681537,36,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",only BRD,,,,,,,,,,
Germany,1990,9,905675,82,19383000,0.42,,,"Statistisches Bundesamt, Wiesbaden, 2009",Germany after reunification,,,,,,,,,,
Germany,1991,9,830019,72,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,1992,7,809114,54,,,,,"Statistisches Bundersamt, Wiesbaden 2009",,,,,,,,,,,
Germany,1993,6,798447,44,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,1994,5,769603,40,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,1995,5,765221,41,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,1996,6,796013,51,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,1997,6,812173,49,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,1998,6,785034,44,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,1999,5,770744,37,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,2000,6,766999,43,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,2001,4,734475,27,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,2002,3,719250,21,,,,,"Statistisches Bundersamt, Wiesbaden 2009",,,,,,,,,,,
Germany,2003,4,706721,30,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,2004,5,705622,37,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,2005,4,685795,28,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,2006,6,672724,41,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,2007,4,684862,28,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Germany,2008,5,682514,36,,,,,"Statistisches Bundesamt, Wiesbaden, 2009",,,,,,,,,,,
Ireland,1871-80,660,99316,,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1881-90,710,81841,,1188000,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1891-1900,660,75030,,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1901,618,71827,1365,1160000,117.71,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1902,623,72580,1380,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1903,563,72616,1382,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1904,562,74020,1409,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1905,557,73243,1395,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1906,586,73539,1402,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1907,496,72435,1381,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1908,520,72698,1387,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1909,546,73043,1394,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1910,531,72698,1389,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1911,505,72320,1382,1079000,128.08,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1912,543,71484,1367,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1913,536,70505,1349,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1914,521,69694,1334,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1915,530,66967,1282,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1916,574,63544,1218,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1917,485,59896,1148,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1918,483,60298,1157,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1919,471,61932,1188,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1920,487,70748,1358,,,,,"MMR: Loudon 1992, LB approximated from births rate (from Mitchell, International historical Statistics) and population(available from Gapminder) ",,,,,,,,,,,
Ireland,1921,495,no data,,,,,,MMR: Loudon 1992,,,,,,,,,,,
Ireland,1922,566,58849,370,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1923,482,61690,328,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1924,478,63402,330,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1925,469,62069,312,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1926,489,61176,329,709000,46.40,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1927,451,60054,291,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1928,493,59176,318,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1929,410,58280,283,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1930,477,58333,294,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1931,431,57086,272,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1932,455,56240,280,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1933,444,57364,296,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1934,468,57897,304,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1935,467,58266,297,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1936,470,58115,299,694000,43.08,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1937,361,56488,237,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
Ireland,1938,411,56925,267,,,,,LB and MMR ata from Central Statistics Office Ireland,,,,,,,,,,,
