"country","year","HO_rate"
"Japan",2010,61.12
"Kiribati",2010,98.3419559932681
"Latvia",2010,84.3
"Liechtenstein",2010,52.6547241803014
"Lithuania",2010,93.6
"Luxembourg",2010,93.6
"Mexico",2010,77.8
"Mongolia",2010,93.7024013001205
"Netherlands",2010,59
"Nigeria",2010,75.4
"Panama",2010,80.3308454269096
"Poland",2010,81.3
"Qatar",2010,39.5270106882043
"Romania",2010,97.6
"Scotland",2010,61.237412819408
"Singapore",2010,87.2
"Slovakia",2010,90
"Slovenia",2010,78.1
"South Africa",2010,64
"South Korea",2010,57.5500721792967
"Sweden",2010,63
"Thailand",2010,82.7330328438516
"Tunisia",2010,78
"United States",2010,66.85
"Zambia",2010,79.1267133641609
"Australia",2011,67
"Austria",2011,49.7125650150561
"Bangladesh",2011,85.705150460175
"Belgium",2011,66.17
"Brunei",2011,75.3550126764072
"Bulgaria",2011,87.2
"Canada",2011,69
"China",2011,89.3
"Congo",2011,58
"Cook Islands",2011,83.028362305581
"Costa Rica",2011,69.936730793984
"Cyprus",2011,80.5109581212371
"Czechia",2011,80.1
"Denmark",2011,60.1854307271251
"East Germany",2011,34.5
"Estonia",2011,83.5
"Finland",2011,65.4694241311264
"Germany",2011,45.6
"Ghana",2011,68.9183607844371
"Greece",2011,73.56
"Hong Kong",2011,55.6287847888119
"Hungary",2011,89.3
"Indonesia",2011,78.77
"Ireland",2011,70.1
"Italy",2011,72.4
"Jamaica",2011,79.9251138671004
"Kuwait",2011,43.2154546448915
"Latvia",2011,82.8
"Lithuania",2011,92.2
"Luxembourg",2011,92.2
"Malta",2011,80.1272078338062
"Mauritius",2011,88.9
"Norway",2011,77.04436434
"Poland",2011,82.1
"Portugal",2011,73
"Romania",2011,96.4
"Sint Maarten (Dutch part)",2011,39.855297961724
"Slovakia",2011,90.2
"Slovenia",2011,77.5
"South Africa",2011,65.6
"Spain",2011,78.9
"Turkey",2011,59.6
"Uruguay",2011,56.8601621656922
"United States",2011,66.15
"Venezuela",2011,76.9876839487543
"Armenia",2012,99.6
"Austria",2012,49.3351424694708
"Azerbaijan",2012,94.2
"Belarus",2012,87.9
"Bolivia",2012,69.7191708078012
"Bulgaria",2012,87.4
"Croatia",2012,89.5
"Czechia",2012,80.4
"Denmark",2012,59.7693669229417
"Estonia",2012,82.2
"Finland",2012,65.2539498507819
"Germany",2012,45.7
"Guernsey",2012,73.0016811860003
"Hungary",2012,89.8
"Indonesia",2012,80.18
"Italy",2012,72.4
"Kazakhstan",2012,96.4
"Kyrgyzstan",2012,98.3
"Latvia",2012,81.5
"Lithuania",2012,91.9
"Luxembourg",2012,91.9
"Moldova",2012,97.4
"Morocco",2012,67.45
"Netherlands",2012,60
"Poland",2012,82.4
"Romania",2012,96.3
"Slovakia",2012,90.4
"Slovenia",2012,76.2
"South Africa",2012,66.4
"Turkey",2012,60.7
"Ukraine",2012,93.5
"United States",2012,65.45
"Austria",2013,49.7044599677593
"Bulgaria",2013,85.7
"Czechia",2013,80.1
"Denmark",2013,59.2192145849969
"Estonia",2013,81.1
"Finland",2013,65.244172882656
"France",2013,57.7
"Germany",2013,45.8
"Hungary",2013,88.7
"Indonesia",2013,79.4684417831545
"Italy",2013,73.4
"Japan",2013,61.735972761227
"Latvia",2013,81.2
"Lithuania",2013,92.2
"Luxembourg",2013,92.2
"Poland",2013,83.8
"Romania",2013,95.6
"Serbia",2013,81.1
"Slovakia",2013,90.5
"Slovenia",2013,76.6
"United States",2013,65.125
"Austria",2014,49.588750331653
"Bulgaria",2014,84.3
"Czechia",2014,78.9
"Denmark",2014,58.6426101093202
"Estonia",2014,81.5
"Finland",2014,64.8947963541627
"Germany",2014,45.40025
"Hungary",2014,88.2
"Indonesia",2014,79.77
"Latvia",2014,80.9
"Lithuania",2014,89.9
"Luxembourg",2014,89.9
"Poland",2014,83.5
"Romania",2014,96.1
"Serbia",2014,81.9
"Slovakia",2014,90.3
"Slovenia",2014,76.7
"Switzerland",2014,37.4
"Taiwan",2014,84.01
"United Kingdom",2014,63.3
"United States",2014,64.475
"Austria",2015,49.1485459785172
"Bulgaria",2015,82.3
"Denmark",2015,58.1171057992063
"Finland",2015,64.4602687808972
"Germany",2015,45.40328
"Indonesia",2015,82.6264062911394
"Norway",2015,77.4
"Romania",2015,96.4
"Singapore",2015,90.8
"Sweden",2015,61.5
"United States",2015,63.65
"Australia",2016,67.1
"Canada",2016,67.8
"Denmark",2016,57.7009035499524
"Finland",2016,64.0991661069584
"France",2016,57.7
"Germany",2016,45.70397
"United States",2016,63.4
"Denmark",2017,57.404385168155
"Finland",2017,63.6661931728081
"Germany",2017,45.56529
"Switzerland",2017,38
"United States",2017,63.85
"Denmark",2018,57.2616402870789
"France",2018,57.6
"United States",2018,64.425
"Denmark",2019,57.1089575411014
"United States",2019,64.15
