---
title: Causes of Death in France from 1925 to 1999
source: The data is made available by INED <www.ined.fr> at
  <https://www.ined.fr/en/everything_about_population/data/online-databases/death_causes_since_1925/>
  The original data authors are Jacques Vallin <vallin@ined.fr> and France
  Meslé <mesle@ined.fr>.
variables:
    year : period calendar year
    sex  : -
    age  : age groups in years [a, b]
    cod  : cause of death category (ICD-9 code)
    mx   : death rate
note: The data was downloaded in June 2014 in the form of `html` tables made
  availabe by the INED web interface. It was then converted into `.csv` format
  and aggregated into the current form.
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
date: 2015-08-19
...

year,sex,age,cod,mx
1999,female,95-99,000*-999*,28072.34
1925,female,100+,000*-999*,95718.95
1926,female,100+,000*-999*,125001.18
1927,female,100+,000*-999*,118574.03
1928,female,100+,000*-999*,148333.54
1929,female,100+,000*-999*,147272.76
1930,female,100+,000*-999*,54167.15
1931,female,100+,000*-999*,93340.19
1932,female,100+,000*-999*,83753.53
1933,female,100+,000*-999*,76365.88
1934,female,100+,000*-999*,42668
1935,female,100+,000*-999*,56667.19
1936,female,100+,000*-999*,68667.45
1937,female,100+,000*-999*,72002.27
1938,female,100+,000*-999*,70409.5
1939,female,100+,000*-999*,60435.06
1940,female,100+,000*-999*,92264.87
1941,female,100+,000*-999*,77152.4
1942,female,100+,000*-999*,68583.96
1943,female,100+,000*-999*,65120.88
1944,female,100+,000*-999*,73804.5
1945,female,100+,000*-999*,53307.89
1946,female,100+,000*-999*,36473.07
1947,female,100+,000*-999*,43156.84
1948,female,100+,000*-999*,46844.61
1949,female,100+,000*-999*,59780.98
1950,female,100+,000*-999*,94931.2
1951,female,100+,000*-999*,87644.72
1952,female,100+,000*-999*,53626.67
1953,female,100+,000*-999*,73346.99
1954,female,100+,000*-999*,54997.33
1955,female,100+,000*-999*,43800.65
1956,female,100+,000*-999*,64915.03
1957,female,100+,000*-999*,61180.13
1958,female,100+,000*-999*,48293.28
1959,female,100+,000*-999*,60634.55
1960,female,100+,000*-999*,49195.49
1961,female,100+,000*-999*,25598.3
1962,female,100+,000*-999*,26651.56
1963,female,100+,000*-999*,27371.86
1964,female,100+,000*-999*,28258.15
1965,female,100+,000*-999*,32232.21
1966,female,100+,000*-999*,31777.63
1967,female,100+,000*-999*,27706.61
1968,female,100+,000*-999*,36748.78
1969,female,100+,000*-999*,38014.73
1970,female,100+,000*-999*,45940.68
1971,female,100+,000*-999*,49533.8
1972,female,100+,000*-999*,44436.84
1973,female,100+,000*-999*,40414.71
1974,female,100+,000*-999*,37711.24
1975,female,100+,000*-999*,59857.06
1976,female,100+,000*-999*,46798.2
1977,female,100+,000*-999*,63373.6
1978,female,100+,000*-999*,64833.73
1979,female,100+,000*-999*,59320.37
1980,female,100+,000*-999*,61123.23
1981,female,100+,000*-999*,58826.56
1982,female,100+,000*-999*,51566.38
1983,female,100+,000*-999*,56879.06
1984,female,100+,000*-999*,51720.78
1985,female,100+,000*-999*,53227.84
1986,female,100+,000*-999*,49653.07
1987,female,100+,000*-999*,47303.86
1988,female,100+,000*-999*,45246.64
1989,female,100+,000*-999*,46425.61
1990,female,100+,000*-999*,48046.53
1991,female,100+,000*-999*,44741.23
1992,female,100+,000*-999*,47281.76
1993,female,100+,000*-999*,46556.21
1994,female,100+,000*-999*,44119.66
1995,female,100+,000*-999*,43564.08
1996,female,100+,000*-999*,42433.15
1997,female,100+,000*-999*,43830.85
1998,female,100+,000*-999*,44030.97
1999,female,100+,000*-999*,44759.71
1925,female,total,001*-139*,181.9
1926,female,total,001*-139*,197.54
1927,female,total,001*-139*,201.23
1928,female,total,001*-139*,203.63
1929,female,total,001*-139*,199.1
1930,female,total,001*-139*,177.52
1931,female,total,001*-139*,168.48
1932,female,total,001*-139*,159.45
1933,female,total,001*-139*,146.92
1934,female,total,001*-139*,138.52
1935,female,total,001*-139*,128.71
1936,female,total,001*-139*,123.77
1937,female,total,001*-139*,120.19
1938,female,total,001*-139*,121.82
1939,female,total,001*-139*,117.67
1940,female,total,001*-139*,149.78
1941,female,total,001*-139*,154.95
1942,female,total,001*-139*,158.92
1943,female,total,001*-139*,156.38
1944,female,total,001*-139*,142.83
1945,female,total,001*-139*,150.22
1946,female,total,001*-139*,100.5
1947,female,total,001*-139*,90.56
1948,female,total,001*-139*,76.42
1949,female,total,001*-139*,74.74
1950,female,total,001*-139*,56.43
1951,female,total,001*-139*,54.71
1952,female,total,001*-139*,40.63
1953,female,total,001*-139*,32.64
1954,female,total,001*-139*,28.37
1955,female,total,001*-139*,25.44
1956,female,total,001*-139*,23.66
1957,female,total,001*-139*,22.37
1958,female,total,001*-139*,19.31
1959,female,total,001*-139*,18.57
1960,female,total,001*-139*,16.51
1961,female,total,001*-139*,15.9
1962,female,total,001*-139*,14.67
1963,female,total,001*-139*,14.51
1964,female,total,001*-139*,12.7
1965,female,total,001*-139*,11.48
1966,female,total,001*-139*,11.03
1967,female,total,001*-139*,10.78
1968,female,total,001*-139*,9.75
1969,female,total,001*-139*,9.7
1970,female,total,001*-139*,9.03
1971,female,total,001*-139*,8.68
1972,female,total,001*-139*,9.12
1973,female,total,001*-139*,9.35
1974,female,total,001*-139*,9.18
1975,female,total,001*-139*,9.04
1976,female,total,001*-139*,9.36
1977,female,total,001*-139*,8.66
1978,female,total,001*-139*,8.67
1979,female,total,001*-139*,8.06
1980,female,total,001*-139*,8.15
1981,female,total,001*-139*,8.19
1982,female,total,001*-139*,8
1983,female,total,001*-139*,7.85
1984,female,total,001*-139*,7.36
1985,female,total,001*-139*,7.61
1986,female,total,001*-139*,7.98
1987,female,total,001*-139*,7.35
1988,female,total,001*-139*,7.33
1989,female,total,001*-139*,7.81
1990,female,total,001*-139*,7.87
1991,female,total,001*-139*,8.29
1992,female,total,001*-139*,8.82
1993,female,total,001*-139*,9.46
1994,female,total,001*-139*,9.61
1995,female,total,001*-139*,9.76
1996,female,total,001*-139*,8.69
1997,female,total,001*-139*,7.04
1998,female,total,001*-139*,6.49
1999,female,total,001*-139*,6.36
1925,female,<1,001*-139*,1385.51
1926,female,<1,001*-139*,1806.76
1927,female,<1,001*-139*,1488.96
1928,female,<1,001*-139*,1905.13
1929,female,<1,001*-139*,1809.47
1930,female,<1,001*-139*,1289.57
1931,female,<1,001*-139*,1080.04
1932,female,<1,001*-139*,1153.69
1933,female,<1,001*-139*,1020.12
1934,female,<1,001*-139*,900.78
1935,female,<1,001*-139*,776.48
1936,female,<1,001*-139*,774.74
1937,female,<1,001*-139*,805.13
1938,female,<1,001*-139*,859.16
1939,female,<1,001*-139*,834.26
1940,female,<1,001*-139*,1464.5
1941,female,<1,001*-139*,1142.98
1942,female,<1,001*-139*,1279.64
1943,female,<1,001*-139*,1283.78
1944,female,<1,001*-139*,1123.96
1945,female,<1,001*-139*,2282.43
1946,female,<1,001*-139*,1076.15
1947,female,<1,001*-139*,1087.39
1948,female,<1,001*-139*,727.04
1949,female,<1,001*-139*,894.2
1950,female,<1,001*-139*,472.44
1951,female,<1,001*-139*,389.45
1952,female,<1,001*-139*,290.05
1953,female,<1,001*-139*,211.99
1954,female,<1,001*-139*,183
1955,female,<1,001*-139*,169.24
1956,female,<1,001*-139*,142.38
1957,female,<1,001*-139*,145.63
1958,female,<1,001*-139*,118.42
1959,female,<1,001*-139*,108.55
1960,female,<1,001*-139*,76.43
1961,female,<1,001*-139*,80.58
1962,female,<1,001*-139*,68.11
1963,female,<1,001*-139*,77.03
1964,female,<1,001*-139*,70.12
1965,female,<1,001*-139*,48.03
1966,female,<1,001*-139*,55.93
1967,female,<1,001*-139*,48
1968,female,<1,001*-139*,52.86
1969,female,<1,001*-139*,60.51
1970,female,<1,001*-139*,56.14
1971,female,<1,001*-139*,49.9
1972,female,<1,001*-139*,62.49
1973,female,<1,001*-139*,50.83
1974,female,<1,001*-139*,55.7
1975,female,<1,001*-139*,53.41
1976,female,<1,001*-139*,58.56
1977,female,<1,001*-139*,49.13
1978,female,<1,001*-139*,40.83
1979,female,<1,001*-139*,25.99
1980,female,<1,001*-139*,22.43
1981,female,<1,001*-139*,17.32
1982,female,<1,001*-139*,23.08
1983,female,<1,001*-139*,17.04
1984,female,<1,001*-139*,11.67
1985,female,<1,001*-139*,14.76
1986,female,<1,001*-139*,15.4
1987,female,<1,001*-139*,14.04
1988,female,<1,001*-139*,11.65
1989,female,<1,001*-139*,11.63
1990,female,<1,001*-139*,10.08
1991,female,<1,001*-139*,12.32
1992,female,<1,001*-139*,11.95
1993,female,<1,001*-139*,14.65
1994,female,<1,001*-139*,10.82
1995,female,<1,001*-139*,11.6
1996,female,<1,001*-139*,6.87
1997,female,<1,001*-139*,8.91
1998,female,<1,001*-139*,6.05
1999,female,<1,001*-139*,6.2
1925,female,1-4,001*-139*,242.88
1926,female,1-4,001*-139*,248.57
1927,female,1-4,001*-139*,242.46
1928,female,1-4,001*-139*,251.61
1929,female,1-4,001*-139*,216.42
1930,female,1-4,001*-139*,193.44
1931,female,1-4,001*-139*,176.17
1932,female,1-4,001*-139*,176.22
1933,female,1-4,001*-139*,156.53
1934,female,1-4,001*-139*,153.95
1935,female,1-4,001*-139*,119.08
1936,female,1-4,001*-139*,131.28
1937,female,1-4,001*-139*,107.15
1938,female,1-4,001*-139*,90.32
1939,female,1-4,001*-139*,87.42
1940,female,1-4,001*-139*,147.72
1941,female,1-4,001*-139*,156.29
1942,female,1-4,001*-139*,156.03
1943,female,1-4,001*-139*,166.03
1944,female,1-4,001*-139*,161.12
1945,female,1-4,001*-139*,211.57
1946,female,1-4,001*-139*,128.95
1947,female,1-4,001*-139*,92.88
1948,female,1-4,001*-139*,76.04
1949,female,1-4,001*-139*,87.93
1950,female,1-4,001*-139*,51.81
1951,female,1-4,001*-139*,51.88
1952,female,1-4,001*-139*,44.3
1953,female,1-4,001*-139*,27.26
1954,female,1-4,001*-139*,26.18
1955,female,1-4,001*-139*,23.07
1956,female,1-4,001*-139*,20.68
1957,female,1-4,001*-139*,20.87
1958,female,1-4,001*-139*,17.78
1959,female,1-4,001*-139*,15.18
1960,female,1-4,001*-139*,10.31
1961,female,1-4,001*-139*,10.96
1962,female,1-4,001*-139*,9.7
1963,female,1-4,001*-139*,10.48
1964,female,1-4,001*-139*,7.18
1965,female,1-4,001*-139*,5.68
1966,female,1-4,001*-139*,6.53
1967,female,1-4,001*-139*,5.14
1968,female,1-4,001*-139*,4.37
1969,female,1-4,001*-139*,4.09
1970,female,1-4,001*-139*,4.78
1971,female,1-4,001*-139*,3.89
1972,female,1-4,001*-139*,3.82
1973,female,1-4,001*-139*,3.47
1974,female,1-4,001*-139*,3.22
1975,female,1-4,001*-139*,4.35
1976,female,1-4,001*-139*,2.58
1977,female,1-4,001*-139*,2.67
1978,female,1-4,001*-139*,2.8
1979,female,1-4,001*-139*,2.38
1980,female,1-4,001*-139*,3.2
1981,female,1-4,001*-139*,2.94
1982,female,1-4,001*-139*,1.94
1983,female,1-4,001*-139*,2.65
1984,female,1-4,001*-139*,2.03
1985,female,1-4,001*-139*,1.87
1986,female,1-4,001*-139*,1.73
1987,female,1-4,001*-139*,1.17
1988,female,1-4,001*-139*,2.41
1989,female,1-4,001*-139*,1.94
1990,female,1-4,001*-139*,2
1991,female,1-4,001*-139*,2.34
1992,female,1-4,001*-139*,1.85
1993,female,1-4,001*-139*,1.66
1994,female,1-4,001*-139*,1.96
1995,female,1-4,001*-139*,2.18
1996,female,1-4,001*-139*,0.92
1997,female,1-4,001*-139*,1.2
1998,female,1-4,001*-139*,0.58
1999,female,1-4,001*-139*,0.91
1925,female,5-9,001*-139*,82.96
1926,female,5-9,001*-139*,91.26
1927,female,5-9,001*-139*,95.71
1928,female,5-9,001*-139*,97.62
1929,female,5-9,001*-139*,88.87
1930,female,5-9,001*-139*,83.92
1931,female,5-9,001*-139*,73.39
1932,female,5-9,001*-139*,71.74
1933,female,5-9,001*-139*,68.2
1934,female,5-9,001*-139*,61.57
1935,female,5-9,001*-139*,53.79
1936,female,5-9,001*-139*,47.19
1937,female,5-9,001*-139*,45.34
1938,female,5-9,001*-139*,42.97
1939,female,5-9,001*-139*,32.39
1940,female,5-9,001*-139*,54.82
1941,female,5-9,001*-139*,63.83
1942,female,5-9,001*-139*,72.55
1943,female,5-9,001*-139*,65.44
1944,female,5-9,001*-139*,52.9
1945,female,5-9,001*-139*,61.42
1946,female,5-9,001*-139*,43.93
1947,female,5-9,001*-139*,30.17
1948,female,5-9,001*-139*,22.19
1949,female,5-9,001*-139*,21.43
1950,female,5-9,001*-139*,14.99
1951,female,5-9,001*-139*,12.91
1952,female,5-9,001*-139*,9.22
1953,female,5-9,001*-139*,7.72
1954,female,5-9,001*-139*,5.37
1955,female,5-9,001*-139*,3.59
1956,female,5-9,001*-139*,4.54
1957,female,5-9,001*-139*,4.07
1958,female,5-9,001*-139*,3.02
1959,female,5-9,001*-139*,3.56
1960,female,5-9,001*-139*,2.59
1961,female,5-9,001*-139*,2.01
1962,female,5-9,001*-139*,1.82
1963,female,5-9,001*-139*,2.36
1964,female,5-9,001*-139*,1.44
1965,female,5-9,001*-139*,0.81
1966,female,5-9,001*-139*,1.67
1967,female,5-9,001*-139*,1.07
1968,female,5-9,001*-139*,0.85
1969,female,5-9,001*-139*,0.89
1970,female,5-9,001*-139*,1.22
1971,female,5-9,001*-139*,1.04
1972,female,5-9,001*-139*,1.16
1973,female,5-9,001*-139*,0.85
1974,female,5-9,001*-139*,0.96
1975,female,5-9,001*-139*,0.62
1976,female,5-9,001*-139*,0.85
1977,female,5-9,001*-139*,0.76
1978,female,5-9,001*-139*,0.52
1979,female,5-9,001*-139*,0.56
1980,female,5-9,001*-139*,0.93
1981,female,5-9,001*-139*,0.42
1982,female,5-9,001*-139*,0.48
1983,female,5-9,001*-139*,0.72
1984,female,5-9,001*-139*,0.72
1985,female,5-9,001*-139*,0.3
1986,female,5-9,001*-139*,0.66
1987,female,5-9,001*-139*,0.84
1988,female,5-9,001*-139*,0.54
1989,female,5-9,001*-139*,0.3
1990,female,5-9,001*-139*,0.48
1991,female,5-9,001*-139*,0.66
1992,female,5-9,001*-139*,0.72
1993,female,5-9,001*-139*,1.2
1994,female,5-9,001*-139*,0.72
1995,female,5-9,001*-139*,0.48
1996,female,5-9,001*-139*,1.14
1997,female,5-9,001*-139*,0.48
1998,female,5-9,001*-139*,0.48
1999,female,5-9,001*-139*,0.36
1925,female,10-14,001*-139*,76.86
1926,female,10-14,001*-139*,86.74
1927,female,10-14,001*-139*,96.03
1928,female,10-14,001*-139*,93.9
1929,female,10-14,001*-139*,81.54
1930,female,10-14,001*-139*,75.53
1931,female,10-14,001*-139*,71.43
1932,female,10-14,001*-139*,68.87
1933,female,10-14,001*-139*,57.96
1934,female,10-14,001*-139*,59.13
1935,female,10-14,001*-139*,51.7
1936,female,10-14,001*-139*,47.08
1937,female,10-14,001*-139*,44.42
1938,female,10-14,001*-139*,45.92
1939,female,10-14,001*-139*,41.5
1940,female,10-14,001*-139*,47.64
1941,female,10-14,001*-139*,61.07
1942,female,10-14,001*-139*,60.51
1943,female,10-14,001*-139*,56.46
1944,female,10-14,001*-139*,45.96
1945,female,10-14,001*-139*,43.17
1946,female,10-14,001*-139*,32.6
1947,female,10-14,001*-139*,23.07
1948,female,10-14,001*-139*,16.92
1949,female,10-14,001*-139*,16.48
1950,female,10-14,001*-139*,12.13
1951,female,10-14,001*-139*,12.39
1952,female,10-14,001*-139*,6.05
1953,female,10-14,001*-139*,4.32
1954,female,10-14,001*-139*,3.29
1955,female,10-14,001*-139*,2
1956,female,10-14,001*-139*,3.08
1957,female,10-14,001*-139*,2.41
1958,female,10-14,001*-139*,1.53
1959,female,10-14,001*-139*,1.94
1960,female,10-14,001*-139*,1.67
1961,female,10-14,001*-139*,1.1
1962,female,10-14,001*-139*,1.31
1963,female,10-14,001*-139*,1
1964,female,10-14,001*-139*,0.9
1965,female,10-14,001*-139*,0.73
1966,female,10-14,001*-139*,0.65
1967,female,10-14,001*-139*,1.1
1968,female,10-14,001*-139*,0.45
1969,female,10-14,001*-139*,0.7
1970,female,10-14,001*-139*,0.6
1971,female,10-14,001*-139*,0.7
1972,female,10-14,001*-139*,0.6
1973,female,10-14,001*-139*,0.69
1974,female,10-14,001*-139*,0.63
1975,female,10-14,001*-139*,0.48
1976,female,10-14,001*-139*,0.58
1977,female,10-14,001*-139*,0.35
1978,female,10-14,001*-139*,0.74
1979,female,10-14,001*-139*,0.45
1980,female,10-14,001*-139*,0.3
1981,female,10-14,001*-139*,0.5
1982,female,10-14,001*-139*,0.35
1983,female,10-14,001*-139*,0.55
1984,female,10-14,001*-139*,0.34
1985,female,10-14,001*-139*,0.65
1986,female,10-14,001*-139*,0.55
1987,female,10-14,001*-139*,0.36
1988,female,10-14,001*-139*,0.51
1989,female,10-14,001*-139*,0.12
1990,female,10-14,001*-139*,0.26
1991,female,10-14,001*-139*,0.3
1992,female,10-14,001*-139*,0.4
1993,female,10-14,001*-139*,0.4
1994,female,10-14,001*-139*,0.52
1995,female,10-14,001*-139*,0.59
1996,female,10-14,001*-139*,0.58
1997,female,10-14,001*-139*,0.37
1998,female,10-14,001*-139*,0.25
1999,female,10-14,001*-139*,0.47
1925,female,15-19,001*-139*,218.32
1926,female,15-19,001*-139*,238.57
1927,female,15-19,001*-139*,244.38
1928,female,15-19,001*-139*,248.75
1929,female,15-19,001*-139*,231.82
1930,female,15-19,001*-139*,211.53
1931,female,15-19,001*-139*,212.93
1932,female,15-19,001*-139*,189.95
1933,female,15-19,001*-139*,168.48
1934,female,15-19,001*-139*,149.29
1935,female,15-19,001*-139*,131.59
1936,female,15-19,001*-139*,118.58
1937,female,15-19,001*-139*,106.49
1938,female,15-19,001*-139*,98.77
1939,female,15-19,001*-139*,95.43
1940,female,15-19,001*-139*,121.87
1941,female,15-19,001*-139*,137.77
1942,female,15-19,001*-139*,144.18
1943,female,15-19,001*-139*,125.78
1944,female,15-19,001*-139*,107.76
1945,female,15-19,001*-139*,96.61
1946,female,15-19,001*-139*,72.06
1947,female,15-19,001*-139*,60.77
1948,female,15-19,001*-139*,43.69
1949,female,15-19,001*-139*,37.86
1950,female,15-19,001*-139*,27.34
1951,female,15-19,001*-139*,23.54
1952,female,15-19,001*-139*,13.67
1953,female,15-19,001*-139*,7.49
1954,female,15-19,001*-139*,7.11
1955,female,15-19,001*-139*,4.52
1956,female,15-19,001*-139*,2.82
1957,female,15-19,001*-139*,4.36
1958,female,15-19,001*-139*,2.59
1959,female,15-19,001*-139*,1.93
1960,female,15-19,001*-139*,1.78
1961,female,15-19,001*-139*,1.66
1962,female,15-19,001*-139*,1.66
1963,female,15-19,001*-139*,1.7
1964,female,15-19,001*-139*,1.48
1965,female,15-19,001*-139*,1.41
1966,female,15-19,001*-139*,1.35
1967,female,15-19,001*-139*,1.35
1968,female,15-19,001*-139*,1.03
1969,female,15-19,001*-139*,0.73
1970,female,15-19,001*-139*,0.96
1971,female,15-19,001*-139*,1.12
1972,female,15-19,001*-139*,1.1
1973,female,15-19,001*-139*,0.96
1974,female,15-19,001*-139*,1.12
1975,female,15-19,001*-139*,1.01
1976,female,15-19,001*-139*,0.73
1977,female,15-19,001*-139*,0.69
1978,female,15-19,001*-139*,0.86
1979,female,15-19,001*-139*,0.91
1980,female,15-19,001*-139*,0.71
1981,female,15-19,001*-139*,0.58
1982,female,15-19,001*-139*,0.51
1983,female,15-19,001*-139*,0.66
1984,female,15-19,001*-139*,0.93
1985,female,15-19,001*-139*,0.73
1986,female,15-19,001*-139*,1.34
1987,female,15-19,001*-139*,0.67
1988,female,15-19,001*-139*,0.39
1989,female,15-19,001*-139*,0.15
1990,female,15-19,001*-139*,0.4
1991,female,15-19,001*-139*,0.45
1992,female,15-19,001*-139*,0.4
1993,female,15-19,001*-139*,0.62
1994,female,15-19,001*-139*,0.15
1995,female,15-19,001*-139*,0.66
1996,female,15-19,001*-139*,0.57
1997,female,15-19,001*-139*,0.3
1998,female,15-19,001*-139*,0.3
1999,female,15-19,001*-139*,0.25
1925,female,20-24,001*-139*,283.68
1926,female,20-24,001*-139*,304.51
1927,female,20-24,001*-139*,328.6
1928,female,20-24,001*-139*,318.32
1929,female,20-24,001*-139*,317.84
1930,female,20-24,001*-139*,287.91
1931,female,20-24,001*-139*,280.39
1932,female,20-24,001*-139*,244.09
1933,female,20-24,001*-139*,220.91
1934,female,20-24,001*-139*,210.43
1935,female,20-24,001*-139*,202.86
1936,female,20-24,001*-139*,193.62
1937,female,20-24,001*-139*,194.53
1938,female,20-24,001*-139*,185.9
1939,female,20-24,001*-139*,191.1
1940,female,20-24,001*-139*,197.16
1941,female,20-24,001*-139*,205.45
1942,female,20-24,001*-139*,199.77
1943,female,20-24,001*-139*,183.76
1944,female,20-24,001*-139*,166.35
1945,female,20-24,001*-139*,146.99
1946,female,20-24,001*-139*,113.89
1947,female,20-24,001*-139*,105.4
1948,female,20-24,001*-139*,82.87
1949,female,20-24,001*-139*,61.68
1950,female,20-24,001*-139*,50.25
1951,female,20-24,001*-139*,47.05
1952,female,20-24,001*-139*,26.47
1953,female,20-24,001*-139*,18.19
1954,female,20-24,001*-139*,13.75
1955,female,20-24,001*-139*,10.8
1956,female,20-24,001*-139*,7.79
1957,female,20-24,001*-139*,7.91
1958,female,20-24,001*-139*,5.55
1959,female,20-24,001*-139*,4.52
1960,female,20-24,001*-139*,4.82
1961,female,20-24,001*-139*,2.62
1962,female,20-24,001*-139*,3.21
1963,female,20-24,001*-139*,3.03
1964,female,20-24,001*-139*,2.73
1965,female,20-24,001*-139*,1.83
1966,female,20-24,001*-139*,1.82
1967,female,20-24,001*-139*,2.06
1968,female,20-24,001*-139*,1.35
1969,female,20-24,001*-139*,1.72
1970,female,20-24,001*-139*,1.71
1971,female,20-24,001*-139*,1.85
1972,female,20-24,001*-139*,1.34
1973,female,20-24,001*-139*,0.98
1974,female,20-24,001*-139*,1.65
1975,female,20-24,001*-139*,1.18
1976,female,20-24,001*-139*,1.6
1977,female,20-24,001*-139*,1.23
1978,female,20-24,001*-139*,0.89
1979,female,20-24,001*-139*,0.74
1980,female,20-24,001*-139*,0.98
1981,female,20-24,001*-139*,0.89
1982,female,20-24,001*-139*,0.96
1983,female,20-24,001*-139*,1.1
1984,female,20-24,001*-139*,1.11
1985,female,20-24,001*-139*,0.62
1986,female,20-24,001*-139*,0.92
1987,female,20-24,001*-139*,0.95
1988,female,20-24,001*-139*,1.34
1989,female,20-24,001*-139*,1.67
1990,female,20-24,001*-139*,0.77
1991,female,20-24,001*-139*,1.57
1992,female,20-24,001*-139*,1.38
1993,female,20-24,001*-139*,1.4
1994,female,20-24,001*-139*,0.65
1995,female,20-24,001*-139*,1.4
1996,female,20-24,001*-139*,1.1
1997,female,20-24,001*-139*,0.9
1998,female,20-24,001*-139*,0.71
1999,female,20-24,001*-139*,0.83
1925,female,25-29,001*-139*,253
1926,female,25-29,001*-139*,263.13
1927,female,25-29,001*-139*,278.37
1928,female,25-29,001*-139*,270.32
1929,female,25-29,001*-139*,272.1
1930,female,25-29,001*-139*,252.49
1931,female,25-29,001*-139*,243.77
1932,female,25-29,001*-139*,221.75
1933,female,25-29,001*-139*,207.46
1934,female,25-29,001*-139*,197.14
1935,female,25-29,001*-139*,188.37
1936,female,25-29,001*-139*,173.29
1937,female,25-29,001*-139*,183.87
1938,female,25-29,001*-139*,180.87
1939,female,25-29,001*-139*,170.3
1940,female,25-29,001*-139*,191.52
1941,female,25-29,001*-139*,198.11
1942,female,25-29,001*-139*,201.28
1943,female,25-29,001*-139*,197.48
1944,female,25-29,001*-139*,174.31
1945,female,25-29,001*-139*,152.73
1946,female,25-29,001*-139*,126.89
1947,female,25-29,001*-139*,108.79
1948,female,25-29,001*-139*,92.33
1949,female,25-29,001*-139*,76.01
1950,female,25-29,001*-139*,58.53
1951,female,25-29,001*-139*,61.41
1952,female,25-29,001*-139*,37.21
1953,female,25-29,001*-139*,25.7
1954,female,25-29,001*-139*,20.82
1955,female,25-29,001*-139*,17.49
1956,female,25-29,001*-139*,14.98
1957,female,25-29,001*-139*,13.77
1958,female,25-29,001*-139*,9.31
1959,female,25-29,001*-139*,8.41
1960,female,25-29,001*-139*,8.19
1961,female,25-29,001*-139*,7.8
1962,female,25-29,001*-139*,5.63
1963,female,25-29,001*-139*,4.58
1964,female,25-29,001*-139*,4.14
1965,female,25-29,001*-139*,3.07
1966,female,25-29,001*-139*,2.76
1967,female,25-29,001*-139*,2.42
1968,female,25-29,001*-139*,1.7
1969,female,25-29,001*-139*,1.91
1970,female,25-29,001*-139*,1.8
1971,female,25-29,001*-139*,1.32
1972,female,25-29,001*-139*,1.89
1973,female,25-29,001*-139*,1.57
1974,female,25-29,001*-139*,1.45
1975,female,25-29,001*-139*,1.57
1976,female,25-29,001*-139*,1.46
1977,female,25-29,001*-139*,1.12
1978,female,25-29,001*-139*,0.92
1979,female,25-29,001*-139*,1.02
1980,female,25-29,001*-139*,1.07
1981,female,25-29,001*-139*,0.89
1982,female,25-29,001*-139*,1.08
1983,female,25-29,001*-139*,1.42
1984,female,25-29,001*-139*,0.88
1985,female,25-29,001*-139*,1.15
1986,female,25-29,001*-139*,1.34
1987,female,25-29,001*-139*,1.93
1988,female,25-29,001*-139*,2.54
1989,female,25-29,001*-139*,3.68
1990,female,25-29,001*-139*,5.34
1991,female,25-29,001*-139*,6.29
1992,female,25-29,001*-139*,7.91
1993,female,25-29,001*-139*,7.76
1994,female,25-29,001*-139*,7.1
1995,female,25-29,001*-139*,6.65
1996,female,25-29,001*-139*,4.64
1997,female,25-29,001*-139*,1.58
1998,female,25-29,001*-139*,1.35
1999,female,25-29,001*-139*,1.21
1925,female,30-34,001*-139*,206.35
1926,female,30-34,001*-139*,222.74
1927,female,30-34,001*-139*,235.77
1928,female,30-34,001*-139*,227.28
1929,female,30-34,001*-139*,226.22
1930,female,30-34,001*-139*,208.5
1931,female,30-34,001*-139*,199.77
1932,female,30-34,001*-139*,182.31
1933,female,30-34,001*-139*,174.68
1934,female,30-34,001*-139*,160.92
1935,female,30-34,001*-139*,157.82
1936,female,30-34,001*-139*,150.85
1937,female,30-34,001*-139*,148.18
1938,female,30-34,001*-139*,151.24
1939,female,30-34,001*-139*,150.49
1940,female,30-34,001*-139*,167.31
1941,female,30-34,001*-139*,171.44
1942,female,30-34,001*-139*,176.25
1943,female,30-34,001*-139*,163.44
1944,female,30-34,001*-139*,149.93
1945,female,30-34,001*-139*,128.86
1946,female,30-34,001*-139*,100.73
1947,female,30-34,001*-139*,91.61
1948,female,30-34,001*-139*,81.9
1949,female,30-34,001*-139*,70.55
1950,female,30-34,001*-139*,61.48
1951,female,30-34,001*-139*,62.92
1952,female,30-34,001*-139*,40.08
1953,female,30-34,001*-139*,32.95
1954,female,30-34,001*-139*,25.47
1955,female,30-34,001*-139*,22.39
1956,female,30-34,001*-139*,19.41
1957,female,30-34,001*-139*,16.57
1958,female,30-34,001*-139*,13.5
1959,female,30-34,001*-139*,12.18
1960,female,30-34,001*-139*,12.26
1961,female,30-34,001*-139*,10.71
1962,female,30-34,001*-139*,8.92
1963,female,30-34,001*-139*,7.53
1964,female,30-34,001*-139*,6.72
1965,female,30-34,001*-139*,6.21
1966,female,30-34,001*-139*,4.01
1967,female,30-34,001*-139*,4.12
1968,female,30-34,001*-139*,3.13
1969,female,30-34,001*-139*,2.93
1970,female,30-34,001*-139*,2.3
1971,female,30-34,001*-139*,2.99
1972,female,30-34,001*-139*,2.44
1973,female,30-34,001*-139*,2.26
1974,female,30-34,001*-139*,2.92
1975,female,30-34,001*-139*,1.51
1976,female,30-34,001*-139*,1.46
1977,female,30-34,001*-139*,2.03
1978,female,30-34,001*-139*,1.05
1979,female,30-34,001*-139*,1.24
1980,female,30-34,001*-139*,1.25
