"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"34 years"	"34"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	1601	10999720	14.6
	"34 years"	"34"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	1219	11233558	10.9
	"34 years"	"34"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Female"	"F"	14	10999720	Unreliable
	"34 years"	"34"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Male"	"M"	40	11233558	0.4
	"34 years"	"34"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Male"	"M"	32	11233558	0.3
	"34 years"	"34"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Female"	"F"	43	10999720	0.4
	"34 years"	"34"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Male"	"M"	54	11233558	0.5
	"34 years"	"34"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Female"	"F"	133	10999720	1.2
	"34 years"	"34"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Male"	"M"	187	11233558	1.7
	"34 years"	"34"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Female"	"F"	34	10999720	0.3
	"34 years"	"34"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Male"	"M"	48	11233558	0.4
	"34 years"	"34"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Female"	"F"	22	10999720	0.2
	"34 years"	"34"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Male"	"M"	33	11233558	0.3
	"34 years"	"34"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Female"	"F"	52	10999720	0.5
	"34 years"	"34"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Male"	"M"	51	11233558	0.5
	"34 years"	"34"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Female"	"F"	49	10999720	0.4
	"34 years"	"34"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Male"	"M"	44	11233558	0.4
	"34 years"	"34"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"Female"	"F"	411	10999720	3.7
	"34 years"	"34"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	"Female"	"F"	224	10999720	2.0
	"34 years"	"34"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	"Female"	"F"	40	10999720	0.4
	"34 years"	"34"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	"Female"	"F"	74	10999720	0.7
	"34 years"	"34"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	11	10999720	Unreliable
	"34 years"	"34"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Male"	"M"	24	11233558	0.2
	"34 years"	"34"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	91	10999720	0.8
	"34 years"	"34"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	192	11233558	1.7
	"34 years"	"34"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	142	10999720	1.3
	"34 years"	"34"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	213	11233558	1.9
	"34 years"	"34"	"Hodgkin disease (C81)"	"GR113-038"	"Female"	"F"	13	10999720	Unreliable
	"34 years"	"34"	"Hodgkin disease (C81)"	"GR113-038"	"Male"	"M"	18	11233558	Unreliable
	"34 years"	"34"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Female"	"F"	40	10999720	0.4
	"34 years"	"34"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Male"	"M"	61	11233558	0.5
	"34 years"	"34"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	84	10999720	0.8
	"34 years"	"34"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	128	11233558	1.1
	"34 years"	"34"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	250	10999720	2.3
	"34 years"	"34"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	289	11233558	2.6
	"34 years"	"34"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	40	10999720	0.4
	"34 years"	"34"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	38	11233558	0.3
	"35 years"	"35"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	1796	10963857	16.4
	"35 years"	"35"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	1429	11164574	12.8
	"35 years"	"35"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Female"	"F"	16	10963857	Unreliable
	"35 years"	"35"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Male"	"M"	30	11164574	0.3
	"35 years"	"35"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Male"	"M"	40	11164574	0.4
	"35 years"	"35"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Female"	"F"	65	10963857	0.6
	"35 years"	"35"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Male"	"M"	74	11164574	0.7
	"35 years"	"35"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Female"	"F"	145	10963857	1.3
	"35 years"	"35"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Male"	"M"	269	11164574	2.4
	"35 years"	"35"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Female"	"F"	33	10963857	0.3
	"35 years"	"35"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Male"	"M"	47	11164574	0.4
	"35 years"	"35"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Female"	"F"	37	10963857	0.3
	"35 years"	"35"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Male"	"M"	45	11164574	0.4
	"35 years"	"35"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Female"	"F"	55	10963857	0.5
	"35 years"	"35"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Male"	"M"	78	11164574	0.7
	"35 years"	"35"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Female"	"F"	58	10963857	0.5
	"35 years"	"35"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Male"	"M"	51	11164574	0.5
	"35 years"	"35"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"Female"	"F"	519	10963857	4.7
	"35 years"	"35"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	"Female"	"F"	197	10963857	1.8
	"35 years"	"35"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	"Female"	"F"	59	10963857	0.5
	"35 years"	"35"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	"Female"	"F"	72	10963857	0.7
	"35 years"	"35"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	16	10963857	Unreliable
	"35 years"	"35"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Male"	"M"	32	11164574	0.3
	"35 years"	"35"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Female"	"F"	12	10963857	Unreliable
	"35 years"	"35"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Male"	"M"	13	11164574	Unreliable
	"35 years"	"35"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	126	10963857	1.1
	"35 years"	"35"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	182	11164574	1.6
	"35 years"	"35"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	162	10963857	1.5
	"35 years"	"35"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	238	11164574	2.1
	"35 years"	"35"	"Hodgkin disease (C81)"	"GR113-038"	"Female"	"F"	10	10963857	Unreliable
	"35 years"	"35"	"Hodgkin disease (C81)"	"GR113-038"	"Male"	"M"	10	11164574	Unreliable
	"35 years"	"35"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Female"	"F"	44	10963857	0.4
	"35 years"	"35"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Male"	"M"	66	11164574	0.6
	"35 years"	"35"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	99	10963857	0.9
	"35 years"	"35"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	149	11164574	1.3
	"35 years"	"35"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Male"	"M"	13	11164574	Unreliable
	"35 years"	"35"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	215	10963857	2.0
	"35 years"	"35"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	321	11164574	2.9
	"35 years"	"35"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	43	10963857	0.4
	"35 years"	"35"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	32	11164574	0.3
	"36 years"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	2102	10936637	19.2
	"36 years"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	1487	11095515	13.4
	"36 years"	"36"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Female"	"F"	26	10936637	0.2
	"36 years"	"36"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Male"	"M"	32	11095515	0.3
	"36 years"	"36"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Male"	"M"	41	11095515	0.4
	"36 years"	"36"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Female"	"F"	51	10936637	0.5
	"36 years"	"36"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Male"	"M"	72	11095515	0.6
	"36 years"	"36"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Female"	"F"	220	10936637	2.0
	"36 years"	"36"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Male"	"M"	230	11095515	2.1
	"36 years"	"36"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Female"	"F"	31	10936637	0.3
	"36 years"	"36"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Male"	"M"	69	11095515	0.6
	"36 years"	"36"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Female"	"F"	62	10936637	0.6
	"36 years"	"36"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Male"	"M"	57	11095515	0.5
	"36 years"	"36"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Female"	"F"	79	10936637	0.7
	"36 years"	"36"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Male"	"M"	83	11095515	0.7
	"36 years"	"36"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Female"	"F"	47	10936637	0.4
	"36 years"	"36"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Male"	"M"	75	11095515	0.7
	"36 years"	"36"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"Female"	"F"	607	10936637	5.6
	"36 years"	"36"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	"Female"	"F"	239	10936637	2.2
	"36 years"	"36"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	"Female"	"F"	60	10936637	0.5
	"36 years"	"36"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	"Female"	"F"	80	10936637	0.7
	"36 years"	"36"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	22	10936637	0.2
	"36 years"	"36"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Male"	"M"	30	11095515	0.3
	"36 years"	"36"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Female"	"F"	10	10936637	Unreliable
	"36 years"	"36"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Male"	"M"	10	11095515	Unreliable
	"36 years"	"36"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	121	10936637	1.1
	"36 years"	"36"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	224	11095515	2.0
	"36 years"	"36"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	167	10936637	1.5
	"36 years"	"36"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	236	11095515	2.1
	"36 years"	"36"	"Hodgkin disease (C81)"	"GR113-038"	"Male"	"M"	14	11095515	Unreliable
	"36 years"	"36"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Female"	"F"	50	10936637	0.5
	"36 years"	"36"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Male"	"M"	89	11095515	0.8
	"36 years"	"36"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	103	10936637	0.9
	"36 years"	"36"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	131	11095515	1.2
	"36 years"	"36"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	271	10936637	2.5
	"36 years"	"36"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	320	11095515	2.9
	"36 years"	"36"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	54	10936637	0.5
	"36 years"	"36"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	47	11095515	0.4
	"37 years"	"37"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	2363	10903849	21.7
	"37 years"	"37"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	1755	11020750	15.9
	"37 years"	"37"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Female"	"F"	25	10903849	0.2
	"37 years"	"37"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Male"	"M"	55	11020750	0.5
	"37 years"	"37"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Female"	"F"	15	10903849	Unreliable
	"37 years"	"37"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Male"	"M"	46	11020750	0.4
	"37 years"	"37"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Female"	"F"	68	10903849	0.6
	"37 years"	"37"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Male"	"M"	95	11020750	0.9
	"37 years"	"37"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Female"	"F"	258	10903849	2.4
	"37 years"	"37"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Male"	"M"	322	11020750	2.9
	"37 years"	"37"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Female"	"F"	49	10903849	0.4
	"37 years"	"37"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Male"	"M"	76	11020750	0.7
	"37 years"	"37"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Female"	"F"	48	10903849	0.4
	"37 years"	"37"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Male"	"M"	81	11020750	0.7
	"37 years"	"37"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Female"	"F"	90	10903849	0.8
	"37 years"	"37"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Male"	"M"	108	11020750	1.0
	"37 years"	"37"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Female"	"F"	49	10903849	0.4
	"37 years"	"37"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Male"	"M"	73	11020750	0.7
	"37 years"	"37"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"Female"	"F"	675	10903849	6.2
	"37 years"	"37"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	"Female"	"F"	263	10903849	2.4
	"37 years"	"37"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	"Female"	"F"	87	10903849	0.8
	"37 years"	"37"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	"Female"	"F"	97	10903849	0.9
	"37 years"	"37"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	20	10903849	0.2
	"37 years"	"37"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Male"	"M"	44	11020750	0.4
	"37 years"	"37"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Male"	"M"	12	11020750	Unreliable
	"37 years"	"37"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	123	10903849	1.1
	"37 years"	"37"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	232	11020750	2.1
	"37 years"	"37"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	198	10903849	1.8
	"37 years"	"37"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	248	11020750	2.3
	"37 years"	"37"	"Hodgkin disease (C81)"	"GR113-038"	"Female"	"F"	10	10903849	Unreliable
	"37 years"	"37"	"Hodgkin disease (C81)"	"GR113-038"	"Male"	"M"	15	11020750	Unreliable
	"37 years"	"37"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Female"	"F"	53	10903849	0.5
	"37 years"	"37"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Male"	"M"	86	11020750	0.8
	"37 years"	"37"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	119	10903849	1.1
	"37 years"	"37"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	130	11020750	1.2
	"37 years"	"37"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Female"	"F"	15	10903849	Unreliable
	"37 years"	"37"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Male"	"M"	16	11020750	Unreliable
	"37 years"	"37"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	289	10903849	2.7
	"37 years"	"37"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	350	11020750	3.2
	"37 years"	"37"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	46	10903849	0.4
	"37 years"	"37"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	40	11020750	0.4
	"38 years"	"38"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	2537	10901786	23.3
	"38 years"	"38"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	1898	11004087	17.2
	"38 years"	"38"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Female"	"F"	22	10901786	0.2
	"38 years"	"38"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Male"	"M"	58	11004087	0.5
	"38 years"	"38"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Male"	"M"	64	11004087	0.6
	"38 years"	"38"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Female"	"F"	95	10901786	0.9
	"38 years"	"38"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Male"	"M"	98	11004087	0.9
	"38 years"	"38"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Female"	"F"	283	10901786	2.6
	"38 years"	"38"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Male"	"M"	337	11004087	3.1
	"38 years"	"38"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Female"	"F"	41	10901786	0.4
	"38 years"	"38"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Male"	"M"	86	11004087	0.8
	"38 years"	"38"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Female"	"F"	53	10901786	0.5
	"38 years"	"38"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"Male"	"M"	100	11004087	0.9
	"38 years"	"38"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Female"	"F"	116	10901786	1.1
	"38 years"	"38"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"Male"	"M"	144	11004087	1.3
	"38 years"	"38"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Female"	"F"	49	10901786	0.4
	"38 years"	"38"	"Malignant melanoma of skin (C43)"	"GR113-028"	"Male"	"M"	76	11004087	0.7
	"38 years"	"38"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"Female"	"F"	777	10901786	7.1
	"38 years"	"38"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	"Female"	"F"	256	10901786	2.3
	"38 years"	"38"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	"Female"	"F"	88	10901786	0.8
	"38 years"	"38"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	"Female"	"F"	107	10901786	1.0
	"38 years"	"38"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Female"	"F"	30	10901786	0.3
	"38 years"	"38"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"Male"	"M"	60	11004087	0.5
	"38 years"	"38"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"Male"	"M"	21	11004087	0.2
	"38 years"	"38"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Female"	"F"	145	10901786	1.3
	"38 years"	"38"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"Male"	"M"	217	11004087	2.0
	"38 years"	"38"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Female"	"F"	162	10901786	1.5
	"38 years"	"38"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"Male"	"M"	253	11004087	2.3
	"38 years"	"38"	"Hodgkin disease (C81)"	"GR113-038"	"Male"	"M"	18	11004087	Unreliable
	"38 years"	"38"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Female"	"F"	42	10901786	0.4
	"38 years"	"38"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"Male"	"M"	90	11004087	0.8
	"38 years"	"38"	"Leukemia (C91-C95)"	"GR113-040"	"Female"	"F"	106	10901786	1.0
	"38 years"	"38"	"Leukemia (C91-C95)"	"GR113-040"	"Male"	"M"	128	11004087	1.2
	"38 years"	"38"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Female"	"F"	11	10901786	Unreliable
	"38 years"	"38"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"Male"	"M"	16	11004087	Unreliable
	"38 years"	"38"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Female"	"F"	297	10901786	2.7
	"38 years"	"38"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"Male"	"M"	368	11004087	3.3
	"38 years"	"38"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Female"	"F"	50	10901786	0.5
	"38 years"	"38"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"Male"	"M"	58	11004087	0.5
	"39 years"	"39"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Female"	"F"	3041	10811698	28.1
	"39 years"	"39"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Male"	"M"	2150	10893926	19.7
	"39 years"	"39"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Female"	"F"	32	10811698	0.3
	"39 years"	"39"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"Male"	"M"	58	10893926	0.5
	"39 years"	"39"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Female"	"F"	21	10811698	0.2
	"39 years"	"39"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"Male"	"M"	79	10893926	0.7
	"39 years"	"39"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Female"	"F"	108	10811698	1.0
	"39 years"	"39"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"Male"	"M"	115	10893926	1.1
	"39 years"	"39"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Female"	"F"	326	10811698	3.0
	"39 years"	"39"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"Male"	"M"	438	10893926	4.0
	"39 years"	"39"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"Female"	"F"	65	10811698	0.6
