"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"39 years"	"39"	"Malignant melanoma of skin (C43)"	"GR113-028"	141	21705624	0.6
	"39 years"	"39"	"Malignant neoplasm of breast (C50)"	"GR113-029"	940	21705624	4.3
	"39 years"	"39"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	301	21705624	1.4
	"39 years"	"39"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	105	21705624	0.5
	"39 years"	"39"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	156	21705624	0.7
	"39 years"	"39"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	92	21705624	0.4
	"39 years"	"39"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	25	21705624	0.1
	"39 years"	"39"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	425	21705624	2.0
	"39 years"	"39"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	457	21705624	2.1
	"39 years"	"39"	"Hodgkin disease (C81)"	"GR113-038"	26	21705624	0.1
	"39 years"	"39"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	156	21705624	0.7
	"39 years"	"39"	"Leukemia (C91-C95)"	"GR113-040"	247	21705624	1.1
	"39 years"	"39"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	28	21705624	0.1
	"39 years"	"39"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	734	21705624	3.4
	"39 years"	"39"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	112	21705624	0.5
	"40 years"	"40"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	5529	21346166	25.9
	"40 years"	"40"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	106	21346166	0.5
	"40 years"	"40"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	116	21346166	0.5
	"40 years"	"40"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	245	21346166	1.1
	"40 years"	"40"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	760	21346166	3.6
	"40 years"	"40"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	167	21346166	0.8
	"40 years"	"40"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	262	21346166	1.2
	"40 years"	"40"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	397	21346166	1.9
	"40 years"	"40"	"Malignant melanoma of skin (C43)"	"GR113-028"	148	21346166	0.7
	"40 years"	"40"	"Malignant neoplasm of breast (C50)"	"GR113-029"	949	21346166	4.4
	"40 years"	"40"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	288	21346166	1.3
	"40 years"	"40"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	90	21346166	0.4
	"40 years"	"40"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	142	21346166	0.7
	"40 years"	"40"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	95	21346166	0.4
	"40 years"	"40"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	44	21346166	0.2
	"40 years"	"40"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	433	21346166	2.0
	"40 years"	"40"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	463	21346166	2.2
	"40 years"	"40"	"Hodgkin disease (C81)"	"GR113-038"	24	21346166	0.1
	"40 years"	"40"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	141	21346166	0.7
	"40 years"	"40"	"Leukemia (C91-C95)"	"GR113-040"	267	21346166	1.3
	"40 years"	"40"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	31	21346166	0.1
	"40 years"	"40"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	808	21346166	3.8
	"40 years"	"40"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	126	21346166	0.6
	"41 years"	"41"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	6140	20854639	29.4
	"41 years"	"41"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	95	20854639	0.5
	"41 years"	"41"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	148	20854639	0.7
	"41 years"	"41"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	229	20854639	1.1
	"41 years"	"41"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	860	20854639	4.1
	"41 years"	"41"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	208	20854639	1.0
	"41 years"	"41"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	285	20854639	1.4
	"41 years"	"41"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	16	20854639	Unreliable
	"41 years"	"41"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	461	20854639	2.2
	"41 years"	"41"	"Malignant melanoma of skin (C43)"	"GR113-028"	177	20854639	0.8
	"41 years"	"41"	"Malignant neoplasm of breast (C50)"	"GR113-029"	1060	20854639	5.1
	"41 years"	"41"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	351	20854639	1.7
	"41 years"	"41"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	105	20854639	0.5
	"41 years"	"41"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	158	20854639	0.8
	"41 years"	"41"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	19	20854639	Unreliable
	"41 years"	"41"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	112	20854639	0.5
	"41 years"	"41"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	46	20854639	0.2
	"41 years"	"41"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	478	20854639	2.3
	"41 years"	"41"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	517	20854639	2.5
	"41 years"	"41"	"Hodgkin disease (C81)"	"GR113-038"	29	20854639	0.1
	"41 years"	"41"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	147	20854639	0.7
	"41 years"	"41"	"Leukemia (C91-C95)"	"GR113-040"	289	20854639	1.4
	"41 years"	"41"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	50	20854639	0.2
	"41 years"	"41"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	815	20854639	3.9
	"41 years"	"41"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	134	20854639	0.6
	"42 years"	"42"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	6701	20404970	32.8
	"42 years"	"42"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	128	20404970	0.6
	"42 years"	"42"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	142	20404970	0.7
	"42 years"	"42"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	281	20404970	1.4
	"42 years"	"42"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	951	20404970	4.7
	"42 years"	"42"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	216	20404970	1.1
	"42 years"	"42"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	337	20404970	1.7
	"42 years"	"42"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	18	20404970	Unreliable
	"42 years"	"42"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	545	20404970	2.7
	"42 years"	"42"	"Malignant melanoma of skin (C43)"	"GR113-028"	175	20404970	0.9
	"42 years"	"42"	"Malignant neoplasm of breast (C50)"	"GR113-029"	1112	20404970	5.4
	"42 years"	"42"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	310	20404970	1.5
	"42 years"	"42"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	123	20404970	0.6
	"42 years"	"42"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	203	20404970	1.0
	"42 years"	"42"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	16	20404970	Unreliable
	"42 years"	"42"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	143	20404970	0.7
	"42 years"	"42"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	48	20404970	0.2
	"42 years"	"42"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	471	20404970	2.3
	"42 years"	"42"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	555	20404970	2.7
	"42 years"	"42"	"Hodgkin disease (C81)"	"GR113-038"	28	20404970	0.1
	"42 years"	"42"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	191	20404970	0.9
	"42 years"	"42"	"Leukemia (C91-C95)"	"GR113-040"	284	20404970	1.4
	"42 years"	"42"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	52	20404970	0.3
	"42 years"	"42"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	927	20404970	4.5
	"42 years"	"42"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	143	20404970	0.7
	"43 years"	"43"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	7392	20076387	36.8
	"43 years"	"43"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	149	20076387	0.7
	"43 years"	"43"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	166	20076387	0.8
	"43 years"	"43"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	275	20076387	1.4
	"43 years"	"43"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	1105	20076387	5.5
	"43 years"	"43"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	234	20076387	1.2
	"43 years"	"43"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	378	20076387	1.9
	"43 years"	"43"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	13	20076387	Unreliable
	"43 years"	"43"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	651	20076387	3.2
	"43 years"	"43"	"Malignant melanoma of skin (C43)"	"GR113-028"	202	20076387	1.0
	"43 years"	"43"	"Malignant neoplasm of breast (C50)"	"GR113-029"	1239	20076387	6.2
	"43 years"	"43"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	328	20076387	1.6
	"43 years"	"43"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	157	20076387	0.8
	"43 years"	"43"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	199	20076387	1.0
	"43 years"	"43"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	25	20076387	0.1
	"43 years"	"43"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	156	20076387	0.8
	"43 years"	"43"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	51	20076387	0.3
	"43 years"	"43"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	461	20076387	2.3
	"43 years"	"43"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	612	20076387	3.0
	"43 years"	"43"	"Hodgkin disease (C81)"	"GR113-038"	33	20076387	0.2
	"43 years"	"43"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	226	20076387	1.1
	"43 years"	"43"	"Leukemia (C91-C95)"	"GR113-040"	279	20076387	1.4
	"43 years"	"43"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	72	20076387	0.4
	"43 years"	"43"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	991	20076387	4.9
	"43 years"	"43"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	143	20076387	0.7
	"44 years"	"44"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	8116	19793602	41.0
	"44 years"	"44"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	140	19793602	0.7
	"44 years"	"44"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	208	19793602	1.1
	"44 years"	"44"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	296	19793602	1.5
	"44 years"	"44"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	1217	19793602	6.1
	"44 years"	"44"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	290	19793602	1.5
	"44 years"	"44"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	418	19793602	2.1
	"44 years"	"44"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	27	19793602	0.1
	"44 years"	"44"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	772	19793602	3.9
	"44 years"	"44"	"Malignant melanoma of skin (C43)"	"GR113-028"	185	19793602	0.9
	"44 years"	"44"	"Malignant neoplasm of breast (C50)"	"GR113-029"	1337	19793602	6.8
	"44 years"	"44"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	357	19793602	1.8
	"44 years"	"44"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	145	19793602	0.7
	"44 years"	"44"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	231	19793602	1.2
	"44 years"	"44"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	32	19793602	0.2
	"44 years"	"44"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	199	19793602	1.0
	"44 years"	"44"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	70	19793602	0.4
	"44 years"	"44"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	524	19793602	2.6
	"44 years"	"44"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	616	19793602	3.1
	"44 years"	"44"	"Hodgkin disease (C81)"	"GR113-038"	27	19793602	0.1
	"44 years"	"44"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	202	19793602	1.0
	"44 years"	"44"	"Leukemia (C91-C95)"	"GR113-040"	299	19793602	1.5
	"44 years"	"44"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	87	19793602	0.4
	"44 years"	"44"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	1052	19793602	5.3
	"44 years"	"44"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	159	19793602	0.8
	"45 years"	"45"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	9244	19637365	47.1
	"45 years"	"45"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	188	19637365	1.0
	"45 years"	"45"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	244	19637365	1.2
	"45 years"	"45"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	337	19637365	1.7
	"45 years"	"45"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	1426	19637365	7.3
	"45 years"	"45"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	342	19637365	1.7
	"45 years"	"45"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	462	19637365	2.4
	"45 years"	"45"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	37	19637365	0.2
	"45 years"	"45"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	877	19637365	4.5
	"45 years"	"45"	"Malignant melanoma of skin (C43)"	"GR113-028"	206	19637365	1.0
	"45 years"	"45"	"Malignant neoplasm of breast (C50)"	"GR113-029"	1413	19637365	7.2
	"45 years"	"45"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	363	19637365	1.8
	"45 years"	"45"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	212	19637365	1.1
	"45 years"	"45"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	271	19637365	1.4
	"45 years"	"45"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	29	19637365	0.1
	"45 years"	"45"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	235	19637365	1.2
	"45 years"	"45"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	78	19637365	0.4
	"45 years"	"45"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	544	19637365	2.8
	"45 years"	"45"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	703	19637365	3.6
	"45 years"	"45"	"Hodgkin disease (C81)"	"GR113-038"	34	19637365	0.2
	"45 years"	"45"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	200	19637365	1.0
	"45 years"	"45"	"Leukemia (C91-C95)"	"GR113-040"	364	19637365	1.9
	"45 years"	"45"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	102	19637365	0.5
	"45 years"	"45"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	1277	19637365	6.5
	"45 years"	"45"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	175	19637365	0.9
	"46 years"	"46"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	10330	19634179	52.6
	"46 years"	"46"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	236	19634179	1.2
	"46 years"	"46"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	285	19634179	1.5
	"46 years"	"46"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	360	19634179	1.8
	"46 years"	"46"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	1563	19634179	8.0
	"46 years"	"46"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	353	19634179	1.8
	"46 years"	"46"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	591	19634179	3.0
	"46 years"	"46"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	45	19634179	0.2
	"46 years"	"46"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	1091	19634179	5.6
	"46 years"	"46"	"Malignant melanoma of skin (C43)"	"GR113-028"	213	19634179	1.1
	"46 years"	"46"	"Malignant neoplasm of breast (C50)"	"GR113-029"	1570	19634179	8.0
	"46 years"	"46"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	371	19634179	1.9
	"46 years"	"46"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	221	19634179	1.1
	"46 years"	"46"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	332	19634179	1.7
	"46 years"	"46"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	51	19634179	0.3
	"46 years"	"46"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	237	19634179	1.2
	"46 years"	"46"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	91	19634179	0.5
	"46 years"	"46"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	628	19634179	3.2
	"46 years"	"46"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	764	19634179	3.9
	"46 years"	"46"	"Hodgkin disease (C81)"	"GR113-038"	27	19634179	0.1
	"46 years"	"46"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	253	19634179	1.3
	"46 years"	"46"	"Leukemia (C91-C95)"	"GR113-040"	356	19634179	1.8
	"46 years"	"46"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	127	19634179	0.6
	"46 years"	"46"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	1328	19634179	6.8
	"46 years"	"46"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	178	19634179	0.9
	"47 years"	"47"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	12015	20046939	59.9
	"47 years"	"47"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	304	20046939	1.5
	"47 years"	"47"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	302	20046939	1.5
	"47 years"	"47"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	387	20046939	1.9
	"47 years"	"47"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	1815	20046939	9.1
	"47 years"	"47"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	408	20046939	2.0
	"47 years"	"47"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	765	20046939	3.8
	"47 years"	"47"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	49	20046939	0.2
	"47 years"	"47"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	1362	20046939	6.8
	"47 years"	"47"	"Malignant melanoma of skin (C43)"	"GR113-028"	222	20046939	1.1
	"47 years"	"47"	"Malignant neoplasm of breast (C50)"	"GR113-029"	1777	20046939	8.9
	"47 years"	"47"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	431	20046939	2.1
	"47 years"	"47"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	243	20046939	1.2
	"47 years"	"47"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	349	20046939	1.7
	"47 years"	"47"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	82	20046939	0.4
	"47 years"	"47"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	320	20046939	1.6
	"47 years"	"47"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	106	20046939	0.5
	"47 years"	"47"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	711	20046939	3.5
	"47 years"	"47"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	854	20046939	4.3
	"47 years"	"47"	"Hodgkin disease (C81)"	"GR113-038"	43	20046939	0.2
	"47 years"	"47"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	298	20046939	1.5
	"47 years"	"47"	"Leukemia (C91-C95)"	"GR113-040"	362	20046939	1.8
	"47 years"	"47"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	150	20046939	0.7
	"47 years"	"47"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	1528	20046939	7.6
	"47 years"	"47"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	209	20046939	1.0
	"48 years"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	13713	20462713	67.0
	"48 years"	"48"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	286	20462713	1.4
	"48 years"	"48"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	393	20462713	1.9
	"48 years"	"48"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	438	20462713	2.1
	"48 years"	"48"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	2006	20462713	9.8
	"48 years"	"48"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	469	20462713	2.3
	"48 years"	"48"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	954	20462713	4.7
	"48 years"	"48"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	76	20462713	0.4
	"48 years"	"48"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	1776	20462713	8.7
	"48 years"	"48"	"Malignant melanoma of skin (C43)"	"GR113-028"	290	20462713	1.4
	"48 years"	"48"	"Malignant neoplasm of breast (C50)"	"GR113-029"	1962	20462713	9.6
	"48 years"	"48"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	392	20462713	1.9
	"48 years"	"48"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	289	20462713	1.4
	"48 years"	"48"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	403	20462713	2.0
	"48 years"	"48"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	106	20462713	0.5
	"48 years"	"48"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	345	20462713	1.7
	"48 years"	"48"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	146	20462713	0.7
	"48 years"	"48"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	767	20462713	3.7
	"48 years"	"48"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	953	20462713	4.7
	"48 years"	"48"	"Hodgkin disease (C81)"	"GR113-038"	45	20462713	0.2
	"48 years"	"48"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	312	20462713	1.5
	"48 years"	"48"	"Leukemia (C91-C95)"	"GR113-040"	411	20462713	2.0
	"48 years"	"48"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	184	20462713	0.9
	"48 years"	"48"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	1662	20462713	8.1
	"48 years"	"48"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	264	20462713	1.3
	"49 years"	"49"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	15574	20739904	75.1
	"49 years"	"49"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	367	20739904	1.8
	"49 years"	"49"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	454	20739904	2.2
	"49 years"	"49"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	514	20739904	2.5
	"49 years"	"49"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	2363	20739904	11.4
