position,name,type,isnumeric,format,vallab,varlab
413,E105,byte,1,%19.0g,E105,Approval: Anti-nuclear energy movement
414,E106,byte,1,%19.0g,E106,Approval: Disarmament movement
415,E107,byte,1,%19.0g,E107,Approval: Human rights movement
416,E108,byte,1,%19.0g,E108,Approval: Women’s movement
417,E109,byte,1,%19.0g,E109,Approval: Anti-apartheid movement
418,E110,byte,1,%20.0g,E110,Satisfaction with the way democracy develops
419,E111,byte,1,%19.0g,E111,Rate political system for governing country
420,E111_01,byte,1,%20.0g,E111_01,Satisfaction with the political system
421,E112,byte,1,%19.0g,E112,Rate political system as it was before
422,E113,byte,1,%19.0g,E113,Rate political system in ten years
423,E114,byte,1,%19.0g,E114,Political system: Having a strong leader
424,E115,byte,1,%19.0g,E115,Political system: Having experts make decisions
425,E116,byte,1,%19.0g,E116,Political system: Having the army rule
426,E117,byte,1,%19.0g,E117,Political system: Having a democratic political system
427,E118,byte,1,%24.0g,E118,Firm party leader vs. Cooperating party leader
428,E119,byte,1,%36.0g,E119,Government order vs. freedom
429,E120,byte,1,%19.0g,E120,"In democracy, the economic system runs badly"
430,E121,byte,1,%19.0g,E121,Democracies are indecisive and have too much squabbling
431,E122,byte,1,%19.0g,E122,Democracies aren´t good at maintaining order
432,E123,byte,1,%19.0g,E123,Democracy may have problems but is better
433,E124,byte,1,%53.0g,E124,Respect for individual human rights nowadays
434,E125,byte,1,%19.0g,E125,Satisfaction with the people in national office
435,E128,byte,1,%26.0g,E128,Country is run by big interest vs. for all people’s benefit
436,E129,byte,1,%28.0g,E129,Economic aid to poorer countries
437,E135,byte,1,%43.0g,E135,Who should decide: international peacekeeping
438,E136,byte,1,%43.0g,E136,Who should decide: protection of the environment
439,E137,byte,1,%43.0g,E137,Who should decide: aid to developing countries
440,E138,byte,1,%43.0g,E138,Who should decide: refugees
441,E139,byte,1,%43.0g,E139,Who should decide: human rights
442,E140,byte,1,%19.0g,E140,Country cannot solve environmental problems by itself
443,E141,byte,1,%19.0g,E141,Country cannot solve crime problems by itself
444,E142,byte,1,%19.0g,E142,Country cannot solve employment problems by itself
445,E143,byte,1,%48.0g,E143,Immigrant policy
446,E144,byte,1,%19.0g,E144,Living day to day because of uncertain future
447,E150,byte,1,%20.0g,E150,How often follows politics in the news
448,E151,byte,1,%26.0g,E151,Give authorities information to help justice
449,E152,byte,1,%26.0g,E152,Stick to own affairs
450,E153,byte,1,%19.0g,E153,Feel concerned about immediate family
451,E154,byte,1,%19.0g,E154,Feel concerned about people in the neighbourhood
452,E155,byte,1,%19.0g,E155,Feel concerned about people in the region
453,E156,byte,1,%19.0g,E156,Feel concerned about fellow countrymen
454,E157,byte,1,%19.0g,E157,Feel concerned about Europeans
455,E158,byte,1,%19.0g,E158,Feel concerned about human kind
456,E159,byte,1,%19.0g,E159,Feel concerned about elderly people
457,E160,byte,1,%19.0g,E160,Feel concerned about unemployed people
458,E161,byte,1,%19.0g,E161,Feel concerned about immigrants
459,E162,byte,1,%19.0g,E162,Feel concerned about sick and disabled people
460,E179,long,1,%120.0g,E179,Which political party would you vote for first choice (ISO 3166-1)
461,E179WVS,long,1,%133.0g,E179WVS,Which party would you vote for: first choice (WVS)
462,E180WVS,long,1,%133.0g,E180WVS,Which party would you vote for: second choice (WVS)
463,E181,long,1,%120.0g,E181,"If don´t know, which party appeals to you most (ISO 3166-1)"
464,E181A,long,1,%120.0g,E181A,Which political party appeals to you most (ISO 3166-1)
465,E181C,byte,1,%19.0g,E181C,Which political party would you vote for/appeals to you - left/right scale
466,E182,long,1,%133.0g,E182,Party that would never vote
467,E188,byte,1,%25.0g,E188,Frequency watches TV
468,E189,byte,1,%19.0g,E189,TV most important entertainment
469,E190,byte,1,%29.0g,E190,Why are there people living in need: first
470,E191,byte,1,%29.0g,E191,Why are there people living in need: second
471,E197,byte,1,%37.0g,E197,Opinion on terrorism
472,E217,byte,1,%19.0g,E217,"Science and technology are making our lives healthier, easier, and more comforta"
473,E218,byte,1,%19.0g,E218,"Because of science and technology, there will be more opportunities for the next"
474,E220,byte,1,%19.0g,E220,We depend too much on science and not enough on faith
475,E221B,byte,1,%19.0g,E221B,Political action recently done: Attending peaceful/lawful demonstrations
476,E222,byte,1,%19.0g,E222,Political action: Other
477,E222B,byte,1,%19.0g,E222B,Political action recently done: Other
478,E224,byte,1,%44.0g,E224,Democracy: Governments tax the rich and subsidize the poor.
479,E225,byte,1,%44.0g,E225,Democracy: Religious authorities interpret the laws.
480,E226,byte,1,%44.0g,E226,Democracy: People choose their leaders in free elections.
481,E227,byte,1,%44.0g,E227,Democracy: People receive state aid for unemployment.
482,E228,byte,1,%44.0g,E228,Democracy: The army takes over when government is incompetent.
483,E229,byte,1,%44.0g,E229,Democracy: Civil rights protect people’s liberty against oppression.
484,E233,byte,1,%44.0g,E233,Democracy: Women have the same rights as men.
485,E233A,byte,1,%44.0g,E233A,Democracy: The state makes people's incomes equal
486,E233B,byte,1,%44.0g,E233B,Democracy: People obey their rulers
487,E234,byte,1,%19.0g,E234,"The world is better off, or worse off, because of science and technology"
488,E235,byte,1,%20.0g,E235,Importance of democracy
489,E236,byte,1,%21.0g,E236,Democraticness in own country
490,E238,byte,1,%39.0g,E238,Most serious problem of the world: 1st choice
491,E248,byte,1,%19.0g,E248,Information source: Daily newspaper
492,E248B,byte,1,%19.0g,E248B,Information source: Daily newspaper (B)
493,E250,byte,1,%19.0g,E250,Information source: Printed magazines
494,E254,byte,1,%19.0g,E254,Information source: Talk with friends or colleagues
495,E254B,byte,1,%19.0g,E254B,Information source: Talk with friends or colleagues (B)
496,E255,byte,1,%29.0g,E255,How often use of PC
497,E258B,byte,1,%19.0g,E258B,Information source: TV news (B)
498,E259B,byte,1,%19.0g,E259B,Information source: Radio news (B)
499,E260B,byte,1,%19.0g,E260B,Information source: Mobile phone (B)
500,E261B,byte,1,%19.0g,E261B,Information source: Email (B)
501,E262B,byte,1,%19.0g,E262B,Information source: Internet (B)
502,E263,byte,1,%19.0g,E263,Vote in elections: local level
503,E264,byte,1,%19.0g,E264,Vote in elections: National level
504,E265_01,byte,1,%19.0g,E265_01,How often in country's elections: Votes are counted fairly
505,E265_02,byte,1,%19.0g,E265_02,How often in country's elections: Opposition candidates are prevented from runni
506,E265_03,byte,1,%19.0g,E265_03,How often in country's elections: TV news favors the governing party
507,E265_04,byte,1,%19.0g,E265_04,How often in country's elections: Voters are bribed
508,E265_05,byte,1,%19.0g,E265_05,How often in country's elections: Journalists provide fair coverage of elections
509,E265_06,byte,1,%19.0g,E265_06,How often in country's elections: Election officials are fair
510,E265_07,byte,1,%19.0g,E265_07,How often in country's elections: Rich people buy elections
511,E265_08,byte,1,%19.0g,E265_08,How often in country's elections: Voters are threatened with  violence at the po
512,E265_09,byte,1,%19.0g,E265_09,How often in country's elections: Voters are offered a genuine choice in the ele
513,E266,byte,1,%20.0g,E266,Some people think that having honest elections makes a lot of difference in thei
514,E290,byte,1,%19.0g,E290,Justifiable: Political violence
515,F001,byte,1,%19.0g,F001,Thinking about meaning and purpose of life
516,F003,byte,1,%19.0g,F003,Thinking about death
517,F004,byte,1,%19.0g,F004,Life is meaningful because God exists
518,F005,byte,1,%19.0g,F005,Try to get the best out of life
519,F006,byte,1,%19.0g,F006,Death is inevitable
520,F007,byte,1,%19.0g,F007,Death has meaning if you believe in God
521,F008,byte,1,%19.0g,F008,Death is a natural resting point
522,F009,byte,1,%19.0g,F009,Sorrow has meaning if you believe in God
523,F010,byte,1,%19.0g,F010,Life has no meaning
524,F022,byte,1,%44.0g,F022,Statement: good and evil
525,F024,byte,1,%19.0g,F024,Belong to religious denomination
526,F025,byte,1,%58.0g,F025,Religious denomination (major groups)
527,F025_EVS,long,1,%79.0g,F025_EVS,Religious denomination (country-specific)
528,F025_WVS,long,1,%80.0g,F025_WVS,Religious denomination - detailed list
529,F026,byte,1,%19.0g,F026,Former religious denomination
530,F027,byte,1,%58.0g,F027,Which former religious denomination
531,F028,byte,1,%47.0g,F028,How often do you attend religious services
532,F028B,byte,1,%47.0g,F028B,How often to you pray
533,F029,byte,1,%19.0g,F029,Raised religiously
534,F030,byte,1,%42.0g,F030,Attendance religious services 12 years old
535,F031,byte,1,%19.0g,F031,Important: Religious service birth
536,F032,byte,1,%19.0g,F032,Important: Religious service marriage
537,F033,byte,1,%19.0g,F033,Important: Religious service death
538,F034,byte,1,%22.0g,F034,Religious person
539,F035,byte,1,%19.0g,F035,Churches give answers: moral problems
540,F036,byte,1,%19.0g,F036,Churches give answers: the problems of family life
541,F037,byte,1,%19.0g,F037,Churches give answers: people´s spiritual needs
542,F038,byte,1,%19.0g,F038,Churches give answers: the social problems
543,F040,byte,1,%19.0g,F040,Churches speak out on: disarmament
544,F041,byte,1,%19.0g,F041,Churches speak out on: abortion
545,F042,byte,1,%19.0g,F042,Churches speak out on: third world problems
546,F043,byte,1,%19.0g,F043,Churches speak out on: extramarital affairs
547,F044,byte,1,%19.0g,F044,Churches speak out on: unemployment
548,F045,byte,1,%19.0g,F045,Churches speak out on: racial discrimination
549,F046,byte,1,%19.0g,F046,Churches speak out on: euthanasia
550,F047,byte,1,%19.0g,F047,Churches speak out on: homosexuality
551,F048,byte,1,%19.0g,F048,Churches speak out on: ecology and environmental issues
552,F049,byte,1,%19.0g,F049,Churches speak out on: government policy
553,F050,byte,1,%19.0g,F050,Believe in: God
554,F051,byte,1,%19.0g,F051,Believe in: life after death
555,F052,byte,1,%19.0g,F052,Believe in: people have a soul
556,F053,byte,1,%19.0g,F053,Believe in: hell
557,F054,byte,1,%19.0g,F054,Believe in: heaven
558,F055,byte,1,%19.0g,F055,Believe in: sin
559,F057,byte,1,%19.0g,F057,Believe in: re-incarnation
560,F059,byte,1,%19.0g,F059,Believe in: devil
561,F060,byte,1,%19.0g,F060,Believe in: resurrection of the dead
562,F062,byte,1,%27.0g,F062,Personal God vs. Spirit or Life Force
563,F063,byte,1,%20.0g,F063,How important is God in your life
564,F064,byte,1,%19.0g,F064,Get comfort and strength from religion
565,F065,byte,1,%19.0g,F065,"Moments of prayer, meditation..."
566,F066,byte,1,%21.0g,F066,Pray to God outside of religious services (i)
567,F067,byte,1,%23.0g,F067,Pray to God outside of religious services (ii)
568,F099,byte,1,%19.0g,F099,Lucky charm protects
569,F102,byte,1,%26.0g,F102,Politicians who don´t believe in God are unfit for public office
570,F103,byte,1,%26.0g,F103,Religious leaders should not influence how people vote
571,F104,byte,1,%26.0g,F104,Better if more people with strong religious beliefs in public office
572,F105,byte,1,%26.0g,F105,Religious leaders should not influence government
573,F114,byte,1,%19.0g,F114,Justifiable: Claiming government benefits
574,F114A,byte,1,%19.0g,F114A,Justifiable: Claiming government benefits to which you are not entitled
575,F114B,byte,1,%22.0g,F114B,Justifiable: Stealing property
576,F114C,byte,1,%22.0g,F114C,Justifiable: Parents beating children
577,F114D,byte,1,%22.0g,F114D,Justifiable: Violence against other people
578,F115,byte,1,%19.0g,F115,Justifiable: Avoiding a fare on public transport
579,F116,byte,1,%19.0g,F116,Justifiable: Cheating on taxes
580,F117,byte,1,%19.0g,F117,Justifiable: Someone accepting a bribe
581,F118,byte,1,%19.0g,F118,Justifiable: Homosexuality
582,F119,byte,1,%19.0g,F119,Justifiable: Prostitution
583,F120,byte,1,%19.0g,F120,Justifiable: Abortion
584,F121,byte,1,%19.0g,F121,Justifiable: Divorce
585,F122,byte,1,%19.0g,F122,Justifiable: Euthanasia
586,F123,byte,1,%19.0g,F123,Justifiable: Suicide
587,F125,byte,1,%19.0g,F125,Justifiable: Joyriding
588,F126,byte,1,%19.0g,F126,Justifiable: Taking soft drugs
589,F127,byte,1,%19.0g,F127,Justifiable: Lying
590,F128,byte,1,%19.0g,F128,Justifiable: Adultery
591,F129,byte,1,%19.0g,F129,Justifiable: Throwing away litter
592,F130,byte,1,%19.0g,F130,Justifiable: Driving under influence of alcohol
593,F131,byte,1,%19.0g,F131,Justifiable: Paying cash
594,F132,byte,1,%19.0g,F132,Justifiable: Having casual sex
595,F135,byte,1,%19.0g,F135,Justifiable: Sex under the legal age of consent
596,F135A,byte,1,%22.0g,F135A,Justifiable: Sex before marriage
597,F136,byte,1,%19.0g,F136,Justifiable: Political assassination
598,F137,byte,1,%19.0g,F137,Justifiable: Experiments with human embryos
599,F138,byte,1,%19.0g,F138,Justifiable: Manipulation of food
600,F139,byte,1,%19.0g,F139,Justifiable: Buy stolen goods
601,F140,byte,1,%19.0g,F140,Justifiable: Keeping money that you have found
602,F141,byte,1,%19.0g,F141,Justifiable: Fighting with the police
603,F142,byte,1,%19.0g,F142,Justifiable: Failing to report damage you’ve done accidentally to a parked vehic
604,F143,byte,1,%19.0g,F143,Justifiable: Threatening workers who refuse to join a strike
605,F144,byte,1,%19.0g,F144,Justifiable: Killing in self-defence
606,F144_01,byte,1,%19.0g,F144_01,Justifiable: Invitro fertilization
607,F144_02,byte,1,%19.0g,F144_02,Justifiable: Death penalty
608,F199,byte,1,%22.0g,F199,Justifiable: For a man to beat his wife
609,F200,byte,1,%37.0g,F200,Meaning of religion: To follow religious norms and ceremonies vs To do good to o
610,F201,byte,1,%32.0g,F201,Meaning of religion: To make sense of life after death vs To make sense of life
611,F202,byte,1,%19.0g,F202,"Whenever science and religion conflict,  religion is always right"
612,F203,byte,1,%19.0g,F203,The only acceptable religion  is my religion
613,G001,byte,1,%19.0g,G001,Geographical groups belonging to first
614,G001CS,long,1,%12.0g,LABC,Geographical groups belonging to first (country-specific)
615,G002,byte,1,%19.0g,G002,Geographical groups belonging to second
616,G002CS,long,1,%12.0g,LABC,Geographical groups belonging to second  (country-specific)
617,G003CS,long,1,%66.0g,G003CS,Geographical groups belonging to least of all (country specific)
618,G005,byte,1,%19.0g,G005,Citizen of [country]
619,G006,byte,1,%56.0g,G006,How proud of nationality
620,G007_01,byte,1,%31.0g,G007_01,Trust: Other people in country
621,G007_18_B,byte,1,%8.0g,G007_18,Trust: Your neighborhood (B)
622,G007_33_B,byte,1,%8.0g,G007_33,Trust: People you know personally (B)
623,G007_34_B,byte,1,%8.0g,G007_34,Trust: People you meet for the first time (B)
624,G007_35_B,byte,1,%8.0g,G007_35,Trust: People of another religion (B)
625,G007_36_B,byte,1,%8.0g,G007_36,Trust: People of another nationality (B)
626,G014,byte,1,%25.0g,G014,Opinion European union
627,G016,int,1,%44.0g,G016,Language at home
628,G017,byte,1,%19.0g,G017,Born in this country: birth country
629,G018,byte,1,%22.0g,G018,When came to country
630,G019,byte,1,%19.0g,G019,I see myself as a world citizen
631,G020,byte,1,%19.0g,G020,I see myself as member of my local community
632,G021,byte,1,%19.0g,G021,I see myself as citizen of the [country] nation
633,G022A,byte,1,%19.0g,G022A,I see myself as citizen of [Latinamerica]
634,G022B,byte,1,%19.0g,G022B,I see myself as citizen of [North America]
635,G022C,byte,1,%19.0g,G022C,I see myself as citizen of the [European Union]
636,G022D,byte,1,%19.0g,G022D,I see myself as citizen of [APEC]
637,G022E,byte,1,%19.0g,G022E,I see myself as citizen of [ASIA]
638,G022F,byte,1,%19.0g,G022F,I see myself as citizen of [Mercosur]
639,G022K,byte,1,%19.0g,G022K,I see myself as citizen of [The African Union]
640,G022L,byte,1,%19.0g,G022L,I see myself as citizen of [Arab Maghreb Union]
641,G022M,byte,1,%19.0g,G022M,I see myself as citizen of [ASEAN]
642,G022N,byte,1,%19.0g,G022N,I see myself as citizen of [Arab Union]
643,G023,byte,1,%19.0g,G023,I see myself as an autonomous individual
644,G026,byte,1,%19.0g,G026,Mother immigrant
645,G027,byte,1,%19.0g,G027,Father immigrant
646,G027A,byte,1,%33.0g,G027A,Respondent immigrant
647,G027B,byte,1,%39.0g,G027B,Respondent citizen
648,G033,byte,1,%20.0g,G033,Important: to have been born in [country]
649,G034,byte,1,%20.0g,G034,Important: to respect [country nationality] political institutions and laws
650,G035,byte,1,%20.0g,G035,Important: to have [country nationality] ancestry
651,G036,byte,1,%20.0g,G036,Important: to be able to speak [country language]
652,G038,byte,1,%19.0g,G038,Immigrants take away jobs from [nationality]
653,G040,byte,1,%20.0g,G040,Immigrants increase crime problems
654,G041,byte,1,%19.0g,G041,Immigrants are a strain on welfare system
655,G043,byte,1,%40.0g,G043,Immigrants maintain own/take over customs
656,G051,byte,1,%19.0g,G051,European Union enlargement
657,G052,byte,1,%21.0g,G052,Evaluate the impact of immigrants on the development of [your country]
658,G062,byte,1,%8.0g,LABD,"How close you feel: continent; e.g. Europe, Asia etc."
659,G063,byte,1,%8.0g,LABD,How close you feel: world
660,G255,byte,1,%8.0g,LABD,"How close you feel: your [village, town or city]"
661,G256,byte,1,%8.0g,LABD,"How close do you feel: to your county, region, district"
662,G257,byte,1,%8.0g,LABD,How close do you feel: to country
663,H001,byte,1,%19.0g,H001,Secure in neighborhood
664,H002_01,byte,1,%21.0g,H002_01,Frequency in your neighborhood: Robberies
665,H002_02,byte,1,%21.0g,H002_02,Frequency in your neighborhood: Alcohol consumed in the streets
666,H002_03,byte,1,%21.0g,H002_03,Frequency in your neighborhood: Police or military interfere with people’s pri
667,H002_04,byte,1,%21.0g,H002_04,Frequency in your neighborhood: Racist behavior
668,H002_05,byte,1,%21.0g,H002_05,Frequency in your neighborhood: Drug sale in streets
669,H003_01,byte,1,%19.0g,H003_01,Things done for reasons of security: Didn’t carry much money
670,H003_02,byte,1,%19.0g,H003_02,Things done for reasons of security: Preferred not to go out at night
671,H003_03,byte,1,%19.0g,H003_03,"Things done for reasons of security: Carried a knife, gun or other weapon"
672,H004,byte,1,%19.0g,H004,Respondent was victim of a crime during the past year
673,H005,byte,1,%19.0g,H005,Respondent's family was victim of a crime during last year
674,H006_01,byte,1,%19.0g,H006_01,Worries: Losing my job or not finding a job
675,H006_02,byte,1,%19.0g,H006_02,Worries: Not being able to give one's children a good education
676,H006_03,byte,1,%19.0g,H006_03,Worries: A war involving my country
677,H006_04,byte,1,%19.0g,H006_04,Worries: A terrorist attack
678,H006_05,byte,1,%19.0g,H006_05,Worries: A civil war
679,H008_01,byte,1,%19.0g,H008_01,Frequency you/family (last 12 month): Gone without enough food to eat
680,H008_02,byte,1,%19.0g,H008_02,Frequency you/family (last 12 month): Felt unsafe from crime in your own home
681,H008_03,byte,1,%19.0g,H008_03,Frequency you/family (last 12 month): Gone without needed medicine or treatment
682,H008_04,byte,1,%19.0g,H008_04,Frequency you/family (last 12 month): Gone without a cash income
683,H009,byte,1,%8.0g,LABE,Government has the right: Keep people under video surveillance in public areas
684,H010,byte,1,%8.0g,LABE,Government has the right: Monitor all e-mails and any other information exchange
685,H011,byte,1,%8.0g,LABE,Government has the right: Collect information about anyone living in [COUNTRY] w
686,I001,byte,1,%19.0g,I001,One of the bad effects of science is that it breaks down people’s ideas of rig
687,I002,byte,1,%19.0g,I002,It is not important for me to know about science in my daily life
688,V001,byte,1,%19.0g,V001,Father born in country
689,V001A,int,1,%52.0g,V001A,Fathers country of birth: ISO 3166-1 code
691,V002,byte,1,%19.0g,V002,Mother born in country
692,V002A,int,1,%52.0g,V002A,Mothers country of birth: ISO 3166-1 code
694,V004AF,byte,1,%8.0g,LABF,Educational level father: ISCED 97 - one digit
695,V004AF_01,byte,1,%8.0g,V004AF_0,Educational level father: ISCED 11 - one digit
696,V004AM_01,byte,1,%8.0g,V004AM_0,Educational level mother: ISCED 11 - one digit
697,V004DF,long,1,%12.0g,LABG,"Educational level father: country-specific, ISO 3166-1"
698,V004EF,byte,1,%8.0g,LABH,Educational level father: 8 categories
699,V004RF,byte,1,%19.0g,V004RF,Educational level father: recoded
700,V004RM,byte,1,%19.0g,V004RM,Educational level mother: recoded
701,V005F,byte,1,%19.0g,V005F,"At age 14, was father employed"
702,V011,byte,1,%19.0g,V011,Mother liked to read books
703,V012,byte,1,%19.0g,V012,Discussed politics with mother
704,V013,byte,1,%19.0g,V013,Mother liked to follow the news
705,V014,byte,1,%19.0g,V014,Parent(s) had problems making ends meet
706,V015,byte,1,%19.0g,V015,Father liked to read books
707,V016,byte,1,%19.0g,V016,Discussed politics with father
708,V017,byte,1,%19.0g,V017,Father liked to follow the news
709,V018,byte,1,%19.0g,V018,Parent(s) had problems replacing broken things
710,V097EF,byte,1,%50.0g,V097EF,Occupational group - respondent´s father (EVS5 - main earner) (respondent  14 ye
711,W001,byte,1,%19.0g,W001,Spouse/partner born in [country]
712,W001A,int,1,%52.0g,W001A,Spouse/partners country of birth: ISO 3166-1 code
714,W002A,byte,1,%8.0g,LABF,Educational level spouse/partner: ISCED 97 - one digit
715,W002A_01,byte,1,%27.0g,W002A_01,Educational level spouse/partner: ISCED 11 -one digit
716,W002D,long,1,%12.0g,LABG,Educational level spouse/partner: Country-specific
717,W002E,byte,1,%8.0g,LABH,Educational level spouse/partner: 8 categories
718,W002R,byte,1,%19.0g,W002R,Educational level spouse/partner: recoded
719,W003,byte,1,%37.0g,W003,Employment status spouse/partner
720,W004,byte,1,%20.0g,W004,Employment status spouse/partner: last job
721,W005_2,byte,1,%57.0g,W005_2,Job profession/industry (2-digit ISCO88) - spouse/partner
722,W005_2_01,byte,1,%8.0g,W005_2_0,Job profession/industry (2-digit ISCO08) - spouse/partner
723,W006A,byte,1,%19.0g,W006A,Occupational status spouse/partner - SIOPS
724,W006B,byte,1,%19.0g,W006B,Occupational status spouse/partner - ISEI
725,W006C,byte,1,%60.0g,W006C,Occupational status spouse/partner - European ESeC
726,W006D,byte,1,%24.0g,W006D,Occupational status spouse/partner - egp11
727,W007,byte,1,%19.0g,W007,Spouse/partner had/has how many employees
728,W008,byte,1,%19.0g,W008,Does spouse/partner supervise someone
729,W009,byte,1,%19.0g,W009,How many people does she/he supervise
730,X001,byte,1,%19.0g,X001,Sex
731,X002,int,1,%29.0g,X002,Year of birth
732,X002_02,byte,1,%19.0g,X002_02,Respondent born in [country]
733,X002_02A,int,1,%52.0g,X002_02A,Respondents country of birth: ISO 3166-1 code
735,X002_03,int,1,%19.0g,X002_03,Year in which respondent came to live in [country]
736,X003,int,1,%25.0g,X003,Age
737,X003R,byte,1,%19.0g,X003R,Age recoded
738,X003R2,byte,1,%19.0g,X003R2,Age recoded (3 intervals)
739,X004,byte,1,%19.0g,X004,Stable relationship
740,X006,byte,1,%19.0g,X006,Stable relationship before
741,X007,byte,1,%55.0g,X007,Marital status
742,X007_01,byte,1,%19.0g,X007_01,Lived with partner before marriage
743,X007_02,byte,1,%19.0g,X007_02,Living with partner
744,X008,byte,1,%19.0g,X008,Have you been married before
745,X011,byte,1,%55.0g,X011,How many children do you have
746,X011A,byte,1,%19.0g,X011A,Have you had any children
747,X012,byte,1,%55.0g,X012,How many are still living at home
748,X013,byte,1,%35.0g,X013,Number of people in household
749,X023,float,1,%31.0g,X023,What age did you complete your education
750,X023R,byte,1,%19.0g,X023R,What age did you complete your education (recoded in intervals)
751,X025,byte,1,%8.0g,LABH,Educational level respondent: 8 categories
752,X025A,byte,1,%8.0g,LABF,Educational level respondent: ISCED 97 - one digit
753,X025A_01,byte,1,%27.0g,X025A_01,Educational level respondent: ISCED 11 ‐ one digit
754,X025CSEVS,long,1,%12.0g,LABG,Educational level respondent: country-specific
755,X025CSWVS,long,1,%12.0g,X025CSWV,Education (country specific)
756,X025R,byte,1,%19.0g,X025R,Educational level respondent: recoded
757,X026,byte,1,%19.0g,X026,Do you live with your parents (yes/no)
758,X026_01,byte,1,%44.0g,X026_01,Do you live with your parents (4 categories)
759,X028,byte,1,%19.0g,X028,Employment status
760,X028_01,byte,1,%20.0g,X028_01,Employment status: last job
761,X031,byte,1,%19.0g,X031,Are you supervising someone
762,X032R_01,byte,1,%19.0g,X032R_01,Number of supervised people (3 categories)
763,X034R_01,byte,1,%19.0g,X034R_01,Number of employees (4 categories)
764,X035_2,byte,1,%62.0g,X035_2,Job profession/industry (2-digit ISCO88) - respondent
765,X035_2_01,byte,1,%8.0g,X035_2_0,Job profession/industry (2-digit ISCO08) - respondent
766,X036,byte,1,%60.0g,X036,Profession/job
767,X036A,byte,1,%19.0g,X036A,Occupational status respondent - SIOPS
768,X036B,byte,1,%19.0g,X036B,Occupational status respondent - ISEI
769,X036C,byte,1,%24.0g,X036C,Occupational status respondent - egp11
770,X036D,byte,1,%56.0g,X036D,Occupational status respondent - European ESeC
771,X037_01,byte,1,%19.0g,X037_01,Respondent experienced unemployment longer than 3 months
772,X037_02,byte,1,%19.0g,X037_02,Dependency on social security during last 5 years respondent
773,X040,byte,1,%19.0g,X040,Are you the chief wage earner in your house
774,X041,byte,1,%19.0g,X041,Is the chief wage earner employed now
775,X043,byte,1,%60.0g,X043,Chief wage earner profession/job
776,X044,byte,1,%37.0g,X044,Family savings during past year
777,X045,byte,1,%19.0g,X045,Social class (subjective)
778,X046,byte,1,%41.0g,X046,Socio-economic status of respondent
779,X047_EVS,byte,1,%19.0g,X047_EVS,Scale of incomes (EVS)
780,X047_WVS,byte,1,%19.0g,X047_WVS,Scale of incomes
781,X047CS,long,1,%72.0g,X047CS,Income (country-specific)
782,X047D,double,1,%19.0g,X047D,"Monthly household income (x1000), corrected for ppp in euros"
783,X047R_EVS,byte,1,%8.0g,X047R_EV,Income level (3 categories) EVS
784,X047R_WVS,byte,1,%8.0g,X047R_WV,Subjective income level (recoded in 3 groups)
785,X048_EVS,long,1,%43.0g,X048_EVS,Region where the interview was conducted
790,X048ISO,long,1,%63.0g,X048ISO,Region ISO 3166-2
791,X048WVS,long,1,%82.0g,X048WVS,Region where the interview was conducted (WVS)
792,X049,byte,1,%32.0g,X049,Size of town
793,X049A,byte,1,%19.0g,X049A,Size of town where interview was conducted (5 categories)
794,X049CS,long,1,%20.0g,X049CS,Size of town (country-specific)
795,X050,byte,1,%19.0g,X050,Type of habitat
796,X050C,byte,1,%19.0g,X050C,Urban/Rural habitat
797,X051,long,1,%72.0g,X051,Ethnic group
798,X052,byte,1,%31.0g,X052,Institution of occupation
799,X053,byte,1,%23.0g,X053,Nature of tasks: manual vs. Cognitive
800,X054,byte,1,%24.0g,X054,Nature of tasks: routine vs. Creative
801,X055,byte,1,%22.0g,X055,Nature of tasks: independence
802,Y001,byte,1,%19.0g,Y001,Post-Materialist index 12-item
803,Y002,byte,1,%19.0g,Y002,Post-Materialist index 4-item
804,Y003,byte,1,%40.0g,Y003,Autonomy Index
805,Y010,double,1,%19.0g,Y010,SACSECVAL.- Welzel Overall Secular Values
806,Y011,double,1,%19.0g,Y011,DEFIANCE.- Welzel defiance sub-index
807,Y011A,float,1,%19.0g,Y011A,AUTHORITY - Welzel defiance - 1: Inverse respect for authority
808,Y011B,double,1,%19.0g,Y011B,NATIONALISM - Welzel defiance - 2: Inverse national pride
809,Y011C,double,1,%19.0g,Y011C,DEVOUT- Welzel defiance - 3: Inverse devoutness
810,Y012,double,1,%19.0g,Y012,DISBELIEF.- Welzel disbelief sub-index
811,Y012A,double,1,%19.0g,Y012A,RELIGIMP - Welzel disbelief- 1: Inverse importance of religion
812,Y012B,byte,1,%24.0g,Y012B,RELIGBEL - Welzel disbelief- 2: Inverse religious person
813,Y012C,double,1,%19.0g,Y012C,RELIGPRAC - Welzel disbelief- 3: Inverse religious practice
814,Y013,double,1,%19.0g,Y013,RELATIVISM.- Welzel relativism
815,Y013A,byte,1,%19.0g,Y013A,NORM1 - Welzel relativism- 1: Inverse norm conform1
816,Y013B,byte,1,%19.0g,Y013B,NORM2 - Welzel relativism- 2: Inverse norm conform2
817,Y013C,byte,1,%19.0g,Y013C,NORM3 - Welzel relativism- 3: Inverse norm conform3
818,Y014,double,1,%19.0g,Y014,SCEPTICISM.- Welzel scepticism index
819,Y014A,double,1,%19.0g,Y014A,TRUSTARMY- Welzel scepticism- 1: Inverse trust in army
820,Y014B,double,1,%19.0g,Y014B,TRUSTPOLICE- Welzel scepticism- 2: Inverse trust in police
