lname,value,label
E158,2,Much
E158,3,To a certain extent
E158,4,Not so much
E158,5,Not at all
E158,.a,Don't know
E158,.b,No answer
E158,.c,Not applicable
E158,.d,Not asked in survey
E158,.e,Missing: other
E159,-5,Missing: Other
E159,-4,Not asked in survey
E159,-3,Not applicable
E159,-2,No answer
E159,-1,Don´t know
E159,1,Very much
E159,2,Much
E159,3,To a certain extent
E159,4,Not so much
E159,5,Not at all
E159,.a,Don't know
E159,.b,No answer
E159,.c,Not applicable
E159,.d,Not asked in survey
E159,.e,Missing: other
E160,-5,Missing: Other
E160,-4,Not asked in survey
E160,-3,Not applicable
E160,-2,No answer
E160,-1,Don´t know
E160,1,Very much
E160,2,Much
E160,3,To a certain extent
E160,4,Not so much
E160,5,Not at all
E160,.a,Don't know
E160,.b,No answer
E160,.c,Not applicable
E160,.d,Not asked in survey
E160,.e,Missing: other
E161,-5,Missing: Other
E161,-4,Not asked in survey
E161,-3,Not applicable
E161,-2,No answer
E161,-1,Don´t know
E161,1,Very much
E161,2,Much
E161,3,To a certain extent
E161,4,Not so much
E161,5,Not at all
E161,.a,Don't know
E161,.b,No answer
E161,.c,Not applicable
E161,.d,Not asked in survey
E161,.e,Missing: other
E162,-5,Missing: Other
E162,-4,Not asked in survey
E162,-3,Not applicable
E162,-2,No answer
E162,-1,Don´t know
E162,1,Very much
E162,2,Much
E162,3,To a certain extent
E162,4,Not so much
E162,5,Not at all
E162,.a,Don't know
E162,.b,No answer
E162,.c,Not applicable
E162,.d,Not asked in survey
E162,.e,Missing: other
E179,-5,Missing: Other
E179,-4, Not asked in survey
E179,-3, Not applicable
E179,-2, No answer
E179,-1, Don't know
E179,1,No right to vote
E179,2,I would not vote
E179,3,"I would cast a blank ballot, white vote"
E179,4,None
E179,5,Other
E179,3101, AZ: New Azerbaijan Party
E179,3102, AZ: Musavat/Equality Party
E179,3103, AZ: Azerbaijan Democratic Party
E179,3104, AZ: Popular Front Party
E179,3106, AZ: Azerbaijan Liberal Party
E179,3107, AZ: Social-Democratic Party
E179,3108, AZ: Communist Party
E179,3109, AZ: Justice Party
E179,3110, AZ: Civic Solidarity Party
E179,3111, AZ: Motherland Party
E179,3112, AZ: Azerbaijan Party of Hope
E179,3115, AZ: Whole Azerbaijan Popular Front Party
E179,3119, AZ: Modern Musavat Party
E179,3131," AZ: Other, please specify (WRITE IN)"
E179,3166," AZ: No [, no other] party appeals to me (spontaneous)"
E179,8001, AL: Partia Socialiste - Socialist Party
E179,8002, AL: Partia Demokratike - Democratic Party
E179,8003, AL: Partia Demokratike e Reformuar - The Reformed Democratic Party
E179,8004, AL: Partia Social Demokrate - The Social Democrat Party
E179,8005, AL: Partia Republikane - The Republican Party
E179,8006, AL: Partia e Alencës Demokratike - The Democratic Alliance Party
E179,8007, AL: Partia e të Drejtave të Njeriut - The Human Rights Party
E179,8008, AL: Partia e Ballit -The Front Party
E179,8009, AL: Partia e Legalitetit - The Legalization Party
E179,8010, AL: Partia Agrare The Agricultural Party
E179,8011, AL: Partia e Demokristiane -The Demochristian Party
E179,8012, AL: Partia Komuniste - The Communist Party
E179,8013, AL: Partia Djathtë Demokratike - The Right (wing) Democratic Party
E179,8014, AL: Partia e Re e Punës - The New Labor Party
E179,8015, AL: Partia e Unitetit Kombëtar - The National Unity Party
E179,8019,AL: Communist Party of Albania
E179,8020, AL: The People's Alliance Party
E179,8021, AL: Levizja per Demokraci (PLD)
E179,8022, AL: Party of Union for Democracy (PUD)
E179,8024, AL: The Social Democracy Party of Albania - PDSSH
E179,8025, AL: The Socialist Movement for Integration - LSI
E179,8026, AL: The Liberal Democracy Party - PDL
E179,8027, AL: The New Democratic Party - PDR
E179,8028, AL: Movement for Legality Party - PLL
E179,8029, AL: Union for Human Rights Party - PBDNJ
E179,8030, AL: National Front Party - PBK
E179,8031, AL: The Environmentalist Agrarian Party - PAA
E179,8032, AL: The Christian Democratic Party of Albania - PDK
E179,8033," AL: Justice, Integration and Unity Party"
E179,8034, AL: Environmental Party
E179,8035," AL: Equal List, LIBRA"
E179,8036, AL: Green Party
E179,8055," AL: Other, please specify (WRITE IN)"
E179,8066, AL: No [no other] party appeals to me
E179,31001, AZ: Yeni Azerbaijan (YAP)
E179,31002, AZ: Azerbaijan Milli Istiglal Partyasi (AMIP)
E179,31003, AZ: Khalg Jabkhesi Partyasi (AKhCh)
E179,31004, AZ: Azerbaijan Milli Dovletchilik Partyasi (AMDP)
E179,31005, AZ: Ana Veten Partyasi (AVP)
E179,31006, AZ: Azerbaijan Demokratik Sakhibkarlar Partyasi (ADSP)
E179,31007, AZ: Azerbaijan Liberal Partia (ALP)
E179,31008, AZ: Musavat (’Musavat’)
E179,31009, AZ: United Azerbaijan (Vakhid Azerbaijan)
E179,31010, AZ: Azerbaijan Derchelish ve Tereggi Partyasi
E179,31011, AZ: Vetendesh Khemreyliyi Partyasi
E179,31012, AZ: Dogru Yil Partyasi (DYP)
E179,31013, AZ: Iurddash (Yurddash)
E179,31014, AZ: Azerbaijan Democratik Istiglal Partyasi (ADIP)
E179,31015, AZ: Azerbaijan Namine Alyans
E179,31017, AZ: Communist Party
E179,31018, AZ: Musavat/Equality Party
E179,31019, AZ: Azerbaijan Democratic Party
E179,31020, AZ: Social-Democratic Party
E179,31021, AZ: Justice Party
E179,31022, AZ: Azerbaijan Hope Party
E179,31023, AZ: Social Prosperity Party
E179,31024, AZ: Azerbaijan Party of Democratic Reform
E179,31025, AZ: Whole Azerbaijan Popular Front Party
E179,31026, AZ: Great Order Party
E179,31027, AZ: Civil Union Party
E179,31028, AZ: Other
E179,40001, AT: SPÖ
E179,40002, AT: ÖVP
E179,40003, AT: FPÖ
E179,40004, AT: Gruene
E179,40005, AT: Liberales Forum
E179,40006, AT: KPÖ
E179,40007, AT: DU - Lugner
E179,40008, AT: Alliance for the Future of Austria - BZÖ
E179,40009," AT: Dr. Martin’s List - For Democracy, Control, Justice\Liste Hans Peter Martin"
E179,40010, AT: The new Austria - NEOS
E179,40011, AT: List Peter Pilz
E179,40012, AT: Other
E179,40013, AT: No [no other] party appeals to me
E179,51001, AM: Hayots Hamazgayin Shargzum (HHSh)
E179,51002, AM: Hay Heghapokhakan Dashnaktsutyun (HHD)
E179,51003, AM: Hayastani Komunistakan Kusaktsutyun (HKK)
E179,51004, AM: Hayastani Ramkavar Azatakan Kusaktsutyun (HRAK)
E179,51005, AM: Azgayin Gzoghovrdakan Miutyun (AGzM)
E179,51006, AM: Azgayin Inknoroshum Miavorum
E179,51007, AM: Hayastani Demokratakan Kusaktsutyun (HDK)
E179,51008, AM: Sotsial-Demokratakan Hnchakyan Kusaktsutyun
E179,51009, AM: Hayastani Hanrapetakan Kusaksutyun (HHK)
E179,51010, AM: Kristonya-Demokratakan Miutyun (KDM)
E179,51011, AM: Sahmanadrakan Iravunk Miutyun (SIM)
E179,51012, AM: Tagavorakan Kusaktsutyun (TaK)
E179,51013, AM: Gita-ardyunaberakan ev Kaghakatsiakan Miutyun (GKM)
E179,51014, AM: Artsakh-Hayastan Hasarakakan-Kaghakakan Kazmakerputyun AHKK
E179,51015, AM: Women Union (Shamiram)
E179,51016, AM: Armenian Revolutionary Federation
E179,51017, AM: Communist Party of Armenia
E179,51018, AM: Republican Party of Armenia
E179,51019, AM: Impeachment Alliance
E179,51020, AM: National Democratic Union
E179,51021, AM: National Unity
E179,51022, AM: New Times
E179,51023, AM: Heritage Party
E179,51024, AM: Pan-Armenian National Movement
E179,51025, AM: People’s Party of Armenia
E179,51026, AM: People's Party
E179,51027, AM: Prosperous Armenia
E179,51028, AM: Republic
E179,51029, AM: Rule of Law
E179,51030, AM: Dashink' Party
E179,51031, AM: United Labour Party
E179,51032, AM: 'Exit' (Way out) Party Union
E179,51033, AM: Free Democrats Party
E179,51034, AM: Democratic Party of Armenia
E179,51035, AM: Armenian National Congress (former All-Armenian Movement)
E179,51036, AM: Tsarukyan Block (Prosperous Armenia Party)
E179,51037, AM: 'Apricot`s country' Party
E179,51038,AM: Other
E179,56001, BE: Agalev
E179,56002, BE: CVP
E179,56003, BE: VLD
E179,56004, BE: SP
E179,56005, BE: Vlaams Blok
E179,56006, BE: VU - ID - 21
E179,56007, BE: WOW
E179,56008, BE: PVDS - AE
E179,56009, BE: Vivant
E179,56010, BE: PNPb
E179,56011, BE: PS
E179,56012, BE: PSC
E179,56013, BE: PRL - FDF - MCC
E179,56014, BE: Ecolo
E179,56015, BE: Front National
E179,56016, BE: AGIR
E179,56017, BE: PTB
E179,56018, BE: PVV
E179,56019, BE: RW
E179,56020, BE: Amada-Ral
E179,56021, BE: CVP - PSC
E179,56022, BE: PS - SP
E179,56023, BE: PVV - PLP - PRLW
E179,56024, BE: VU - FDF - RW
E179,56025, BE: KP - PC
E179,56026, BE: RAD - UDR
E179,56027, BE: Ecologiste
E179,56028, BE: Christen-Democratisch en Vlaams - CD&V
E179,56029, BE: Vlaamse Liberalen en Democraten Open - VLD
E179,56030, BE: Socialisten en Progressieven Anders - SP.A
E179,56031, BE: Vlaams Belang
E179,56032, BE: Groen!
E179,56033, BE: Lijst Dedecker
E179,56034, BE: Nieuw-Vlaamse Alliantie - N-VA
E179,56035, BE: Sociaal Liberale Partij - SLP
E179,56036, BE: Mouvement Réformateur - MR
E179,56037, BE: Centre Démocrate Humaniste - CDH
E179,56038, BE: Parti du Travail de Belgique - Unité Antifasciste - PTB-UA
E179,56039, BE: Libéral Démocrate - LiDé
E179,56040, BE: Other
E179,70001, BA: Srpski narodni savez (SNS) - Biljana Plavsic
E179,70002, BA: Stranka nezavisnih socijal-demokrata (SNSD)
E179,70003, BA: Socijalistia partija Republike Srpska (SPRS)
E179,70004,BA: Serbian Democratic Party
E179,70005, BA: Srpska radikalna stranka Republike Srpske (SRS RS)
E179,70006, BA: Partija Demokratskog Progresa (PDP)
E179,70007, BA: Demokr. Socijalistièka Partija (DSP) + Nebojsa Radmanovic
E179,70008, BA: Demokratski Narodni Savez (DNS) - Dragan Kostic
E179,70009, BA: Stranka Demokratske Akcije (SDA)
E179,70010, BA: Stranka za Bosnu i Hercegovinu (SB&H)
E179,70011, BA: Demokratska Narodna Zajednica (DNZ)
E179,70012,BA: Bosnian Party
E179,70013, BA: Stranka Žena BiH (SŽBiH)
E179,70014, BA: Bosanska Stranka Prava (BSP)
E179,70015, BA: Bosanska Socijal Demokratska Partija
E179,70016, BA: Hrvatska Demokratska Zajednica - BIH (HDZ-BiH)
E179,70017, BA: Nova Hrvatska Inicijativa (NHI)
E179,70018, BA: Hrvatska Seljaèka Stranka (HSS-BiH)
E179,70019, BA: Narodna stranka + Radom za boljitak
E179,70020, BA: Demokratski patriotski blok Republike Srpske (DPBRS)
E179,70021, BA: Serbian National Union of Biliana Plavsic
E179,70022, BA: Federalist Democratic Party
E179,70023, BA: Srpska patriotskia stranka (SPAS)
E179,70024, BA: Srpska radikalna stranka Nicola Pasic (SRPNP)
E179,70025, BA: Strnka srpskog jedinstva (SSJ)
E179,70026, BA: Srpska stranka Krajine (Krajisnici) (SSK Krajisnici)
E179,70027, BA: Srpska seljacka stranka Republike Srpske (SSS RS)
E179,70028, BA: Popular Party of SR People’s Party
E179,70029, BA: United List for Bosnia and Herzegovina
E179,70030,BA: Croatian Democratic Union
E179,70031, BA: National Democratic Union
E179,70032, BA: Liberalna stranka Bosne i Hercegovine (LS BiH)
E179,70033, BA: Stranka privednog prosperiteta (SPP)
E179,70034, BA: Liberalna b. organizacija (LBO)
E179,70035, BA: Gradanska demokratska stranka (GDS)
E179,70036, BA: Woman Bosnia and Hercegovina
E179,70037,BA: Croatian Party of Rights
E179,70038, BA: Bosanskohercegovacka patriotska stranka (BPS)
E179,70039, BA: Socijal-demokratska partija (SDP)
E179,70040, BA: Serbian Party for Kraina and Posavina (SSK)
E179,70041, BA: Party of the New Social Democrats
E179,70042, BA: Croatian Christian Democratic Union of BiH - HKDU
E179,70043, BA: Croatian Party of Rights Dr. Jurisic Djapic
E179,70044,BA: Croatian Democratic Union - 1990
E179,70045, BA: Socialistic Party - SP
E179,70046, BA: Liberal Democratic Party - LDS
E179,70047,BA: The Alliance of Independent Social Democrats
E179,70048, BA: Bosnia-Podrinje People's - Party
E179,70049, BA: Social-Democratic Union - SDU
E179,70050, BA: Democratic Movement of the Srpska - DEPOS
E179,70051, BA: Party of Pensioners of BiH
E179,70052,BA: Democratic Front
E179,70053,BA: Croatian republican party
E179,70054,BA: People and Justice
E179,70055,BA: Our Party
E179,70056,BA: Party of Democratic Progress
E179,70057,BA: Movement of Democratic Action
E179,70058,BA: Union for a better future of BiH
E179,70059,BA: Social-Democratic Party
E179,70060,BA: Democratic People's Alliance
E179,70061,BA: Party of Democratic Action
E179,70062,BA: Independent Bloc
E179,70063,"BA: Other, please specify (WRITE IN)"
E179,70064,BA: No [no other] party appeals to me (spontaneous)
E179,100001, BG: Suyuz na demokratichnite sili (SDS) - Union of Democratic Forces
E179,100002, BG: Peoples Union
E179,100003, BG: Balgarska Socialisticheska Partiya (BSP) - Bulgarian Socialist Party
E179,100004, BG: Bulgarska Evrolevitza (BEL) - The Euro-Left
E179,100005, BG: Bulgarska biznes blok (BBB) - Bulgarian Business Block
E179,100006, BG: Dvijenie za Prava i Svobodi (DPS) - Movement for Rights and Freedom
E179,100007, BG: Bulgarian Communist Party
E179,100008, BG: Liberal-Democratic Union
E179,100010, BG: Monarchist  - National Movement Simeon II (2006)
E179,100011, BG: Bulgarian Social-Democratic Party  (BSDP)
E179,100012, BG: Balgarski Zemedelski Naroden Sajuz (BZNS) - Bulgarian Agrarian National Union
E179,100013, BG: Vnatrena Makedonska Revol. Org./Dem. Partija (VMRO/DPMNE) Internal Macedonian Revolutionary Organization
E179,100014, BG: MSRF - Turkish Movement for Rights and Freedom -
E179,100015, BG: BAP - Bulgarian Agrarian Party
E179,100016, BG: Popular Agrarian Party « A. Mozer»
E179,100017, BG: Democrats for Strong Bulgaria
E179,100018, BG: ´Attack´ Party
E179,100019, BG: Citizens for European Development of Bulgaria
E179,100020, BG: Georgiovden Movement
E179,100021, BG: Party of Free Democrats
E179,100022, BG: Euroroma - Tzvetelin Kanchev
E179,100023, BG: Popular Agrarian Party « Yane Yanev »
E179,100024, BG: The New Time
E179,100025, BG: Right organizations
E179,100026, BG: NEP
E179,100027, BG: Labours Party
E179,100028, BG: National Union Attack
E179,100029, BG: Bulgarian Agrarian People's Union Alexander Stambolijski
E179,100030, BG: Democratic Party
E179,100031, BG: Green Party of Bulgaria
E179,100032, BG: Movement for an Equal Public Model
E179,100033, BG: National Movement for Stability and Progress
E179,100034, BG: Party of Bulgarian Social Democrats
E179,100035, BG: Bulgarian Women's Party
E179,100036, BG: Roma party
E179,100037, BG: Political Movement Social Democrats
E179,100038, BG: Attack
E179,100039, BG: Union of Democratic Forces
E179,100040, BG: VMRO – Bulgarian National Movement
E179,100041, BG: Political Party VOLYA
E179,100042, BG: Alternative for Bulgarian Revival
E179,100043, BG: Movement 21
E179,100044," BG: DOST Democrats for Responsibility, Freedom, Tolerance"
E179,100045, BG: Movement Bulgaria of the Citizens
E179,100046," BG: Yes, Bulgaria"
E179,100047, BG: National Front for the Salvation of Bulgaria
E179,112001, BY: Party of Communists of Belarus (PKB)
E179,112002, BY: Liberal’na-Demakratycnaja Partyja Belarusi (LDP) - Liberal-Democratic Party
E179,112003, BY: Belarussian Women Party Nadezhda
E179,112004, BY: Republican Party of Labour and Justice
E179,112005, BY: United Civic Party
E179,112006, BY: Belarusian Social Sports Party
E179,112007, BY: Belarussian Party Zelyenye
E179,112008, BY: Belarussian Party of Labour
E179,112009, BY: Partyja Kamunistau Belaruskaja (KPB) - Communistic Party of Belarus
E179,112010, BY: Belaruski patryjatycny Ruch (BPR) - Belarussian Patriotic Movement
E179,112011, BY: Belarussian Social-Democratic Party (Narodnaya Gramada) (BSDP)
E179,112012, BY: Social-Democratic Party of Human Agreement
E179,112013, BY: Belaruskaja Sacyjal-Demakratycnaja Gramada (BSDH) - Belarussian Social-Democratic Gramada
E179,112014, BY: Belarussian Ecological Party Zelyenyh
E179,112015, BY: Belarusian Agrarian Party
E179,112016, BY: Conservative Christian Party – BNF
E179,112017, BY: Republican Party of Labor and Justice
E179,112019, BY: Narodnaja Partyja Adradzenne (NFB-A)
E179,112020, BY: Belaruskaja Partyja zancyn Nazeja (BPZN)
E179,112023, BY: Belaruskaja Chryscijanska Demokratycnaja zlucnasc(BCD)
E179,112024, BY: Common Sense Party (PZS)
E179,112025, BY: Partyja Usebelaruskaga Adzinstva Izgody (UAZ)
E179,112026, BY: Belaruskaja Partyja Pracy (PP)
E179,112028, BY: Partyja Amatarau Piva (PAP)
E179,112030, BY: Republikanskaja Partyja Pracy i Spravjadlivasci (RPPSDEU)
E179,112031, BY: Slavjanski Sabor Belaja Rus
E179,112032, BY: President Lukashenko
E179,112033, BY: Other
E179,112034, BY: Communist Party
E179,112035, BY: Belorussian People Front
E179,112036, BY: Social Democrat Party
E179,112037, BY: Greens or Environmentalist
E179,112038, BY: Liberals
E179,112039, BY: Christian democrats
E179,112040, BY: Belorussian worker Union
E179,112041, BY: Farmer party
E179,112042, BY: Organizations like pamyat
E179,112043, BY: Avadnanaja Gramadzjanskaka Partyja
E179,112044, BY: Conservatives
E179,112045, BY: Liberal Democratic Party
E179,112046, BY: Belarusian Party “The Greens” (“Zyalyoniya”)
E179,112047, BY: Social-Democratic Party of Peoples Concord (Narodnai Zgody)
E179,112048, BY: Republican Party
E179,112049, BY: Conservative Christian Party of the Belarusian People's Front
E179,112050, BY: Belarusian Patriotic Party
E179,112051, BY: Communist Party of Belarus
E179,112052, BY: Party BNF
E179,112053, BY: Belarusian Party of the Left 'Fair World'
E179,112054, BY: United Civic Party
E179,112055, BY: Party “Belarusian Social-Democratic Assembly” (Hramada)
E179,112056, BY: Belarusian Social-Democratic Party (Assembly) (Hramada)
E179,112057, BY: Supporters of the political policy of the President of the Republic of Belarus A.G. Lukashenko
E179,112058,"  BY: Other, please specify (WRITE IN)"
E179,124001, CA: Liberal
E179,124002, CA: Progressive Conservative
E179,124003, CA: N.D.P.
E179,124004, CA: Reform Party
E179,124005, CA: Canadian Alliance
E179,124006, CA: Bloc Quebecois
E179,124007, CA: Green party
E179,124008, CA: Confederation of regions
E179,124009, CA: Liberal & PC
E179,124010, CA: Depends on candidate
E179,124011, CA: A better one
E179,124012, CA: Hoi naturel
E179,124013, CA: Yellow
E179,124014, CA: Marixst Leninist
E179,124015," CA: Liberal, PC, NDP, AL"
E179,124016, CA: PC & Canadian Alliance
E179,124017, CA: Communist party
E179,124018, CA: Family coalition
E179,124019, CA: NDP & Canadian Alliance
E179,124020, CA: NDP & Other unspecified
E179,124021, CA: Independents
E179,124022, CA: Rhinosaurus
E179,124023," CA: Liberal, PC, NDP & A"
E179,124024, CA: Hitler
E179,124025," CA: Liberal, PC, NDP, AL"
E179,124026, CA: Party in power
E179,124027, CA: Canada Party
E179,124028, CA: Christen
E179,124029, CA: Christian Reform
E179,124030, CA: Parti Ecologiste
E179,124031, CA: Bloc Pot
E179,124032, CA: Parti inconnu
E179,124033, CA: Radical ones
E179,124034, CA: White Rhino Party
E179,124035," CA: NDP, Bloc Quebecois & Com"
E179,124036, CA: Canadian Alliance &
E179,124037, CA: Liberal & Bloc Quebecois
E179,124038," CA: Liberal,PC,NDP,Alliance"
E179,124039," CA: Liberal, PC, Bloc Quebecois"
E179,124040," CA: NDP, Canadian Alliance"
E179,124041," CA: Liberal, NDP, Bloc Quebecois"
E179,124042, CA: NDP & BLOC Quebecois
E179,124043, CA: PC & NDP
E179,124044, CA: Democratic (Mario Du
E179,124045, CA: Liberal & Canadian Alliance
E179,124046, CA: Sk Party
E179,124047, CA: Ralph Kleins Team
E179,124048," CA: PC, Canadian Alliance"
E179,124049, CA: Party for Commonwealth
E179,124050," CA: PC, NDP & Bloc"
E179,124051, CA: Communist party or F
E179,124052, CA: Clark
E179,124053, CA: Any fascist party
E179,124054, CA: Natural law party
E179,124055, CA: Marijuana
E179,124056, CA: Liberal & NDP
E179,124057, CA: Bloc Que.& Who wants
E179,124058, CA: Elephant / Rhino
E179,124059," CA: PC, NDP, CDN Alliance"
E179,124060, CA: Action naturelle
E179,124061, CA: Annulation
E179,124062, CA: Tiers-parti Minorita
E179,124063, CA: Ecology
E179,124064, CA: Green peace
E179,124065," CA: Liberal, PC & CDN AL"
E179,124066," CA: Liberal, NDP & CND A"
E179,124888, CA: None
E179,124999, CA: Other party
E179,191001, HR: Akcija Socijaldemokrata Hrvatske (ASH)
E179,191002, HR: Dalmatinska Akcija (DA)
E179,191003, HR: H SP
E179,191004, HR: Croatian democratic union
E179,191005, HR: Hrvatska Krscanska Demokratska Unija (HKDU)
E179,191006, HR: HKDS
E179,191007, HR: Croatian people's party
E179,191008, HR: HPS
E179,191009, HR: Hrvatska Seljacka Stranka (HSS)
E179,191010, HR: Hrvatska Socijalno Liberalna Stranka (HSLS)
E179,191011, HR: Croatian party of rights
E179,191012, HR: Hrvatska Stranka Prava - 1861 (HSP 1861)
E179,191013, HR: HSU
E179,191014, HR: Hrvatski Nezavisni Demokrati (HND)
E179,191015, HR: IDF
E179,191016, HR: Istrian democratic assembly
E179,191017, HR: LS
E179,191018, HR: Gorski-Kotar alliance
E179,191019, HR: Independent democratic Serbian party
E179,191020, HR: Slavonsko-Baranjska Hrvatska Stranka (SBHS)
E179,191021, HR: Social democratic party of Croatia
E179,191022, HR: SRP
E179,191023, HR: Socijalno-demokratska Unija Hrvatske (SDU)
E179,191024, HR: SNS
E179,191025, HR: Croatian democratic alliance of Slavonia and Baranja
E179,191026, HR: Leftists of Croatia
E179,191027, HR: Socialist Labour Party of Croatia
E179,191028, HR: Green Party
E179,191029, HR: Greens of Croatia
E179,191030, HR: Green Party - Green Alternative
E179,191031, HR: Bandić Milan 365
E179,191032, HR: Croatian peasant party
E179,191033, HR: Croatian social liberal party
E179,191034, HR: Croatian party of pensioners
E179,191035, HR: Smart
E179,191036, HR: Bridge of Independent Lists
E179,191037, HR: Human shield
E179,191038," HR: Other, please specify (WRITE IN)"
E179,196001, CY: AKEL
E179,196002, CY: DISY
E179,196003, CY: DIKO
E179,196004, CY: KISOS/EDEK
E179,196005, CY: EDI
E179,196006, CY: Environmentalists
E179,196008, CY: ADIK
E179,196009, CY: UBP
E179,196010, CY: DP
E179,196011, CY: CTP/BG
E179,196012, CY: BDH
E179,196013, CY: MAP
E179,196014, CY: TKP
E179,196015, CY: YP
E179,196016, CY: BKP
E179,196017, CY: Movement for Social Democracy - EDEK
E179,196018, CY: European Party - EYROKO
E179,196019, CY: Ecological and Environmental Movement
E179,196020, CY: Other
E179,197001, CY-TCC: Republican Turkish Party - CTP
E179,197002, CY-TCC: National Unity Party - UBP
E179,197003, CY-TCC: Democratic Party - DP
E179,197004, CY-TCC: Communal Democracy Party - TDP
E179,197005, CY-TCC: Freedom and Reform Party - ORP
E179,197006, CY-TCC: Politics for People Party - HIS
E179,197007, CY-TCC: People’s Party - HP
E179,197008, CY-TCC: Cyprus Socialist Party - KSP
E179,197009, CY-TCC: United Cyprus Party - BKP
E179,197010, CY-TCC: Patriot Cypriot Party - YKP
E179,197096, CY-TCC: Other
E179,203001, CZ: ČSSD (Czech Social Democratic Party)
E179,203002, CZ: Ceska strana narodne socialni (CSNS) - Czech National Social(ist) Party
E179,203003, CZ: KDU-ČSL (Christian Democratic Party - Czechoslovak Peoples´Party)
E179,203004, CZ: Demokraticke Unie (DEU) - Democratic Union
E179,203005, CZ: Duchodci za zivotní jistoty (DZJ) - Pensioners’ for a Secure Life
E179,203006, CZ: KSČM (Communist Party of Bohemia and
E179,203007, CZ: Morovska demokraticka strana (MDS) - Moravian Democratic Party
E179,203008, CZ: Nezavisli (N) - Independents
E179,203009, CZ: ODS (Civic Democratic Party)
E179,203010, CZ: Obcanskkoalice (OK) - Civil Coalition
E179,203011, CZ: Sdruzeni pro Republiku - Rep. Strana Ceskoslovenska (SPR-RSE) - Rally for the Republic-Republican Party of Czechosl
E179,203012, CZ: SZ (Green Party)
E179,203013, CZ: Unie Svobody (US) - Freedom Union
E179,203014, CZ: Ceskoslovenská strana socialististická (CSS) - Czechoslovak Socialist Party
E179,203015, CZ: Ceskoslovenské demokratické forum (CDF) - Czechoslovak Democratic Forum
E179,203016, CZ: Hnuti za obcanskou svobodu (HOS) - Movement for Civil Freedom
E179,203017, CZ: Hnuti za samospravnou demokracii-Spolecnost pro Moravu a a Slezsko (HSD-SMS) - Movement for Self-Governing Democrac
E179,203018, CZ: Klub socialnich demokratu
E179,203019, CZ: Krestanskodemokraticka strana (KDS) -
E179,203020, CZ: Liberalne demokraticka strana (LDS) -
E179,203021, CZ: Narodne socialni strana (NSS) -
E179,203022, CZ: Obcanska demokraticka alliance (ODA) - Civic Democratic Alliance
E179,203023, CZ: Obcanske hnuti (OH) - Civil Movement
E179,203024, CZ: Romska obcanska iniciativa (ROI) - Romany Civil Inititiave
E179,203025, CZ: Zemedelska strana (ZS) -
E179,203026, CZ: Alternative 2000 (Alternativa 2000)
E179,203029, CZ: Duchodci za zivotní jistoty (DZJ) - Pensioners’ for a Secure Life
E179,203032, CZ: Obcanská koalice-Politický klub (OK-PK) - Civil Coalition-Political Club
E179,203034, CZ: Strana Ceskoslovenských komunistu (SCK) - Party of Czechoslovak Communists
E179,203035, CZ: Sdrueni Duchodcu ER
E179,203036, CZ: Civic forum
E179,203037, CZ: Public Against Violence
E179,203038, CZ: Christian Democratic Party (Czech. Republ.)
E179,203039, CZ: Czechoslovak People Party
E179,203040, CZ: Communist party
E179,203041, CZ: Association for Moravia and Silesia
E179,203044, CZ: Movement Coexistence
E179,203045, CZ: Social Democracy
E179,203046, CZ: Greens
E179,203047, CZ: Association of Farmers & Countryside
E179,203048, CZ: Undocumented
E179,203049, CZ: Undocumented
E179,203050, CZ: Undocumented
E179,203051, CZ: Undocumented
E179,203052, CZ: Undocumented
E179,203053, CZ: Undocumented
E179,203054, CZ: Undocumented
E179,203055, CZ: Undocumented
E179,203056, CZ: Christian Democratic Movement (Slov. Rep.)
E179,203057, CZ: Party of Common Sense
E179,203058, CZ: Czech Movement for National Unity
E179,203059, CZ: Balbin Poetic Party
E179,203060, CZ: Liberal-Reform Party
E179,203061, CZ: Law and Justice
E179,203062, CZ: Czech Right
E179,203063, CZ: Czech Crown
E179,203064, CZ: Czech Social Democratic Party
E179,203065, CZ: European Democrats - SNK
E179,203066, CZ: Helax-Ostrava is Having Fun
E179,203067, CZ: Right Bloc
E179,203068, CZ: 4 Visions
E179,203069, CZ: Moravians
E179,203070, CZ: Humanistic Party
E179,203071, CZ: Coalition for the Czech Republic
E179,203072, CZ: National Party
E179,203073, CZ: Folklore and Society
E179,203074, CZ: Independent Democrats
E179,203075, CZ: TOP 09
E179,203076, CZ: Piráti (Pirates)
E179,203077, CZ: SPD (Freedom and Direct Democracy- Tomio
E179,203078, CZ: STAN (Mayors and Independents)
E179,203079, CZ: Úsvit-NK (Dawn- National Coalition)
E179,203080, CZ: Svobodní (Party of Free Citizens)
E179,203081, CZ: SPO (Party for the Rights of Citizens)
E179,203082, CZ: Realisté (Realists)
E179,203083, CZ: DSSS (Worker´s Party of Social Justice)
E179,203084,CZ: ANO
E179,203085, CZ: Other
E179,203086, CZ: No [no other] party appeals to me (spontaneous)
E179,208001, DK: The Social Democrats
E179,208002, DK: Danish Social Liberal Party
E179,208003, DK: Conservative Peoples Party
E179,208004, DK: Centrum-Demokraterne - Centre Democrats
E179,208005, DK: Socialist Peoples Party
E179,208006, DK: Danish People Party
E179,208007, DK: Kristeligt Folkeparti - Christian People Party
E179,208008," DK: Venstre, Denmarks Liberal Party"
E179,208009, DK: Progress Party
