"title","Metric Dropdown","Poverty line Dropdown","Household survey data type Radio","Show extrapolated estimates for years with no survey data Checkbox","tableSlug","ySlugs","yAxisMin"
"Relative poverty: Share of population living on less than 40% of median income or consumption","Share in poverty","Relative line: 40% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_40__of_median_income___share_of_population_below_poverty_line",0
"Relative poverty: Number of people living on less than 40% of median income or consumption","Number of people in poverty","Relative line: 40% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_40__of_median_income___total_number_of_people_below_poverty_line",0
"Depth of relative poverty: Average daily shortfall to 40% of median income or consumption","Average shortfall to poverty line, per day","Relative line: 40% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_40__of_median_income___average_shortfall_per_day",0
"Depth of relative poverty: Average annual shortfall to 40% of median income or consumption","Average shortfall to poverty line, per year","Relative line: 40% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_40__of_median_income___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of 40% of median income or consumption","Total shortfall to poverty line, per day","Relative line: 40% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_40__of_median_income___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of 40% of median income or consumption","Total shortfall to poverty line, per year","Relative line: 40% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_40__of_median_income___total_shortfall_per_year",0
"Depth of relative poverty: Income gap ratio at 40% of median income or consumption","Income gap ratio","Relative line: 40% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_40__of_median_income___income_gap_ratio",0
"Poverty gap index at 40% of median income or consumption","Poverty gap index","Relative line: 40% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_40__of_median_income___poverty_gap_index",0
"Relative poverty: Share of population living on less than 50% of median income or consumption","Share in poverty","Relative line: 50% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_50__of_median_income___share_of_population_below_poverty_line",0
"Relative poverty: Number of people living on less than 50% of median income or consumption","Number of people in poverty","Relative line: 50% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_50__of_median_income___total_number_of_people_below_poverty_line",0
"Depth of relative poverty: Average daily shortfall to 50% of median income or consumption","Average shortfall to poverty line, per day","Relative line: 50% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_50__of_median_income___average_shortfall_per_day",0
"Depth of relative poverty: Average annual shortfall to 50% of median income or consumption","Average shortfall to poverty line, per year","Relative line: 50% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_50__of_median_income___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of 50% of median income or consumption","Total shortfall to poverty line, per day","Relative line: 50% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_50__of_median_income___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of 50% of median income or consumption","Total shortfall to poverty line, per year","Relative line: 50% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_50__of_median_income___total_shortfall_per_year",0
"Depth of relative poverty: Income gap ratio at 50% of median income or consumption","Income gap ratio","Relative line: 50% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_50__of_median_income___income_gap_ratio",0
"Poverty gap index at 50% of median income or consumption","Poverty gap index","Relative line: 50% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_50__of_median_income___poverty_gap_index",0
"Relative poverty: Share of population living on less than 60% of median income or consumption","Share in poverty","Relative line: 60% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_60__of_median_income___share_of_population_below_poverty_line",0
"Relative poverty: Number of people living on less than 60% of median income or consumption","Number of people in poverty","Relative line: 60% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_60__of_median_income___total_number_of_people_below_poverty_line",0
"Depth of relative poverty: Average daily shortfall to 60% of median income or consumption","Average shortfall to poverty line, per day","Relative line: 60% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_60__of_median_income___average_shortfall_per_day",0
"Depth of relative poverty: Average annual shortfall to 60% of median income or consumption","Average shortfall to poverty line, per year","Relative line: 60% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_60__of_median_income___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of 60% of median income or consumption","Total shortfall to poverty line, per day","Relative line: 60% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_60__of_median_income___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of 60% of median income or consumption","Total shortfall to poverty line, per year","Relative line: 60% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_60__of_median_income___total_shortfall_per_year",0
"Depth of relative poverty: Income gap ratio at 60% of median income or consumption","Income gap ratio","Relative line: 60% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_60__of_median_income___income_gap_ratio",0
"Poverty gap index at 60% of median income or consumption","Poverty gap index","Relative line: 60% of median","Either income or consumption","'false","Inc_or_cons_no_extrap","X_60__of_median_income___poverty_gap_index",0
"Poverty: Share of population living on less than $1.90 a day","Share in poverty","$1.90 a day","Income only","'false","Income_only","X_1_9_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $1.90 a day","Number of people in poverty","$1.90 a day","Income only","'false","Income_only","X_1_9_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $1.90 a day","Average shortfall to poverty line, per day","$1.90 a day","Income only","'false","Income_only","X_1_9_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $1.90 a day","Average shortfall to poverty line, per year","$1.90 a day","Income only","'false","Income_only","X_1_9_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $1.90 a day","Total shortfall to poverty line, per day","$1.90 a day","Income only","'false","Income_only","X_1_9_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $1.90 a day","Total shortfall to poverty line, per year","$1.90 a day","Income only","'false","Income_only","X_1_9_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $1.90 a day","Income gap ratio","$1.90 a day","Income only","'false","Income_only","X_1_9_per_day___income_gap_ratio",0
"Poverty gap index at $1.90 a day","Poverty gap index","$1.90 a day","Income only","'false","Income_only","X_1_9_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $3.20 a day","Share in poverty","$3.20 a day","Income only","'false","Income_only","X_3_2_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $3.20 a day","Number of people in poverty","$3.20 a day","Income only","'false","Income_only","X_3_2_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $3.20 a day","Average shortfall to poverty line, per day","$3.20 a day","Income only","'false","Income_only","X_3_2_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $3.20 a day","Average shortfall to poverty line, per year","$3.20 a day","Income only","'false","Income_only","X_3_2_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $3.20 a day","Total shortfall to poverty line, per day","$3.20 a day","Income only","'false","Income_only","X_3_2_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $3.20 a day","Total shortfall to poverty line, per year","$3.20 a day","Income only","'false","Income_only","X_3_2_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $3.20 a day","Income gap ratio","$3.20 a day","Income only","'false","Income_only","X_3_2_per_day___income_gap_ratio",0
"Poverty gap index at $3.20 a day","Poverty gap index","$3.20 a day","Income only","'false","Income_only","X_3_2_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $5.50 a day","Share in poverty","$5.50 a day","Income only","'false","Income_only","X_5_5_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $5.50 a day","Number of people in poverty","$5.50 a day","Income only","'false","Income_only","X_5_5_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $5.50 a day","Average shortfall to poverty line, per day","$5.50 a day","Income only","'false","Income_only","X_5_5_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $5.50 a day","Average shortfall to poverty line, per year","$5.50 a day","Income only","'false","Income_only","X_5_5_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $5.50 a day","Total shortfall to poverty line, per day","$5.50 a day","Income only","'false","Income_only","X_5_5_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $5.50 a day","Total shortfall to poverty line, per year","$5.50 a day","Income only","'false","Income_only","X_5_5_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $5.50 a day","Income gap ratio","$5.50 a day","Income only","'false","Income_only","X_5_5_per_day___income_gap_ratio",0
"Poverty gap index at $5.50 a day","Poverty gap index","$5.50 a day","Income only","'false","Income_only","X_5_5_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $10 a day","Share in poverty","$10 a day","Income only","'false","Income_only","X_10_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $10 a day","Number of people in poverty","$10 a day","Income only","'false","Income_only","X_10_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $10 a day","Average shortfall to poverty line, per day","$10 a day","Income only","'false","Income_only","X_10_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $10 a day","Average shortfall to poverty line, per year","$10 a day","Income only","'false","Income_only","X_10_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $10 a day","Total shortfall to poverty line, per day","$10 a day","Income only","'false","Income_only","X_10_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $10 a day","Total shortfall to poverty line, per year","$10 a day","Income only","'false","Income_only","X_10_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $10 a day","Income gap ratio","$10 a day","Income only","'false","Income_only","X_10_per_day___income_gap_ratio",0
"Poverty gap index at $10 a day","Poverty gap index","$10 a day","Income only","'false","Income_only","X_10_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $15 a day","Share in poverty","$15 a day","Income only","'false","Income_only","X_15_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $15 a day","Number of people in poverty","$15 a day","Income only","'false","Income_only","X_15_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $15 a day","Average shortfall to poverty line, per day","$15 a day","Income only","'false","Income_only","X_15_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $15 a day","Average shortfall to poverty line, per year","$15 a day","Income only","'false","Income_only","X_15_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $15 a day","Total shortfall to poverty line, per day","$15 a day","Income only","'false","Income_only","X_15_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $15 a day","Total shortfall to poverty line, per year","$15 a day","Income only","'false","Income_only","X_15_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $15 a day","Income gap ratio","$15 a day","Income only","'false","Income_only","X_15_per_day___income_gap_ratio",0
"Poverty gap index at $15 a day","Poverty gap index","$15 a day","Income only","'false","Income_only","X_15_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $20 a day","Share in poverty","$20 a day","Income only","'false","Income_only","X_20_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $20 a day","Number of people in poverty","$20 a day","Income only","'false","Income_only","X_20_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $20 a day","Average shortfall to poverty line, per day","$20 a day","Income only","'false","Income_only","X_20_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $20 a day","Average shortfall to poverty line, per year","$20 a day","Income only","'false","Income_only","X_20_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $20 a day","Total shortfall to poverty line, per day","$20 a day","Income only","'false","Income_only","X_20_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $20 a day","Total shortfall to poverty line, per year","$20 a day","Income only","'false","Income_only","X_20_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $20 a day","Income gap ratio","$20 a day","Income only","'false","Income_only","X_20_per_day___income_gap_ratio",0
"Poverty gap index at $20 a day","Poverty gap index","$20 a day","Income only","'false","Income_only","X_20_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $30 a day","Share in poverty","$30 a day","Income only","'false","Income_only","X_30_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $30 a day","Number of people in poverty","$30 a day","Income only","'false","Income_only","X_30_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $30 a day","Average shortfall to poverty line, per day","$30 a day","Income only","'false","Income_only","X_30_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $30 a day","Average shortfall to poverty line, per year","$30 a day","Income only","'false","Income_only","X_30_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $30 a day","Total shortfall to poverty line, per day","$30 a day","Income only","'false","Income_only","X_30_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $30 a day","Total shortfall to poverty line, per year","$30 a day","Income only","'false","Income_only","X_30_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $30 a day","Income gap ratio","$30 a day","Income only","'false","Income_only","X_30_per_day___income_gap_ratio",0
"Poverty gap index at $30 a day","Poverty gap index","$30 a day","Income only","'false","Income_only","X_30_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $40 a day","Share in poverty","$40 a day","Income only","'false","Income_only","X_40_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $40 a day","Number of people in poverty","$40 a day","Income only","'false","Income_only","X_40_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $40 a day","Average shortfall to poverty line, per day","$40 a day","Income only","'false","Income_only","X_40_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $40 a day","Average shortfall to poverty line, per year","$40 a day","Income only","'false","Income_only","X_40_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $40 a day","Total shortfall to poverty line, per day","$40 a day","Income only","'false","Income_only","X_40_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $40 a day","Total shortfall to poverty line, per year","$40 a day","Income only","'false","Income_only","X_40_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $40 a day","Income gap ratio","$40 a day","Income only","'false","Income_only","X_40_per_day___income_gap_ratio",0
"Poverty gap index at $40 a day","Poverty gap index","$40 a day","Income only","'false","Income_only","X_40_per_day___poverty_gap_index",0
"Relative poverty: Share of population living on less than 40% of median income","Share in poverty","Relative line: 40% of median","Income only","'false","Income_only","X_40__of_median_income___share_of_population_below_poverty_line",0
"Relative poverty: Number of people living on less than 40% of median income","Number of people in poverty","Relative line: 40% of median","Income only","'false","Income_only","X_40__of_median_income___total_number_of_people_below_poverty_line",0
"Depth of relative poverty: Average daily shortfall to 40% of median income","Average shortfall to poverty line, per day","Relative line: 40% of median","Income only","'false","Income_only","X_40__of_median_income___average_shortfall_per_day",0
"Depth of relative poverty: Average annual shortfall to 40% of median income","Average shortfall to poverty line, per year","Relative line: 40% of median","Income only","'false","Income_only","X_40__of_median_income___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of 40% of median income","Total shortfall to poverty line, per day","Relative line: 40% of median","Income only","'false","Income_only","X_40__of_median_income___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of 40% of median income","Total shortfall to poverty line, per year","Relative line: 40% of median","Income only","'false","Income_only","X_40__of_median_income___total_shortfall_per_year",0
"Depth of relative poverty: Income gap ratio at 40% of median income","Income gap ratio","Relative line: 40% of median","Income only","'false","Income_only","X_40__of_median_income___income_gap_ratio",0
"Poverty gap index at 40% of median income","Poverty gap index","Relative line: 40% of median","Income only","'false","Income_only","X_40__of_median_income___poverty_gap_index",0
"Relative poverty: Share of population living on less than 50% of median income","Share in poverty","Relative line: 50% of median","Income only","'false","Income_only","X_50__of_median_income___share_of_population_below_poverty_line",0
"Relative poverty: Number of people living on less than 50% of median income","Number of people in poverty","Relative line: 50% of median","Income only","'false","Income_only","X_50__of_median_income___total_number_of_people_below_poverty_line",0
"Depth of relative poverty: Average daily shortfall to 50% of median income","Average shortfall to poverty line, per day","Relative line: 50% of median","Income only","'false","Income_only","X_50__of_median_income___average_shortfall_per_day",0
"Depth of relative poverty: Average annual shortfall to 50% of median income","Average shortfall to poverty line, per year","Relative line: 50% of median","Income only","'false","Income_only","X_50__of_median_income___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of 50% of median income","Total shortfall to poverty line, per day","Relative line: 50% of median","Income only","'false","Income_only","X_50__of_median_income___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of 50% of median income","Total shortfall to poverty line, per year","Relative line: 50% of median","Income only","'false","Income_only","X_50__of_median_income___total_shortfall_per_year",0
"Depth of relative poverty: Income gap ratio at 50% of median income","Income gap ratio","Relative line: 50% of median","Income only","'false","Income_only","X_50__of_median_income___income_gap_ratio",0
"Poverty gap index at 50% of median income","Poverty gap index","Relative line: 50% of median","Income only","'false","Income_only","X_50__of_median_income___poverty_gap_index",0
"Relative poverty: Share of population living on less than 60% of median income","Share in poverty","Relative line: 60% of median","Income only","'false","Income_only","X_60__of_median_income___share_of_population_below_poverty_line",0
"Relative poverty: Number of people living on less than 60% of median income","Number of people in poverty","Relative line: 60% of median","Income only","'false","Income_only","X_60__of_median_income___total_number_of_people_below_poverty_line",0
"Depth of relative poverty: Average daily shortfall to 60% of median income","Average shortfall to poverty line, per day","Relative line: 60% of median","Income only","'false","Income_only","X_60__of_median_income___average_shortfall_per_day",0
"Depth of relative poverty: Average annual shortfall to 60% of median income","Average shortfall to poverty line, per year","Relative line: 60% of median","Income only","'false","Income_only","X_60__of_median_income___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of 60% of median income","Total shortfall to poverty line, per day","Relative line: 60% of median","Income only","'false","Income_only","X_60__of_median_income___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of 60% of median income","Total shortfall to poverty line, per year","Relative line: 60% of median","Income only","'false","Income_only","X_60__of_median_income___total_shortfall_per_year",0
"Depth of relative poverty: Income gap ratio at 60% of median income","Income gap ratio","Relative line: 60% of median","Income only","'false","Income_only","X_60__of_median_income___income_gap_ratio",0
"Poverty gap index at 60% of median income","Poverty gap index","Relative line: 60% of median","Income only","'false","Income_only","X_60__of_median_income___poverty_gap_index",0
"Poverty: Share of population living on less than $1.90 a day","Share in poverty","$1.90 a day","Consumption only","'false","Consumption_only","X_1_9_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $1.90 a day","Number of people in poverty","$1.90 a day","Consumption only","'false","Consumption_only","X_1_9_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $1.90 a day","Average shortfall to poverty line, per day","$1.90 a day","Consumption only","'false","Consumption_only","X_1_9_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $1.90 a day","Average shortfall to poverty line, per year","$1.90 a day","Consumption only","'false","Consumption_only","X_1_9_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $1.90 a day","Total shortfall to poverty line, per day","$1.90 a day","Consumption only","'false","Consumption_only","X_1_9_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $1.90 a day","Total shortfall to poverty line, per year","$1.90 a day","Consumption only","'false","Consumption_only","X_1_9_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $1.90 a day","Income gap ratio","$1.90 a day","Consumption only","'false","Consumption_only","X_1_9_per_day___income_gap_ratio",0
"Poverty gap index at $1.90 a day","Poverty gap index","$1.90 a day","Consumption only","'false","Consumption_only","X_1_9_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $3.20 a day","Share in poverty","$3.20 a day","Consumption only","'false","Consumption_only","X_3_2_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $3.20 a day","Number of people in poverty","$3.20 a day","Consumption only","'false","Consumption_only","X_3_2_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $3.20 a day","Average shortfall to poverty line, per day","$3.20 a day","Consumption only","'false","Consumption_only","X_3_2_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $3.20 a day","Average shortfall to poverty line, per year","$3.20 a day","Consumption only","'false","Consumption_only","X_3_2_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $3.20 a day","Total shortfall to poverty line, per day","$3.20 a day","Consumption only","'false","Consumption_only","X_3_2_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $3.20 a day","Total shortfall to poverty line, per year","$3.20 a day","Consumption only","'false","Consumption_only","X_3_2_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $3.20 a day","Income gap ratio","$3.20 a day","Consumption only","'false","Consumption_only","X_3_2_per_day___income_gap_ratio",0
"Poverty gap index at $3.20 a day","Poverty gap index","$3.20 a day","Consumption only","'false","Consumption_only","X_3_2_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $5.50 a day","Share in poverty","$5.50 a day","Consumption only","'false","Consumption_only","X_5_5_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $5.50 a day","Number of people in poverty","$5.50 a day","Consumption only","'false","Consumption_only","X_5_5_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $5.50 a day","Average shortfall to poverty line, per day","$5.50 a day","Consumption only","'false","Consumption_only","X_5_5_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $5.50 a day","Average shortfall to poverty line, per year","$5.50 a day","Consumption only","'false","Consumption_only","X_5_5_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $5.50 a day","Total shortfall to poverty line, per day","$5.50 a day","Consumption only","'false","Consumption_only","X_5_5_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $5.50 a day","Total shortfall to poverty line, per year","$5.50 a day","Consumption only","'false","Consumption_only","X_5_5_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $5.50 a day","Income gap ratio","$5.50 a day","Consumption only","'false","Consumption_only","X_5_5_per_day___income_gap_ratio",0
"Poverty gap index at $5.50 a day","Poverty gap index","$5.50 a day","Consumption only","'false","Consumption_only","X_5_5_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $10 a day","Share in poverty","$10 a day","Consumption only","'false","Consumption_only","X_10_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $10 a day","Number of people in poverty","$10 a day","Consumption only","'false","Consumption_only","X_10_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $10 a day","Average shortfall to poverty line, per day","$10 a day","Consumption only","'false","Consumption_only","X_10_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $10 a day","Average shortfall to poverty line, per year","$10 a day","Consumption only","'false","Consumption_only","X_10_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $10 a day","Total shortfall to poverty line, per day","$10 a day","Consumption only","'false","Consumption_only","X_10_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $10 a day","Total shortfall to poverty line, per year","$10 a day","Consumption only","'false","Consumption_only","X_10_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $10 a day","Income gap ratio","$10 a day","Consumption only","'false","Consumption_only","X_10_per_day___income_gap_ratio",0
"Poverty gap index at $10 a day","Poverty gap index","$10 a day","Consumption only","'false","Consumption_only","X_10_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $15 a day","Share in poverty","$15 a day","Consumption only","'false","Consumption_only","X_15_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $15 a day","Number of people in poverty","$15 a day","Consumption only","'false","Consumption_only","X_15_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $15 a day","Average shortfall to poverty line, per day","$15 a day","Consumption only","'false","Consumption_only","X_15_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $15 a day","Average shortfall to poverty line, per year","$15 a day","Consumption only","'false","Consumption_only","X_15_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $15 a day","Total shortfall to poverty line, per day","$15 a day","Consumption only","'false","Consumption_only","X_15_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $15 a day","Total shortfall to poverty line, per year","$15 a day","Consumption only","'false","Consumption_only","X_15_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $15 a day","Income gap ratio","$15 a day","Consumption only","'false","Consumption_only","X_15_per_day___income_gap_ratio",0
"Poverty gap index at $15 a day","Poverty gap index","$15 a day","Consumption only","'false","Consumption_only","X_15_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $20 a day","Share in poverty","$20 a day","Consumption only","'false","Consumption_only","X_20_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $20 a day","Number of people in poverty","$20 a day","Consumption only","'false","Consumption_only","X_20_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $20 a day","Average shortfall to poverty line, per day","$20 a day","Consumption only","'false","Consumption_only","X_20_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $20 a day","Average shortfall to poverty line, per year","$20 a day","Consumption only","'false","Consumption_only","X_20_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $20 a day","Total shortfall to poverty line, per day","$20 a day","Consumption only","'false","Consumption_only","X_20_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $20 a day","Total shortfall to poverty line, per year","$20 a day","Consumption only","'false","Consumption_only","X_20_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $20 a day","Income gap ratio","$20 a day","Consumption only","'false","Consumption_only","X_20_per_day___income_gap_ratio",0
"Poverty gap index at $20 a day","Poverty gap index","$20 a day","Consumption only","'false","Consumption_only","X_20_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $30 a day","Share in poverty","$30 a day","Consumption only","'false","Consumption_only","X_30_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $30 a day","Number of people in poverty","$30 a day","Consumption only","'false","Consumption_only","X_30_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $30 a day","Average shortfall to poverty line, per day","$30 a day","Consumption only","'false","Consumption_only","X_30_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $30 a day","Average shortfall to poverty line, per year","$30 a day","Consumption only","'false","Consumption_only","X_30_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $30 a day","Total shortfall to poverty line, per day","$30 a day","Consumption only","'false","Consumption_only","X_30_per_day___total_shortfall_per_day",0
"Total annual shortfall to a poverty line of $30 a day","Total shortfall to poverty line, per year","$30 a day","Consumption only","'false","Consumption_only","X_30_per_day___total_shortfall_per_year",0
"Depth of poverty: Income gap ratio at $30 a day","Income gap ratio","$30 a day","Consumption only","'false","Consumption_only","X_30_per_day___income_gap_ratio",0
"Poverty gap index at $30 a day","Poverty gap index","$30 a day","Consumption only","'false","Consumption_only","X_30_per_day___poverty_gap_index",0
"Poverty: Share of population living on less than $40 a day","Share in poverty","$40 a day","Consumption only","'false","Consumption_only","X_40_per_day___share_of_population_below_poverty_line",0
"Poverty: Number of people living on less than $40 a day","Number of people in poverty","$40 a day","Consumption only","'false","Consumption_only","X_40_per_day___total_number_of_people_below_poverty_line",0
"Depth of poverty: Average daily shortfall to $40 a day","Average shortfall to poverty line, per day","$40 a day","Consumption only","'false","Consumption_only","X_40_per_day___average_shortfall_per_day",0
"Depth of poverty: Average annual shortfall to $40 a day","Average shortfall to poverty line, per year","$40 a day","Consumption only","'false","Consumption_only","X_40_per_day___average_shortfall_per_year",0
"Total daily shortfall to a poverty line of $40 a day","Total shortfall to poverty line, per day","$40 a day","Consumption only","'false","Consumption_only","X_40_per_day___total_shortfall_per_day",0
